date,open,high,low,close,volume,adj close
2018-02-07,42.14,43.31,42.07,42.69,4555425,42.69
2018-02-06,40.475,42.63,40.17,42.34,4626940,42.34
2018-02-05,42.68,42.87,41.03,41.28,4493583,41.28
2018-02-02,43.74,43.77,42.77,42.9,3942852,42.9
2018-02-01,44.38,44.74,43.89,44.07,2177520,44.07
2018-01-31,44.82,45.085,44.57,44.66,3643128,44.66
2018-01-30,44.38,44.76,44.05,44.52,2694845,44.52
2018-01-29,45.17,45.19,44.58,44.64,2633106,44.64
2018-01-26,45.65,45.67,45.25,45.33,3431169,45.33
2018-01-25,46.03,46.165,45.26,45.43,3116009,45.43
2018-01-24,45.85,46.11,45.63,45.91,2134801,45.91
2018-01-23,45.43,45.64,45.18,45.46,3528805,45.46
2018-01-22,46.0,46.21,45.67,45.87,2301044,45.87
2018-01-19,46.43,46.43,45.73,45.9,2775351,45.9
2018-01-18,45.8,46.445,45.7218,46.27,2608820,46.27
2018-01-17,45.55,45.94,45.155,45.83,2389681,45.83
2018-01-16,46.13,46.16,45.02,45.24,3090188,45.24
2018-01-12,45.81,46.01,45.535,45.76,2603508,45.76
2018-01-11,44.8,45.75,44.525,45.73,3133856,45.73
2018-01-10,45.31,45.53,44.69,44.71,2127325,44.71
2018-01-09,44.7,45.54,44.7,45.43,3414023,45.43
2018-01-08,44.5,45.55,44.5,44.67,3283404,44.67
2018-01-05,44.34,44.49,43.97,44.46,2905839,44.46
2018-01-04,44.23,44.36,43.87,44.05,1852497,44.05
2018-01-03,43.46,44.06,43.34,44.0,4520616,44.0
2018-01-02,44.05,44.28,43.6,43.81,1588106,43.81
2017-12-29,44.26,44.38,43.93,43.94,1653486,43.94
2017-12-28,43.97,44.145,43.765,44.12,1881129,44.12
2017-12-27,44.12,44.12,43.79,43.88,1674841,43.88
2017-12-26,43.87,44.23,43.85,44.02,891853,44.02
2017-12-22,44.16,44.39,43.78,43.83,2254560,43.83
2017-12-21,43.92,44.44,43.71,44.24,2254094,44.24
2017-12-20,43.1,43.77,43.02,43.67,2841290,43.67
2017-12-19,43.06,43.41,42.89,43.0,3433659,43.0
2017-12-18,42.56,43.05,42.49,43.0,2310540,43.0
2017-12-15,42.04,42.45,41.93,42.31,3006966,42.31
2017-12-14,42.15,42.25,41.73,41.85,3238025,41.85
2017-12-13,42.18,42.33,42.02,42.02,2653348,42.02
2017-12-12,42.47,42.66,42.16,42.19,2506373,42.19
2017-12-11,42.76,42.76,42.26,42.42,1749683,42.42
2017-12-08,42.56,42.72,42.26,42.72,3848494,42.72
2017-12-07,42.15,42.65,42.15,42.31,2805980,42.31
2017-12-06,42.81,43.05,42.12,42.15,3054301,42.15
2017-12-05,43.35,43.77,42.92,42.98,2942647,42.98
2017-12-04,43.02,43.79,42.84,43.3,3870470,43.3
2017-12-01,42.9,43.18,41.92100000000001,42.5,4231265,42.5
2017-11-30,42.14,43.09,42.14,42.91,4491283,42.91
2017-11-29,41.04,42.08,40.98,42.03,2895905,42.03
2017-11-28,40.14,41.01,40.08,40.93,3322694,40.93
2017-11-27,39.6,40.11,39.6,40.06,1701885,40.06
2017-11-24,40.15,40.23,39.55,39.58,981869,39.58
2017-11-22,40.01,40.17,39.89,39.94,993715,39.94
2017-11-21,39.95,40.08,39.75,40.01,1819950,40.01
2017-11-20,39.51,40.015,39.32,39.84,1849924,39.84
2017-11-17,38.99,39.62,38.87,39.36,1394765,39.36
2017-11-16,39.03,39.69,38.95,39.14,2129280,39.14
2017-11-15,38.78,39.08,38.52,38.81,2106381,38.81
2017-11-14,38.63,39.11,38.61,39.04,1665375,39.04
2017-11-13,38.48,39.015,38.48,38.89,2039043,38.89
2017-11-10,38.49,38.76,38.44,38.61,2038408,38.61
2017-11-09,38.84,39.0,38.34,38.62,1607333,38.62
2017-11-08,38.99,39.285,38.595,39.13,3395859,39.13
2017-11-07,39.23,39.53,38.97,39.08,1630015,39.08
2017-11-06,38.91,39.27,38.81,39.22,1402222,39.22
2017-11-03,38.91,39.505,38.9,39.02,2131804,39.02
2017-11-02,39.33,39.53,38.51,38.89,3178490,38.89
2017-11-01,40.02,40.02,39.11,39.37,1985308,39.37
2017-10-31,39.54,39.94,39.5,39.82,2683322,39.82
2017-10-30,40.04,40.31,39.45,39.49,1868233,39.49
2017-10-27,40.06,40.31,39.71,40.16,2408481,40.16
2017-10-26,39.96,40.31,39.92,40.11,3241628,40.11
2017-10-25,39.91,40.49,39.1,39.68,3612901,39.68
2017-10-24,39.82,41.1,39.47,40.83,4978516,40.83
2017-10-23,40.1,40.76,40.04,40.11,4450193,40.11
2017-10-20,39.2,40.11,39.17,40.09,3232459,40.09
2017-10-19,38.59,39.15,38.42,39.06,2587947,39.06
2017-10-18,38.97,39.1,38.64,38.66,1552386,38.66
2017-10-17,38.95,39.13,38.83,38.9,1547740,38.9
2017-10-16,38.99,39.09,38.71,38.96,1180111,38.96
2017-10-13,39.15,39.2,38.795,38.92,2096348,38.92
2017-10-12,38.81,39.08,38.73,39.04,2381804,39.04
2017-10-11,38.87,38.985,38.71,38.96,2137155,38.96
