Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,81.4,82.96,81.29,81.35,5929949,81.35
2018-02-06,80.06,82.06,79.09,81.67,10189952,81.67
2018-02-05,84.07,84.58,80.92,81.42,7237232,81.42
2018-02-02,84.67,85.25,84.36,84.45,5564450,84.45
2018-02-01,85.38,85.68,84.63,84.98,4201568,84.98
2018-01-31,86.33,86.5,85.62,85.89,5258347,85.89
2018-01-30,85.93,86.72,85.75,85.96,3881748,85.96
2018-01-29,86.85,87.3,86.32,86.72,3804924,86.72
2018-01-26,86.86,87.18,86.36,87.12,3815102,87.12
2018-01-25,85.99,86.98,85.66,86.82,3947842,86.82
2018-01-24,85.83,86.128,85.16,85.76,5680191,85.76
2018-01-23,86.22,86.22,84.98,85.23,4962269,85.23
2018-01-22,86.42,86.565,85.4,86.05,5926903,86.05
2018-01-19,87.58,87.9,86.03,86.68,7314796,86.68
2018-01-18,86.16,87.93,85.95,87.26,7328569,87.26
2018-01-17,85.88,86.445,85.44,86.11,5448986,86.11
2018-01-16,85.58,86.13,84.87,85.32,5428238,85.32
2018-01-12,85.85,85.99,85.3,85.45,5085912,85.45
2018-01-11,85.94,85.94,85.08,85.73,3930314,85.73
2018-01-10,85.55,85.99,84.52,85.49,3575338,85.49
2018-01-09,85.86,86.75,85.66,85.88,6100659,85.88
2018-01-08,85.5,85.69,85.205,85.51,6117565,85.51
2018-01-05,84.53,85.74,84.01,85.54,7428487,85.54
2018-01-04,84.45,84.9,83.14,84.12,5943173,84.12
2018-01-03,82.2,84.82,82.17,83.92,6879067,83.92
2018-01-02,82.16,82.69,81.95,82.21,4783475,82.21
2017-12-29,81.58,81.8,80.73,80.75,3259884,80.75
2017-12-28,81.33,81.58,81.08,81.34,2859752,81.34
2017-12-27,81.63,81.93,81.44,81.76,2463076,81.76
2017-12-26,81.57,81.88,81.39,81.47,1923055,81.47
2017-12-22,81.51,81.96,81.27,81.54,3187505,81.54
2017-12-21,82.08,82.46,81.365,81.48,4051182,81.48
2017-12-20,82.515,82.97,81.29,81.38,3769402,81.38
2017-12-19,83.98,84.11,82.0,82.04,5096508,82.04
2017-12-18,83.66,83.78,83.08,83.43,5204169,83.43
2017-12-15,82.82,83.6975,82.44,83.5,9813131,83.5
2017-12-14,82.185,82.475,81.72,81.83,5000717,81.83
2017-12-13,81.8,82.16,81.53,81.92,4473330,81.92
2017-12-12,82.49,82.69,81.8,82.0,4966525,82.0
2017-12-11,81.08,81.54,80.85,81.27,3501371,81.27
2017-12-08,80.66,81.12,80.54,81.07,4106432,81.07
2017-12-07,81.61,82.09,80.29,80.57,5497507,80.57
2017-12-06,81.15,81.8,80.92,81.5,5192142,81.5
2017-12-05,79.57,81.47,79.57,80.92,5392208,80.92
2017-12-04,81.32,81.37,79.74,79.87,8687762,79.87
2017-12-01,82.46,82.57,80.61,81.27,5993062,81.27
2017-11-30,82.66,82.78,82.04,82.13,5663856,82.13
2017-11-29,82.31,82.98,81.97,82.11,3945458,82.11
2017-11-28,81.67,82.58,81.36,82.46,5773680,82.46
2017-11-27,83.26,83.535,81.06,81.41,6346517,81.41
2017-11-24,82.69,83.5,82.61,83.25,3165628,83.25
2017-11-22,82.76,82.97,82.05,82.34,5303292,82.34
2017-11-21,83.6,84.11,82.5,82.66,11003993,82.66
2017-11-20,79.38,79.725,78.89,78.9,7446659,78.9
2017-11-17,78.83,80.09,78.74,79.49,7097958,79.49
2017-11-16,79.02,79.68,78.97,79.26,4763455,79.26
2017-11-15,79.0,79.135,78.62,78.68,4145369,78.68
2017-11-14,78.94,79.37,78.63,79.16,2701075,79.16
2017-11-13,79.28,79.42,78.26,79.2,4013706,79.2
2017-11-10,80.4,80.47,78.31,79.33,6416385,79.33
2017-11-09,80.14,81.12,79.46,80.81,8803366,80.81
2017-11-08,78.16,78.16,77.22,77.81,4468005,77.81
2017-11-07,77.9,78.19,77.65,78.01,3655136,78.01
2017-11-06,78.46,78.49,77.625,77.69,4027030,77.69
2017-11-03,77.62,78.71,77.06,78.43,6936555,78.43
2017-11-02,80.3,80.58,77.17,77.87,10276713,77.87
2017-11-01,80.42,81.16,80.01,80.31,5136496,80.31
2017-10-31,80.47,80.81,80.14,80.52,4611993,80.52
2017-10-30,81.04,81.06,79.5,80.53,5994181,80.53
2017-10-27,80.89,81.69,80.7,81.3,7744020,81.3
2017-10-26,78.9,80.72,78.86,80.44,7331119,80.44
2017-10-25,78.58,79.31,78.24,79.23,4281803,79.23
2017-10-24,79.11,79.2,78.44,78.66,4462293,78.66
2017-10-23,78.72,79.2451,78.34,79.02,4811635,79.02
2017-10-20,78.77,78.88,78.165,78.34,4173780,78.34
2017-10-19,78.57,78.99,78.44,78.48,2765286,78.48
2017-10-18,78.0,78.89,77.91,78.59,4613277,78.59
2017-10-17,77.76,78.24,77.39,78.0,3809570,78.0
2017-10-16,78.03,78.44,77.71,77.73,5392190,77.73
2017-10-13,77.89,78.2266,77.46,78.07,5442264,78.07
2017-10-12,77.72,77.96,77.1,77.92,8427037,77.92
2017-10-11,77.08,78.48,77.08,78.24,6442301,78.24
2017-10-10,76.95,77.38,76.91,77.29,7244828,77.29
2017-10-09,77.8,78.26,76.515,76.93,12760120,76.93
2017-10-06,79.57,79.81,79.26,79.81,3248459,79.81
2017-10-05,79.37,79.86,79.0,79.51,6323198,79.51
2017-10-04,78.25,78.9,78.2,78.63,5735223,78.63
2017-10-03,78.18,78.2,77.575,78.11,5866622,78.11
2017-10-02,78.06,78.23,77.5,78.05,4312895,78.05
2017-09-29,77.66,78.01,77.55,77.77,6186201,77.77
2017-09-28,77.7,77.91,77.165,77.71,5536651,77.71
2017-09-27,78.67,78.87,77.45,77.84,4801698,77.84
2017-09-26,78.25,78.88,78.07,78.37,4791028,78.37
2017-09-25,79.49,79.59,77.9,78.27,7151269,78.27
2017-09-22,79.48,79.89,79.105,79.7,4593164,79.7
2017-09-21,80.14,80.5488,79.5,79.53,4821970,79.53
