date,open,high,low,close,volume,adj close
2018-02-07,34.82,35.47,34.57,34.68,6697687,34.68
2018-02-06,33.69,35.32,33.47,34.88,9572177,34.88
2018-02-05,35.1,35.77,34.11,34.47,8988427,34.47
2018-02-02,36.32,36.42,35.17,35.58,8430750,35.58
2018-02-01,36.49,37.14,36.3,36.83,6168702,36.83
2018-01-31,37.21,37.4,36.18,36.45,12872539,36.45
2018-01-30,37.65,37.93,37.03,37.11,14740107,37.11
2018-01-29,37.0,38.41,36.57,38.03,15528958,38.03
2018-01-26,37.02,37.1,36.5,37.05,6668592,37.05
2018-01-25,36.86,37.25,36.5,36.81,7804803,36.81
2018-01-24,36.9,37.76,36.83,37.63,7124393,37.63
2018-01-23,37.09,37.43,36.955,37.02,5175749,37.02
2018-01-22,36.7,37.32,36.6,37.12,9727241,37.12
2018-01-19,36.36,36.68,36.11,36.35,5991133,36.35
2018-01-18,36.4,36.45,35.83,36.07,6126090,36.07
2018-01-17,36.25,36.655,35.9086,36.54,9408840,36.54
2018-01-16,35.67,36.45,35.67,36.03,11978344,36.03
2018-01-12,35.15,35.18,34.83,35.03,6025080,35.03
2018-01-11,33.94,35.13,33.74,35.11,7496611,35.11
2018-01-10,33.44,33.97,33.26,33.92,5981854,33.92
2018-01-09,33.74,34.16,33.285,33.63,8774375,33.63
2018-01-08,33.85,33.92,33.03,33.1,7146502,33.1
2018-01-05,33.66,34.215,33.54,33.89,7229548,33.89
2018-01-04,33.44,33.7,33.27,33.66,4722473,33.66
2018-01-03,33.48,33.49,33.2164,33.33,4253340,33.33
2018-01-02,32.99,33.57,32.83,33.51,5449943,33.51
2017-12-29,33.71,33.73,33.28,33.39,3636421,33.39
2017-12-28,33.73,33.78,33.34,33.63,6564679,33.63
2017-12-27,33.32,33.72,33.24,33.71,4912800,33.71
2017-12-26,33.33,33.37,33.17,33.35,1634085,33.35
2017-12-22,33.53,33.65,33.26,33.34,3545093,33.34
2017-12-21,33.32,33.8,33.1036,33.73,6956268,33.73
2017-12-20,33.12,33.255,32.91,33.16,5388593,33.16
2017-12-19,33.11,33.14,32.75,32.84,8391472,32.84
2017-12-18,33.105,33.32,32.89,32.95,7828272,32.95
2017-12-15,32.88,33.115,32.51,32.88,12007424,32.88
2017-12-14,33.29,33.42,32.75,32.83,7639422,32.83
2017-12-13,32.96,33.4,32.86,33.16,9453278,33.16
2017-12-12,33.4,33.42,32.64,32.71,7857623,32.71
2017-12-11,33.53,33.87,33.31,33.34,7390509,33.34
2017-12-08,33.36,33.61,32.97,33.18,8885152,33.18
2017-12-07,33.16,33.36,32.515,33.34,8713386,33.34
2017-12-06,33.83,34.12,33.025,33.1,9236834,33.1
2017-12-05,33.79,34.48,33.78,33.94,8017273,33.94
2017-12-04,34.37,34.505,34.0499,34.22,6345246,34.22
2017-12-01,34.14,34.31,33.7598,34.02,8100096,34.02
2017-11-30,33.58,34.235,33.51,34.12,8962441,34.12
2017-11-29,33.4,33.745,33.1,33.65,5634489,33.65
2017-11-28,33.66,33.81,33.22,33.25,6349120,33.25
2017-11-27,33.77,33.83,33.47,33.67,5555870,33.67
2017-11-24,33.47,33.9,33.38,33.89,1631432,33.89
2017-11-22,33.48,33.52,33.17,33.45,4370382,33.45
2017-11-21,33.31,33.59,33.19,33.34,6419222,33.34
2017-11-20,33.2,33.41,33.045,33.18,6662938,33.18
2017-11-17,32.94,33.1,32.9,33.0,4532212,33.0
2017-11-16,33.0,33.17,32.89,33.0,4677744,33.0
2017-11-15,32.67,32.99,32.3353,32.89,4922068,32.89
2017-11-14,32.8,33.11,32.68,32.85,6859071,32.85
2017-11-13,32.68,33.41,32.63,33.06,6162474,33.06
2017-11-10,32.69,33.18,32.58,32.88,5693117,32.88
2017-11-09,32.71,33.15,32.15,32.75,8710238,32.75
2017-11-08,31.8,33.59,31.74,33.06,17296400,33.06
2017-11-07,31.93,31.995,31.21,31.46,7923240,31.46
2017-11-06,31.28,31.84,31.2097,31.71,5075808,31.71
2017-11-03,30.73,31.28,30.46,31.26,5308287,31.26
2017-11-02,30.83,31.04,30.68,30.71,5477738,30.71
2017-11-01,31.9,31.98,30.735,30.82,8933097,30.82
2017-10-31,30.88,31.35,30.73,31.35,5223176,31.35
2017-10-30,31.08,31.165,30.56,30.57,4614037,30.57
2017-10-27,31.09,31.38,30.81,31.25,6137846,31.25
2017-10-26,31.13,31.15,30.62,30.83,5564681,30.83
2017-10-25,31.2,31.48,30.885,30.98,5614001,30.98
2017-10-24,31.0,31.24,30.66,31.22,7448577,31.22
2017-10-23,31.0,31.265,30.8,30.9,7146438,30.9
2017-10-20,30.9,31.12,30.735,31.03,6788716,31.03
2017-10-19,30.11,30.63,30.07,30.48,4995903,30.48
2017-10-18,30.2,30.48,29.81,30.44,7658652,30.44
2017-10-17,29.69,30.52,29.63,30.49,8612481,30.49
2017-10-16,29.66,29.85,29.53,29.69,8127858,29.69
2017-10-13,30.03,30.21,29.5577,29.74,12380941,29.74
2017-10-12,30.79,30.83,30.05,30.07,11904533,30.07
2017-10-11,30.4,30.91,30.3,30.9,8671328,30.9
2017-10-10,31.05,31.09,30.4,30.43,7783397,30.43
2017-10-09,30.71,30.87,30.3,30.81,9086746,30.81
2017-10-06,30.71,30.87,30.43,30.81,8093412,30.81
2017-10-05,30.84,31.14,30.77,30.9,9709565,30.9
2017-10-04,30.95,31.3,30.725,30.75,11191905,30.75
2017-10-03,30.89,30.93,30.36,30.85,23273764,30.85
2017-10-02,31.35,32.0,30.695,30.77,37692791,30.77
2017-09-29,32.34,32.74,32.14,32.59,5414275,32.59
2017-09-28,32.36,32.73,32.21,32.34,5023145,32.34
2017-09-27,32.39,32.7001,32.24,32.46,5676885,32.46
2017-09-26,32.09,32.32,31.925,32.16,3460301,32.16
2017-09-25,32.22,32.3199,31.8101,31.94,5095976,31.94
2017-09-22,32.97,33.005,32.36,32.38,3936978,32.38
2017-09-21,33.09,33.44,32.99,33.06,5732902,33.06
2017-09-20,32.56,33.13,32.22,33.08,10057484,33.08
2017-09-19,31.81,32.67,31.76,32.56,8376653,32.56
2017-09-18,32.05,32.535,31.625,31.68,8663693,31.68
2017-09-15,32.0,32.1,31.71,31.92,13413613,31.92
2017-09-14,33.11,33.14,32.75,32.84,8378996,32.84
2017-09-13,32.71,32.89,32.4,32.59,6343033,32.59
2017-09-12,33.09,33.3,32.18,32.75,10527384,32.75
2017-09-11,32.98,33.335,32.05,33.08,12209099,33.08
2017-09-08,33.9,33.92,32.96,33.25,8154143,33.25
2017-09-07,34.0,34.65,33.89,33.99,11712607,33.99
2017-09-06,33.43,33.98,33.285,33.77,9355256,33.77
