date,open,high,low,close,volume,adj close
2018-02-07,63.73,65.11,63.58,64.55,2931090,64.55
2018-02-06,63.1,64.32,61.15,64.21,3448613,64.21
2018-02-05,66.58,66.86,63.85,63.85,3339233,63.85
2018-02-02,67.66,67.86,66.58,66.63,3118313,66.63
2018-02-01,67.97,68.44,67.06,67.93,1910081,67.93
2018-01-31,67.64,68.58,67.55,68.23,2504603,68.23
2018-01-30,68.25,69.01,67.79,67.9,2429019,67.9
2018-01-29,69.6,70.215,67.56,68.29,3091849,68.29
2018-01-26,67.84,69.0,67.69,68.91,1758362,68.91
2018-01-25,68.55,68.67,67.65,67.8,2672474,67.8
2018-01-24,68.68,68.77,68.14,68.28,2138892,68.28
2018-01-23,67.73,68.63,67.38,68.45,2499503,68.45
2018-01-22,66.84,67.8,66.75,67.77,1823960,67.77
2018-01-19,66.63,67.34,66.53,66.86,2501578,66.86
2018-01-18,67.01,67.22,65.69,66.47,1762518,66.47
2018-01-17,65.34,67.24,65.05,67.07,3906064,67.07
2018-01-16,64.08,64.76,63.611000000000004,64.56,2857049,64.56
2018-01-12,64.14,64.32,63.68,63.77,1842706,63.77
2018-01-11,63.72,64.11,63.44,63.96,1973954,63.96
2018-01-10,65.68,66.1612,63.29,63.59,2713600,63.59
2018-01-09,64.31,65.59,63.98,65.48,3473300,65.48
2018-01-08,63.06,64.08,62.79,64.03,1479307,64.03
2018-01-05,63.49,63.85,63.1901,63.49,1754681,63.49
2018-01-04,63.38,64.06,63.12,63.36,1889462,63.36
2018-01-03,62.68,63.32,62.24,63.12,2787709,63.12
2018-01-02,63.4,63.62,62.59,62.71,2524978,62.71
2017-12-29,62.74,63.7,62.71,63.29,1608781,63.29
2017-12-28,64.5,64.56,62.88,62.92,1441284,62.92
2017-12-27,63.89,64.32,63.72,64.23,1555804,64.23
2017-12-26,63.08,64.1,62.96,63.84,811277,63.84
2017-12-22,63.9,64.05,63.51,63.77,1230424,63.77
2017-12-21,64.37,64.51,63.56,63.81,1688742,63.81
2017-12-20,64.54,64.68,63.55,64.02,1336390,64.02
2017-12-19,64.06,64.51,63.82,64.21,1267338,64.21
2017-12-18,64.44,64.79,63.91,64.03,1380606,64.03
2017-12-15,63.42,64.25,62.5,64.01,4116156,64.01
2017-12-14,63.62,64.22,62.93,63.13,1724462,63.13
2017-12-13,63.16,63.62,63.0,63.51,1675701,63.51
2017-12-12,62.95,63.5,62.47,62.91,1568167,62.91
2017-12-11,62.89,63.09,62.22,62.94,1597034,62.94
2017-12-08,62.62,63.23,62.38,63.22,1794608,63.22
