date,open,high,low,close,volume,adj close
2018-02-07,25.05,25.69,24.92,25.25,4474487,25.25
2018-02-06,24.21,25.25,23.74,25.07,6877109,25.07
2018-02-05,25.76,26.1,24.77,24.78,7053037,24.78
2018-02-02,26.72,26.84,25.62,26.04,5635018,26.04
2018-02-01,27.11,27.69,26.75,26.87,5462862,26.87
2018-01-31,27.32,27.41,26.735,27.3,5187411,27.3
2018-01-30,27.46,27.93,27.04,27.19,4000965,27.19
2018-01-29,27.53,28.3,27.5,27.7,7544411,27.7
2018-01-26,26.83,27.74,26.8038,27.62,4414490,27.62
2018-01-25,27.39,27.5,26.68,26.69,4450495,26.69
2018-01-24,27.41,27.5,27.05,27.2,4884038,27.2
2018-01-23,27.11,27.505,27.01,27.3,6044545,27.3
2018-01-22,26.44,26.8,26.27,26.66,4654393,26.66
2018-01-19,26.35,26.665,25.925,26.53,4391570,26.53
2018-01-18,25.51,26.515,25.38,26.22,6418898,26.22
2018-01-17,25.84,25.84,25.22,25.54,3784451,25.54
2018-01-16,27.25,27.25,25.59,25.68,6124799,25.68
2018-01-12,27.14,27.28,27.0,27.22,3263340,27.22
2018-01-11,26.04,27.12,26.025,27.07,5754630,27.07
2018-01-10,25.58,26.085,25.51,25.91,5731860,25.91
2018-01-09,26.34,26.44,25.9733,26.11,3922065,26.11
2018-01-08,26.92,26.92,25.9,26.29,4225226,26.29
2018-01-05,26.99,27.13,26.6,26.86,4992976,26.86
2018-01-04,26.5,26.86,26.15,26.82,4676214,26.82
2018-01-03,26.76,26.855,26.39,26.41,3777260,26.41
2018-01-02,25.95,26.67,25.95,26.65,4763835,26.65
2017-12-29,26.0,26.12,25.43,25.66,3591377,25.66
2017-12-28,25.4,25.87,25.39,25.56,2515519,25.56
2017-12-27,25.43,25.71,25.32,25.49,2902450,25.49
2017-12-26,25.53,25.715,25.35,25.5,2380276,25.5
2017-12-22,25.33,25.65,25.265,25.52,2960622,25.52
2017-12-21,24.58,25.28,24.47,25.24,4285641,25.24
2017-12-20,24.575,24.81,24.44,24.48,3610752,24.48
2017-12-19,24.54,24.75,24.35,24.49,4454890,24.49
2017-12-18,25.08,25.19,24.47,24.51,5326391,24.51
2017-12-15,24.93,25.005,24.39,24.92,17321690,24.92
2017-12-14,24.665,24.91,24.22,24.9,12858436,24.9
2017-12-13,24.95,25.19,24.52,24.69,5562631,24.69
2017-12-12,23.86,24.93,23.84,24.82,9361656,24.82
2017-12-11,23.63,23.99,23.63,23.84,2433475,23.84
2017-12-08,23.98,24.0,23.480999999999998,23.62,4017866,23.62
2017-12-07,23.31,23.93,23.17,23.87,5424248,23.87
2017-12-06,23.7,24.06,23.39,23.41,4319862,23.41
2017-12-05,23.62,23.945,23.365,23.84,5196822,23.84
2017-12-04,24.39,24.5492,23.64,23.7,4935147,23.7
2017-12-01,24.31,24.69,23.95,24.28,5079611,24.28
2017-11-30,24.47,24.71,24.26,24.29,6543359,24.29
2017-11-29,24.22,24.66,24.14,24.39,5532674,24.39
2017-11-28,23.52,24.135,23.46,24.09,4933202,24.09
2017-11-27,23.79,23.93,23.475,23.48,2988487,23.48
2017-11-24,23.97,24.03,23.7,23.85,1437880,23.85
2017-11-22,23.71,23.98,23.685,23.89,3541214,23.89
2017-11-21,23.15,23.76,23.13,23.61,5961759,23.61
2017-11-20,22.94,23.11,22.7593,23.03,3738392,23.03
2017-11-17,22.44,23.16,22.43,22.94,3820675,22.94
2017-11-16,22.5,22.72,22.43,22.48,4547333,22.48
2017-11-15,22.81,22.86,22.335,22.38,3505259,22.38
2017-11-14,23.2,23.45,22.83,23.0,3708439,23.0
2017-11-13,22.7,23.4,22.7,23.28,5216569,23.28
2017-11-10,22.42,23.015,22.42,22.84,4834787,22.84
2017-11-09,22.42,22.8,22.29,22.5,5843488,22.5
2017-11-08,22.56,22.795,22.34,22.64,4764191,22.64
2017-11-07,22.5,22.68,22.24,22.56,5929425,22.56
2017-11-06,22.38,22.94,22.38,22.49,4851836,22.49
2017-11-03,22.5,22.55,22.25,22.38,4462398,22.38
2017-11-02,22.84,23.0,22.4,22.47,5403781,22.47
2017-11-01,23.02,23.14,22.5,22.64,7616480,22.64
2017-10-31,22.3,22.9,21.94,22.34,11791541,22.34
2017-10-30,20.95,21.19,20.75,20.85,4731756,20.85
2017-10-27,20.91,21.1,20.86,20.94,4071030,20.94
2017-10-26,21.25,21.28,20.83,21.16,3965439,21.16
2017-10-25,21.7,21.72,21.26,21.55,2474260,21.55
2017-10-24,21.11,21.8,21.03,21.65,3396318,21.65
2017-10-23,21.4,21.57,21.03,21.03,2228977,21.03
2017-10-20,21.25,21.43,21.02,21.41,2353319,21.41
2017-10-19,21.05,21.18,20.93,21.1,2645531,21.1
2017-10-18,21.06,21.42,20.98,21.16,3356172,21.16
2017-10-17,21.77,21.84,20.89,21.06,4800069,21.06
2017-10-16,21.81,21.93,21.68,21.9,2490971,21.9
2017-10-13,21.3,22.05,21.27,21.78,3753176,21.78
2017-10-12,21.02,21.27,20.945,21.23,2894198,21.23
2017-10-11,21.11,21.37,21.03,21.1,2707366,21.1
2017-10-10,21.03,21.06,20.84,20.92,2088985,20.92
2017-10-09,20.97,21.05,20.72,20.94,3909130,20.94
2017-10-06,21.57,21.6,20.93,21.02,4886141,21.02
2017-10-05,21.75,21.79,21.55,21.64,4017079,21.64
2017-10-04,21.75,21.94,21.64,21.72,2808995,21.72
2017-10-03,21.9,21.91,21.63,21.76,2959024,21.76
2017-10-02,21.53,21.92,21.43,21.75,3881152,21.75
2017-09-29,21.3,21.6,21.17,21.59,2792510,21.59
2017-09-28,21.52,21.905,21.22,21.3,4312830,21.3
2017-09-27,21.51,21.55,21.17,21.46,3057302,21.46
2017-09-26,21.29,21.51,21.0,21.39,3201701,21.39
2017-09-25,20.88,21.285,20.79,21.26,3885773,21.26
2017-09-22,20.88,21.0,20.74,20.86,2187688,20.86
2017-09-21,20.81,21.29,20.72,20.94,4426084,20.94
2017-09-20,20.96,21.35,20.675,20.87,4718972,20.87
2017-09-19,21.37,21.49,20.725,20.84,5015025,20.84
2017-09-18,20.66,21.855,20.66,21.31,8305325,21.31
2017-09-15,20.47,20.77,20.39,20.66,6355123,20.66
2017-09-14,20.12,20.46,20.085,20.44,3810789,20.44
2017-09-13,20.31,20.37,20.0,20.13,3027132,20.13
2017-09-12,20.09,20.56,20.05,20.26,4859274,20.26
2017-09-11,19.5,20.215,19.47,20.01,6104766,20.01
2017-09-08,19.51,19.55,19.23,19.39,3871266,19.39
2017-09-07,19.78,19.9,19.485,19.53,4919744,19.53
2017-09-06,19.4,19.83,19.241,19.74,5979686,19.74
2017-09-05,20.11,20.23,19.42,19.46,5228268,19.46
2017-09-01,20.05,20.26,20.0,20.11,2554077,20.11
2017-08-31,19.94,20.13,19.715,19.98,3491877,19.98
2017-08-30,19.9,19.9,19.67,19.82,2004824,19.82
2017-08-29,19.92,19.95,19.71,19.94,2898583,19.94
2017-08-28,20.4,20.45,19.87,20.07,3441699,20.07
2017-08-25,20.34,20.54,20.21,20.37,2300796,20.37
2017-08-24,20.2,20.42,20.0,20.19,2380246,20.19
2017-08-23,19.9,20.31,19.9,20.17,2899997,20.17
2017-08-22,19.99,20.32,19.93,19.94,3806513,19.94
2017-08-21,19.87,19.96,19.6844,19.86,2588956,19.86
2017-08-18,20.06,20.085,19.59,19.86,4465639,19.86
2017-08-17,20.54,20.95,20.08,20.1,3848158,20.1
2017-08-16,20.22,20.755,20.1695,20.57,5607029,20.57
2017-08-15,20.18,20.25,19.77,20.16,7894433,20.16
2017-08-14,20.44,20.64,20.27,20.31,4772515,20.31
2017-08-11,20.79,20.85,20.06,20.34,5511973,20.34
2017-08-10,21.19,21.37,20.385,20.61,7105710,20.61
2017-08-09,21.51,21.56,21.14,21.26,4222496,21.26
2017-08-08,21.96,22.19,21.43,21.54,5481579,21.54
2017-08-07,22.61,22.62,21.88,21.97,4366480,21.97
2017-08-04,22.4,22.615,22.195,22.58,3177651,22.58
2017-08-03,22.15,22.65,22.06,22.32,3598602,22.32
2017-08-02,22.8,22.87,22.05,22.25,5717720,22.25
2017-08-01,22.4,22.615,22.195,22.58,3177651,22.58
2017-07-31,24.19,24.37,23.99,24.14,3382325,24.14
2017-07-28,23.88,24.29,23.88,24.17,3015120,24.17
2017-07-27,23.64,24.195,23.3411,23.88,3861412,23.88
2017-07-26,24.32,24.44,23.48,23.6,3482148,23.6
2017-07-25,24.22,24.56,24.0,24.22,3211397,24.22
2017-07-24,24.26,24.35,24.01,24.16,2239693,24.16
2017-07-21,24.44,24.62,24.04,24.37,2922021,24.37
2017-07-20,24.71,24.77,24.11,24.43,3423499,24.43
2017-07-19,24.05,24.65,24.01,24.54,3778369,24.54
2017-07-18,23.9,23.99,23.67,23.97,1966748,23.97
2017-07-17,23.77,24.24,23.69,23.96,2768497,23.96
2017-07-14,23.75,23.8698,23.52,23.72,2952526,23.72
2017-07-13,23.53,23.9,23.3624,23.85,3152624,23.85
2017-07-12,23.88,24.295,23.45,23.57,5307785,23.57
2017-07-11,23.79,23.96,23.13,23.67,5674876,23.67
