Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,183.83,187.35,183.53,184.97,512533,184.97
2018-02-06,175.31,188.36,175.31,185.06,1421970,185.06
2018-02-05,187.43,188.67,179.09,179.81,1000646,179.81
2018-02-02,192.0,193.85,188.7,189.2,568288,189.2
2018-02-01,190.17,192.91,188.39,192.85,571579,192.85
2018-01-31,190.54,192.675,189.84,190.78,633101,190.78
2018-01-30,188.56,191.2,187.865,190.57,614658,190.57
2018-01-29,189.75,191.93,189.57,189.79,649801,189.79
2018-01-26,188.3,189.45,187.07,189.37,434404,189.37
2018-01-25,190.06,190.06,187.26,187.66,597532,187.66
2018-01-24,189.62,190.07,188.12,189.46,637885,189.46
2018-01-23,187.35,190.1,187.26,188.83,991937,188.83
2018-01-22,188.0,188.98,186.78,188.76,649410,188.76
2018-01-19,187.43,188.85,186.7,188.78,749565,188.78
2018-01-18,180.0,188.7,179.2,186.15,1397247,186.15
2018-01-17,178.5,179.61,175.6,179.21,824808,179.21
2018-01-16,179.18,179.82,176.84,177.78,607856,177.78
2018-01-12,178.68,179.49,177.61,178.52,439557,178.52
2018-01-11,177.33,178.2,176.04,177.99,342002,177.99
2018-01-10,175.25,178.42,174.92,176.75,549918,176.75
2018-01-09,173.39,176.57,173.21,174.91,539114,174.91
2018-01-08,172.64,172.92,171.73,172.42,488878,172.42
2018-01-05,174.46,176.5,171.79,172.82,549691,172.82
2018-01-04,173.4,176.71,173.05,173.44,628314,173.44
2018-01-03,171.01,173.555,170.38,173.11,437559,173.11
2018-01-02,172.48,172.9,170.0,171.19,424392,171.19
2017-12-29,172.48,173.07,170.94,170.99,414089,170.99
2017-12-28,171.78,172.33,171.27,172.29,224175,172.29
2017-12-27,172.34,172.34,170.66,171.57,364626,171.57
2017-12-26,173.26,173.91,171.09,171.99,308225,171.99
2017-12-22,174.39,174.51,171.78,173.07,332650,173.07
2017-12-21,173.11,174.68,172.7,173.59,444538,173.59
2017-12-20,174.19,175.79,171.96,172.53,624432,172.53
2017-12-19,174.16,175.25,173.2025,173.9,612796,173.9
2017-12-18,172.63,174.13,172.27,173.86,779687,173.86
2017-12-15,170.16,172.63,169.43,170.9,1477992,170.9
2017-12-14,170.48,171.7,168.55,169.04,479182,169.04
2017-12-13,172.73,173.77,170.74,171.02,514155,171.02
2017-12-12,171.82,173.47,171.025,172.49,945910,172.49
2017-12-11,171.61,171.79,169.42,170.51,658287,170.51
2017-12-08,171.95,172.022,170.25,171.72,401721,171.72
2017-12-07,169.25,171.59,168.31,171.07,463754,171.07
2017-12-06,169.89,171.22,169.15,169.51,436789,169.51
2017-12-05,172.82,173.57,169.97,170.43,598387,170.43
2017-12-04,172.07,176.62,171.435,172.25,847414,172.25
2017-12-01,169.59,169.99,163.27,169.47,699563,169.47
2017-11-30,169.03,171.89,168.1,168.95,1075644,168.95
2017-11-29,165.0,170.675,165.0,169.11,766831,169.11
2017-11-28,159.94,164.63,159.45,164.34,758302,164.34
2017-11-27,159.08,160.365,158.56,159.5,361857,159.5
2017-11-24,160.59,160.82,158.95,159.14,180748,159.14
2017-11-22,160.5,161.29,159.28,159.92,409829,159.92
2017-11-21,162.08,162.08,159.61,160.19,596253,160.19
2017-11-20,160.73,161.63,160.37,161.61,291135,161.61
2017-11-17,158.94,161.32,158.29,160.57,371794,160.57
2017-11-16,161.73,162.78,159.75,159.87,514771,159.87
2017-11-15,159.81,161.73,158.99,161.22,589408,161.22
2017-11-14,158.58,161.19,158.58,160.71,505405,160.71
2017-11-13,156.26,159.77,155.77,159.44,1092835,159.44
2017-11-10,158.6,159.28,157.06,157.1,726990,157.1
2017-11-09,160.28,160.85,156.68,158.61,1109966,158.61
2017-11-08,162.69,163.0,160.34,161.21,1142439,161.21
