date,open,high,low,close,volume,adj close
2012-09-12,15.57,15.84,15.42,15.51,4588900,15.51
2012-09-11,15.4,15.7,15.35,15.65,3333300,15.65
2012-09-10,15.49,15.72,15.32,15.35,3698400,15.35
2012-09-07,15.29,15.69,15.26,15.53,3512900,15.53
2012-09-06,14.84,15.42,14.84,15.14,4678200,15.14
2012-09-05,14.56,14.82,14.41,14.69,3916400,14.69
2012-09-04,14.72,14.75,14.24,14.58,5167600,14.58
2012-08-31,14.83,15.1,14.64,14.77,5082000,14.77
2012-08-30,14.7,14.78,14.49,14.71,3843300,14.71
2012-08-29,15.02,15.05,14.61,14.83,4939400,14.83
2012-08-28,15.1,15.32,14.88,14.96,7113300,14.96
2012-08-27,15.57,15.71,15.08,15.19,4900000,15.19
2012-08-24,15.59,15.64,15.17,15.5,4586400,15.5
2012-08-23,16.06,16.21,15.58,15.61,4829000,15.61
2012-08-22,16.17,16.4,15.82,16.07,4524400,16.07
2012-08-21,16.41,16.55,16.11,16.2,5496600,16.2
2012-08-20,16.15,16.44,15.9,16.29,4683100,16.29
2012-08-17,16.22,16.54,16.04,16.17,8312700,16.17
2012-08-16,16.06,16.28,15.97,16.21,6986300,16.21
2012-08-15,16.0,16.12,15.82,16.01,10041000,16.01
2012-08-14,15.77,16.34,15.77,16.03,17244800,16.03
2012-08-13,15.12,15.7,14.98,15.69,10174400,15.69
2012-08-10,15.46,15.46,14.81,15.23,8310900,15.23
2012-08-09,15.17,16.28,15.05,15.63,17018400,15.63
2012-08-08,14.61,15.39,14.6,15.21,11353400,15.21
2012-08-07,14.52,14.97,14.52,14.73,10185200,14.73
2012-08-06,14.01,14.53,14.01,14.45,8076300,14.45
2012-08-03,13.79,14.1,13.73,13.94,7719100,13.94
2012-08-02,13.55,13.62,13.26,13.4,10877900,13.4
2012-08-01,13.97,14.16,13.61,13.75,8908300,13.75
2012-07-31,14.62,14.65,13.81,13.84,8194700,13.84
2012-07-30,14.35,14.58,14.19,14.58,6402800,14.58
2012-07-27,13.99,14.48,13.81,14.35,7716500,14.35
2012-07-26,13.57,13.99,13.45,13.92,8142000,13.92
2012-07-25,14.02,14.08,13.25,13.4,12379000,13.4
2012-07-24,14.11,14.21,13.79,14.02,7695500,14.02
