date,open,high,low,close,volume,adj close
2018-02-07,266.58,272.45,264.325,264.56,8981548,264.56
2018-02-06,247.7,266.7,245.0,265.72,12595801,265.72
2018-02-05,262.0,267.899,250.03,254.26,11896053,254.26
2018-02-02,263.0,270.62,262.71,267.43,9123610,267.43
2018-02-01,266.41,271.95,263.38,265.07,9669011,265.07
2018-01-31,281.94,282.289,269.58,270.3,11695072,270.3
2018-01-30,277.0,282.73,272.7,278.8,12482852,278.8
2018-01-29,274.2,286.81,273.92,284.59,17529749,284.59
2018-01-26,271.485,274.6,268.76,274.6,11021839,274.6
2018-01-25,263.0,272.3,260.23,269.7,15336378,269.7
2018-01-24,250.88,261.71,249.31099999999998,261.3,17352448,261.3
2018-01-23,255.05,257.71,248.02,250.29,27705332,250.29
2018-01-22,222.0,227.785,221.2,227.58,17703293,227.58
2018-01-19,222.75,223.49,218.5,220.46,10548567,220.46
2018-01-18,220.34,220.58,216.55,220.33,8225339,220.33
2018-01-17,221.0,221.15,216.32,217.5,9123056,217.5
2018-01-16,224.24,226.07,217.2,221.53,13516067,221.53
2018-01-12,217.18,222.55,216.0,221.23,8199423,221.23
2018-01-11,214.29,217.75,213.35,217.24,7659485,217.24
2018-01-10,207.57,213.64,206.91,212.52,5951486,212.52
2018-01-09,212.11,212.98,208.59,209.31,6125855,209.31
2018-01-08,210.02,212.5,208.44,212.05,5580178,212.05
2018-01-05,207.25,210.02,205.59,209.99,7033240,209.99
2018-01-04,206.2,207.05,204.0006,205.63,6029616,205.63
2018-01-03,202.05,206.21,201.5,205.05,8591369,205.05
2018-01-02,196.1,201.65,195.42,201.07,10966889,201.07
2017-12-29,192.51,193.95,191.22,191.96,5187606,191.96
2017-12-28,187.18,194.49,186.85,192.71,10107392,192.71
2017-12-27,187.8,188.1,185.22,186.24,4002098,186.24
2017-12-26,189.78,189.94,186.4,187.76,3045652,187.76
2017-12-22,188.33,190.95,186.8,189.94,3878904,189.94
2017-12-21,189.44,190.95,187.58,188.62,4729836,188.62
2017-12-20,187.94,189.11,185.26,188.82,6545394,188.82
2017-12-19,190.18,190.2981,185.75,187.02,7032978,187.02
2017-12-18,191.2,191.65,188.9,190.42,5010961,190.42
2017-12-15,189.61,191.43,188.01,190.12,7285641,190.12
2017-12-14,187.98,192.64,187.2,189.56,7792849,189.56
2017-12-13,186.1,188.69,185.41,187.86,4710041,187.86
2017-12-12,186.01,187.85,184.8183,185.73,4265907,185.73
2017-12-11,187.85,189.42,185.91,186.22,5298583,186.22
2017-12-08,186.5,189.42,186.3,188.54,4987270,188.54
2017-12-07,185.71,187.34,183.22,185.2,4659542,185.2
2017-12-06,183.38,186.4844,182.88,185.3,5490088,185.3
2017-12-05,183.5,188.14,181.19,184.21,5783697,184.21
2017-12-04,189.36,189.72,178.38,184.04,9069765,184.04
2017-12-01,186.99,189.8,185.0,186.82,6219531,186.82
2017-11-30,190.31,190.86,186.68,187.58,6630051,187.58
2017-11-29,198.91,199.02900000000002,184.32,188.15,14202713,188.15
2017-11-28,195.34,199.68,194.01,199.18,6981094,199.18
2017-11-27,195.56,195.85,194.0,195.05,3210145,195.05
2017-11-24,196.65,196.9,195.33,195.75,2160535,195.75
2017-11-22,196.58,196.75,193.63,196.32,5895402,196.32
2017-11-21,195.04,197.52,194.97099999999998,196.23,4787311,196.23
2017-11-20,193.3,194.32,191.9,194.1,3827474,194.1
2017-11-17,195.74,195.95,192.65,193.2,3906333,193.2
2017-11-16,194.33,197.7,193.75,195.51,5678355,195.51
2017-11-15,194.54,195.42,191.53,192.12,4203072,192.12
2017-11-14,193.64,195.88,193.0,195.71,3450513,195.71
2017-11-13,191.12,196.05,191.0,195.08,4606951,195.08
2017-11-10,191.61,192.59,189.5,192.02,6622168,192.02
2017-11-09,194.46,194.49,190.81,193.9,5910216,193.9
2017-11-08,196.0,197.09,194.74,196.44,4237398,196.44
2017-11-07,200.0,200.61,194.8,195.89,6467969,195.89
2017-11-06,200.0,202.48,198.09,200.13,5846581,200.13
2017-11-03,199.8,200.55,197.99,200.01,3678829,200.01
2017-11-02,197.45,199.44,197.0901,199.32,3606332,199.32
2017-11-01,197.24,199.199,196.0,198.0,5017420,198.0
2017-10-31,198.21,198.59,195.218,196.43,5518595,196.43
2017-10-30,199.62,201.09900000000002,197.0721,198.37,5439563,198.37
2017-10-27,197.2,200.65,196.22,199.54,8128567,199.54
2017-10-26,194.66,197.61,194.08,195.21,5185830,195.21
2017-10-25,195.38,197.055,193.01,193.77,5315269,193.77
2017-10-24,192.75,196.735,191.4,196.02,7069108,196.02
2017-10-23,194.17,194.8999,191.0346,192.47,6979994,192.47
2017-10-20,195.9,196.38,193.77,194.16,5995568,194.16
2017-10-19,193.01,195.25,191.16,195.13,7034602,195.13
2017-10-18,199.99,200.01,194.25,195.54,11198938,195.54
2017-10-17,200.11,204.38,197.77,199.48,23900118,199.48
2017-10-16,201.95,202.83,197.86,202.68,22105442,202.68
2017-10-13,199.7,200.8199,197.1866,199.49,12081252,199.49
2017-10-12,196.75,198.62,194.71,195.86,7753341,195.86
2017-10-11,195.57,196.2199,193.81,194.95,6450161,194.95
2017-10-10,197.85,198.3,192.1,195.08,6233823,195.08
