date,open,high,low,close,volume,adj close
2018-02-07,29.57,29.93,28.46,28.53,3800172,28.53
2018-02-06,28.9,30.13,28.65,29.64,3701765,29.64
2018-02-05,30.0,30.64,29.28,29.41,4250786,29.41
2018-02-02,31.66,31.87,30.31,30.36,3736398,30.36
2018-02-01,31.75,32.28,31.5975,32.06,2256601,32.06
2018-01-31,31.91,32.32,31.44,31.66,2634464,31.66
2018-01-30,32.68,32.79,31.46,31.67,3581755,31.67
2018-01-29,33.75,34.36,33.235,33.33,3558375,33.33
2018-01-26,33.81,34.02,33.51,33.96,2071192,33.96
2018-01-25,34.32,34.58,33.68,33.81,3444678,33.81
2018-01-24,34.02,34.4,33.63,34.13,2431250,34.13
2018-01-23,34.05,34.34,33.675,33.86,1893867,33.86
2018-01-22,33.76,34.15,33.47,34.14,1629794,34.14
2018-01-19,33.46,33.48,33.0,33.32,3670246,33.32
2018-01-18,34.33,34.4,33.7,33.74,2243593,33.74
2018-01-17,34.33,34.7,33.76,34.33,2186744,34.33
2018-01-16,34.95,35.12,34.08,34.1,1926615,34.1
2018-01-12,34.63,34.82,34.06,34.75,2046538,34.75
2018-01-11,34.25,35.15,33.98,34.6,2212221,34.6
2018-01-10,34.71,35.04,33.945,34.03,2135996,34.03
2018-01-09,34.89,35.2,34.4,34.52,2124811,34.52
2018-01-08,33.89,34.935,33.66,34.8,3041924,34.8
2018-01-05,33.55,34.015,33.06,33.92,3217955,33.92
2018-01-04,33.72,33.97,33.02,33.84,3462188,33.84
2018-01-03,33.0,33.58,32.92,33.1,3967329,33.1
2018-01-02,31.84,32.91,31.81,32.9,2408374,32.9
2017-12-29,32.24,32.26,31.52,31.53,1133396,31.53
2017-12-28,31.88,32.13,31.6,31.98,1480667,31.98
2017-12-27,32.06,32.13,31.64,31.82,1267157,31.82
2017-12-26,31.6,32.35,31.39,32.19,1209664,32.19
2017-12-22,30.99,31.76,30.64,31.46,1321811,31.46
2017-12-21,30.21,31.21,29.89,31.01,3090131,31.01
2017-12-20,30.0,30.48,29.48,30.43,1910396,30.43
2017-12-19,28.92,29.98,28.84,29.84,2737407,29.84
2017-12-18,28.21,28.95,27.96,28.74,2451434,28.74
2017-12-15,28.57,29.06,27.77,27.81,3607497,27.81
2017-12-14,29.175,29.3,28.62,28.63,1719488,28.63
2017-12-13,30.3,30.3,29.025,29.07,2078790,29.07
2017-12-12,30.57,30.57,29.77,30.24,1887195,30.24
2017-12-11,29.47,30.58,29.47,30.36,2253181,30.36
2017-12-08,29.31,30.09,29.15,29.39,2781178,29.39
