date,open,high,low,close,volume,adj close
2018-02-07,65.15,66.84100000000001,65.1,65.63,8845725,65.63
2018-02-06,62.48,65.42,62.09,65.22,13356668,65.22
2018-02-05,66.63,67.21,64.39,64.39,12549483,64.39
2018-02-02,67.22,67.79,67.0,67.22,9348290,67.22
2018-02-01,67.67,67.97,66.7,67.65,5790528,67.65
2018-01-31,67.5,68.83,67.47,68.22,11036394,68.22
2018-01-30,67.5,68.31,67.16,67.33,6350474,67.33
2018-01-29,67.82,68.14,67.42,67.58,5067258,67.58
2018-01-26,68.2,68.64,67.92,68.04,6290517,68.04
2018-01-25,68.13,68.64,67.45,67.71,5707632,67.71
2018-01-24,67.34,68.18,67.07,68.0,7421781,68.0
2018-01-23,66.53,67.325,66.445,67.14,6411954,67.14
2018-01-22,66.55,66.83,65.76,66.39,8491799,66.39
2018-01-19,65.31,67.24,65.12,67.21,12896073,67.21
2018-01-18,64.0,64.21,63.54,64.11,5656889,64.11
2018-01-17,63.67,64.01,63.08,63.81,7422594,63.81
2018-01-16,64.78,65.36,63.37,63.42,9116973,63.42
2018-01-12,64.5,64.725,64.315,64.67,5135670,64.67
2018-01-11,64.03,64.31,63.78,64.29,5103540,64.29
2018-01-10,63.88,64.23,63.435,64.22,5010633,64.22
2018-01-09,64.23,64.72,63.47,64.09,8771331,64.09
2018-01-08,64.15,64.71,63.98,64.55,11905699,64.55
2018-01-05,63.7,64.3,63.4701,63.98,11632315,63.98
2018-01-04,63.4,63.55,62.55,63.44,5780494,63.44
2018-01-03,63.48,63.66,62.76,63.48,6091121,63.48
2018-01-02,62.85,63.49,62.85,63.49,6510987,63.49
2017-12-29,63.21,63.37,62.55,62.55,5222115,62.55
2017-12-28,63.0,63.32,62.85,62.95,3987151,62.95
2017-12-27,63.56,63.6,62.77,62.95,8959745,62.95
2017-12-26,62.9,63.89,62.81,63.65,4563475,63.65
2017-12-22,61.21,63.54,60.13,63.29,20414195,63.29
2017-12-21,64.33,64.98,63.3,64.77,14352349,64.77
2017-12-20,64.4,64.5,63.58,63.59,12468576,63.59
2017-12-19,65.09,65.185,64.18,64.24,8212457,64.24
2017-12-18,64.99,65.08,64.39,64.81,12651962,64.81
2017-12-15,64.93,65.07,64.15,64.79,15659278,64.79
2017-12-14,64.435,64.85,64.05,64.53,13055089,64.53
2017-12-13,62.22,64.46,62.02,64.3,16072573,64.3
2017-12-12,61.81,62.53,61.65,62.17,7358001,62.17
2017-12-11,61.37,62.22,61.3,61.91,9017814,61.91
2017-12-08,60.5,61.37,60.29,61.3,6065231,61.3
2017-12-07,59.86,61.06,59.65,60.6,6113277,60.6
2017-12-06,60.41,60.85,59.7,59.72,7862151,59.72
2017-12-05,60.65,60.8,59.65,60.42,8862852,60.42
2017-12-04,60.27,60.695,59.97,60.1,7513232,60.1
2017-12-01,60.42,60.43,59.24,59.88,10113675,59.88
2017-11-30,60.26,61.21,60.2,60.42,12551210,60.42
2017-11-29,59.73,60.63,59.73,60.36,12022818,60.36
2017-11-28,58.76,59.6,58.54,59.58,8665270,59.58
2017-11-27,59.2,59.7,59.17,59.63,7891587,59.63
2017-11-24,59.0,59.35,58.91,59.32,3400441,59.32
2017-11-22,59.18,59.34,58.94,59.07,8501289,59.07
2017-11-21,59.03,59.4,58.93,59.39,9057784,59.39
2017-11-20,58.63,59.5,57.98,59.25,8480580,59.25
2017-11-17,58.54,59.53,58.37,59.19,15475465,59.19
2017-11-16,56.62,57.2775,56.41,57.23,8233261,57.23
2017-11-15,55.96,56.87,55.08,56.63,6610545,56.63
2017-11-14,55.71,56.18,55.53,55.98,5037465,55.98
2017-11-13,55.66,56.085,55.66,55.91,10106079,55.91
2017-11-10,55.88,56.49,55.62,56.09,7535726,56.09
2017-11-09,55.5,56.35,55.31,56.13,10940531,56.13
2017-11-08,55.0,55.77,54.89,55.76,7079371,55.76
2017-11-07,55.75,56.015,55.02,55.15,7774698,55.15
2017-11-06,55.29,56.13,55.14,56.04,9332236,56.04
2017-11-03,55.15,55.72,55.04,55.71,9448203,55.71
2017-11-02,55.15,55.32,54.59,55.12,7250343,55.12
