date,open,high,low,close,volume,adj close
2012-06-04,40.55,41.26,40.35,40.39,7086500,40.39
2012-06-01,41.23,42.16,40.45,40.58,3365400,40.58
2012-05-31,42.26,42.26,41.38,41.83,2645200,41.83
2012-05-30,43.06,43.06,42.26,42.28,1633500,42.28
2012-05-29,43.29,43.76,42.82,43.5,715800,43.5
2012-05-25,42.15,43.37,42.15,43.04,751600,43.04
2012-05-24,42.98,43.01,41.8,42.2,1080200,42.2
2012-05-23,42.24,43.01,42.02,42.77,1700000,42.77
2012-05-22,42.88,43.35,42.48,42.9,847200,42.9
2012-05-21,42.18,42.85,42.04,42.8,843000,42.8
2012-05-18,42.42,43.03,42.03,42.12,932200,42.12
2012-05-17,43.5,43.77,42.36,42.36,1501900,42.36
2012-05-16,45.36,45.36,43.37,43.55,2685900,43.55
2012-05-15,46.16,46.64,45.7,45.83,1208200,45.83
2012-05-14,45.86,46.53,45.33,46.18,1024000,46.18
2012-05-11,45.78,47.32,45.47,46.44,1363100,46.44
2012-05-10,45.73,45.97,44.84,45.41,1200000,45.41
2012-05-09,44.19,45.94,44.0,45.5,1048400,45.5
2012-05-08,44.54,45.04,43.34,44.94,1104600,44.94
2012-05-07,44.86,45.54,44.86,44.99,536200,44.99
2012-05-04,45.79,46.1,44.89,45.1,1058000,45.1
2012-05-03,47.0,47.22,46.0,46.2,976200,46.2
2012-05-02,47.07,47.26,46.68,47.08,912800,47.08
2012-05-01,46.89,47.5,46.78,47.31,609300,47.31
2012-04-30,47.01,47.11,46.72,46.8,554800,46.8
2012-04-27,46.78,47.23,45.45,47.11,890000,47.11
2012-04-26,45.5,46.91,45.5,46.77,1039600,46.77
2012-04-25,45.32,45.77,44.88,45.53,673400,45.53
2012-04-24,44.63,45.02,44.56,44.8,698500,44.8
2012-04-23,44.6,44.88,44.2,44.67,979300,44.67
2012-04-20,46.51,46.51,45.15,45.22,1326200,45.22
2012-04-19,47.09,47.74,46.26,46.39,999700,46.39
2012-04-18,46.77,47.44,46.16,47.03,1505900,47.03
2012-04-17,47.49,48.29,47.49,47.9,987900,47.9
