Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,16.21,16.355,15.97,16.06,2698050,16.06
2018-02-06,15.61,16.31,15.22,16.29,6201938,16.29
2018-02-05,16.4,16.59,15.83,15.83,3209568,15.83
2018-02-02,16.78,16.83,16.39,16.41,2367804,16.41
2018-02-01,17.02,17.095,16.8,16.82,2126604,16.82
2018-01-31,17.04,17.14,16.945,17.11,1710674,17.11
2018-01-30,17.02,17.21,16.92,17.05,1990997,17.05
2018-01-29,17.1,17.235,17.01,17.06,1281706,17.06
2018-01-26,17.11,17.16,16.92,17.14,1314661,17.14
2018-01-25,17.11,17.15,16.98,17.04,1250092,17.04
2018-01-24,17.12,17.19,16.98,17.09,1711764,17.09
2018-01-23,17.11,17.12,16.95,17.07,1519840,17.07
2018-01-22,17.16,17.19,16.98,17.18,1733440,17.18
2018-01-19,17.08,17.28,16.965,17.22,4544118,17.22
2018-01-18,17.18,17.23,17.0,17.01,2863948,17.01
2018-01-17,16.97,17.29,16.94,17.21,1902051,17.21
2018-01-16,17.2,17.26,16.94,16.97,1854099,16.97
2018-01-12,17.11,17.175,16.98,17.15,1864885,17.15
2018-01-11,16.87,17.22,16.87,17.08,3338168,17.08
2018-01-10,16.85,16.9,16.77,16.85,2523825,16.85
2018-01-09,16.86,16.97,16.79,16.88,2128675,16.88
2018-01-08,16.8,16.85,16.67,16.83,3595574,16.83
2018-01-05,16.89,17.1,16.515,16.8,1798403,16.8
2018-01-04,16.54,16.69,16.505,16.59,2343244,16.59
2018-01-03,16.45,16.53,16.41,16.49,2816655,16.49
2018-01-02,16.3,16.45,16.23,16.43,2475013,16.43
2017-12-29,16.34,16.38,16.21,16.21,1380593,16.21
2017-12-28,16.28,16.34,16.17,16.33,1133486,16.33
2017-12-27,16.34,16.38,16.21,16.25,1312592,16.25
2017-12-26,16.42,16.48,16.295,16.31,669504,16.31
2017-12-22,16.32,16.45,16.31,16.42,2790126,16.42
2017-12-21,16.27,16.5,16.17,16.34,2069457,16.34
2017-12-20,16.34,16.415,16.22,16.24,2600072,16.24
2017-12-19,16.39,16.46,16.18,16.27,3640497,16.27
2017-12-18,16.11,16.37,16.07,16.33,3059654,16.33
2017-12-15,16.23,16.25,16.0,16.02,5256308,16.02
2017-12-14,16.28,16.41,16.12,16.22,3204151,16.22
2017-12-13,16.27,16.33,16.17,16.28,3082983,16.28
2017-12-12,16.61,16.62,16.14,16.22,2410057,16.22
2017-12-11,16.56,16.75,16.5,16.59,3381963,16.59
2017-12-08,16.42,16.56,16.36,16.55,2012219,16.55
2017-12-07,16.38,16.39,16.25,16.36,2694164,16.36
2017-12-06,16.4,16.52,16.235,16.39,3525389,16.39
2017-12-05,16.59,16.65,16.27,16.4,2584657,16.4
2017-12-04,16.26,16.87,16.2,16.54,3560208,16.54
2017-12-01,16.24,16.32,15.89,16.2,3096017,16.2
2017-11-30,16.4,16.42,16.1,16.16,3442140,16.16
2017-11-29,16.1,16.43,16.1,16.35,2313983,16.35
2017-11-28,15.8,16.16,15.73,16.15,3296335,16.15
2017-11-27,15.76,15.81,15.65,15.74,2445495,15.74
2017-11-24,15.82,15.82,15.7,15.77,845567,15.77
2017-11-22,15.82,15.87,15.755,15.77,2121244,15.77
2017-11-21,15.74,15.82,15.67,15.79,2537961,15.79
2017-11-20,15.83,15.83,15.62,15.67,2456257,15.67
2017-11-17,15.69,15.93,15.59,15.84,2524668,15.84
2017-11-16,15.18,15.73,15.15,15.72,2648250,15.72
2017-11-15,15.23,15.28,15.1001,15.19,1929390,15.19
2017-11-14,15.17,15.5,15.11,15.27,3283552,15.27
2017-11-13,15.1,15.41,15.0,15.23,2704202,15.23
2017-11-10,14.66,15.79,14.59,15.1,5305841,15.1
2017-11-09,14.13,14.56,14.07,14.36,2507126,14.36
2017-11-08,14.08,14.15,14.0125,14.14,1389368,14.14
2017-11-07,14.21,14.525,14.09,14.15,2639621,14.15
2017-11-06,13.89,14.28,13.84,14.28,4244384,14.28
2017-11-03,13.76,13.87,13.7,13.87,2278455,13.87
2017-11-02,13.67,13.83,13.58,13.8,1696441,13.8
2017-11-01,13.73,13.8652,13.61,13.71,1900437,13.71
2017-10-31,13.83,13.83,13.625,13.66,1665480,13.66
2017-10-30,13.68,13.83,13.64,13.81,1394458,13.81
2017-10-27,13.66,13.73,13.49,13.69,1577961,13.69
2017-10-26,13.69,13.82,13.62,13.68,1756657,13.68
2017-10-25,13.62,13.71,13.52,13.66,1272026,13.66
2017-10-24,13.75,13.78,13.57,13.63,1497139,13.63
2017-10-23,13.72,13.765,13.665,13.75,1012706,13.75
2017-10-20,13.69,13.78,13.66,13.71,1318229,13.71
2017-10-19,13.65,13.71,13.55,13.62,1846326,13.62
2017-10-18,13.62,13.77,13.61,13.73,1219200,13.73
2017-10-17,13.64,13.69,13.57,13.62,1285096,13.62
2017-10-16,13.68,13.76,13.61,13.68,1704615,13.68
2017-10-13,13.61,13.74,13.52,13.68,1440919,13.68
2017-10-12,13.46,13.575,13.37,13.54,1768869,13.54
2017-10-11,13.46,13.5,13.35,13.48,1167236,13.48
