date,open,high,low,close,volume,adj close
2018-02-07,73.99,76.31,73.64,75.38,2143581,75.38
2018-02-06,71.97,74.54,71.4,73.78,2899882,73.78
2018-02-05,74.67,75.66,72.89,72.89,3160337,72.89
2018-02-02,75.84,76.05,74.66,74.91,2955372,74.91
2018-02-01,76.22,76.94,75.88,76.19,2208285,76.19
2018-01-31,77.03,77.38,76.2,76.65,3227358,76.65
2018-01-30,77.59,78.24,76.75,76.8,2310321,76.8
2018-01-29,77.2,78.04,76.91,77.4,1715741,77.4
2018-01-26,76.87,77.75,76.58,77.65,1853988,77.65
2018-01-25,76.88,77.5,76.2,76.68,3590954,76.68
2018-01-24,75.65,77.24,75.47,76.58,2375151,76.58
2018-01-23,76.26,76.26,74.1,75.5,2599936,75.5
2018-01-22,74.85,76.4,74.775,76.36,1787844,76.36
2018-01-19,76.0,76.1,74.16,74.96,3044444,74.96
2018-01-18,74.91,76.185,74.325,76.02,2166652,76.02
2018-01-17,74.5,75.99,74.21,75.5,1387849,75.5
2018-01-16,76.25,76.65,74.19,74.32,2368945,74.32
2018-01-12,74.55,76.11,74.52,75.92,2678738,75.92
2018-01-11,72.79,74.42,72.655,74.32,1911033,74.32
2018-01-10,71.9,72.81,71.2,72.7,1906050,72.7
2018-01-09,72.76,73.15,72.02,72.08,1626065,72.08
2018-01-08,71.73,72.62,71.26,72.41,1875447,72.41
2018-01-05,71.39,72.22,70.85,72.17,1841607,72.17
2018-01-04,70.41,71.23,69.65,71.06,2033325,71.06
2018-01-03,72.59,72.82,70.2,70.36,3589048,70.36
2018-01-02,72.66,73.36,71.35,72.77,3065210,72.77
2017-12-29,73.41,73.83,72.83,72.83,1418145,72.83
2017-12-28,73.71,73.71,72.65,73.4,925096,73.4
2017-12-27,73.39,73.53,72.94,73.48,1196075,73.48
2017-12-26,73.51,74.27,73.02,73.35,722729,73.35
2017-12-22,74.17,74.33,73.23,73.61,1752140,73.61
2017-12-21,74.53,74.81,73.99,74.08,1368577,74.08
2017-12-20,73.73,74.54,73.6,74.0,2247858,74.0
2017-12-19,73.55,74.02,72.96,73.87,1937860,73.87
2017-12-18,74.24,74.49,72.72,73.47,1791055,73.47
2017-12-15,73.92,74.83,73.52,74.41,4030885,74.41
2017-12-14,73.3,74.33,72.59,73.1,3311517,73.1
2017-12-13,73.84,74.66,73.41,73.71,2019357,73.71
2017-12-12,74.44,74.88,73.7,74.51,1922110,74.51
2017-12-11,73.95,75.18,73.4801,74.44,2570642,74.44
2017-12-08,73.32,73.65,72.82,73.48,3271961,73.48
2017-12-07,74.39,74.78,72.95,73.09,3133609,73.09
2017-12-06,75.31,75.88,74.31,74.47,2495585,74.47
2017-12-05,75.42,76.48,74.15,75.31,3735591,75.31
2017-12-04,74.02,76.09,74.02,74.7,4181204,74.7
2017-12-01,71.57,73.45,70.64,73.38,2642078,73.38
2017-11-30,72.85,73.76,71.06,71.44,3573094,71.44
2017-11-29,70.65,74.97,70.52,72.93,5611303,72.93
2017-11-28,68.81,70.74,68.8,70.65,2463580,70.65
2017-11-27,69.0,69.33,68.66,68.84,1652063,68.84
2017-11-24,68.92,69.4,68.71,68.97,512139,68.97
2017-11-22,69.43,69.64,68.79,68.87,1196937,68.87
2017-11-21,69.76,70.37,69.46,69.54,2501884,69.54
2017-11-20,68.97,69.895,68.52,69.62,2908559,69.62
2017-11-17,67.34,69.56,67.3,69.44,4790330,69.44
2017-11-16,67.09,67.63,66.91,67.45,2517201,67.45
2017-11-15,67.32,67.41,66.76100000000001,67.15,1875457,67.15
2017-11-14,67.44,68.42,67.28,67.66,1895823,67.66
2017-11-13,67.35,67.93,67.14,67.92,2348809,67.92
2017-11-10,67.08,67.869,67.0,67.55,2340268,67.55
2017-11-09,65.44,68.0575,65.32,67.28,3915901,67.28
2017-11-08,65.62,65.94,65.32,65.6,1377608,65.6
2017-11-07,66.5,66.83,65.45,65.52,1489473,65.52
2017-11-06,66.08,66.93,66.08,66.55,1925022,66.55
2017-11-03,66.17,67.04,65.55,66.21,1820559,66.21
2017-11-02,67.65,67.86,65.94,66.19,2618807,66.19
2017-11-01,67.68,68.715,67.37,67.63,2368442,67.63
2017-10-31,69.25,69.25,67.17,67.19,3080984,67.19
2017-10-30,68.34,68.45,67.2501,67.52,2215020,67.52
2017-10-27,70.28,70.57,68.0,68.56,3712329,68.56
2017-10-26,70.11,71.39,69.75,70.36,2754733,70.36
2017-10-25,70.99,71.27,69.42,69.81,3354671,69.81
2017-10-24,70.79,72.0,70.46,70.92,3699682,70.92
2017-10-23,73.93,74.23,72.84,73.01,1891679,73.01
2017-10-20,73.22,74.25,72.72,73.69,3496302,73.69
2017-10-19,74.55,74.71,72.42,72.96,3467306,72.96
2017-10-18,75.81,76.32,74.65,75.45,2558482,75.45
2017-10-17,76.40899999999999,78.7,74.96,75.59,5737431,75.59
2017-10-16,74.17,74.97,73.0,73.93,3901466,73.93
2017-10-13,74.64,75.56,74.05,75.14,1637316,75.14
2017-10-12,74.3,74.84,73.94,74.36,2138099,74.36
2017-10-11,74.26,74.53,73.9,74.35,2758500,74.35
2017-10-10,74.9,75.43,74.34,74.45,1307729,74.45
2017-10-09,75.44,75.64,74.53,74.67,1142965,74.67
2017-10-06,76.19,76.495,75.24,75.42,1571625,75.42
2017-10-05,75.7,76.4509,75.6,76.37,1638810,76.37
2017-10-04,75.32,76.49,75.07,75.82,1816004,75.82
2017-10-03,75.4,75.48,74.48,74.7,1993187,74.7
2017-10-02,74.21,75.59,73.48,75.54,1836388,75.54
2017-09-29,74.24,74.29,73.26,74.07,2541482,74.07
2017-09-28,75.02,75.23,74.04,74.24,2019578,74.24
2017-09-27,75.27,75.64,74.48,75.43,1737220,75.43
2017-09-26,75.95,76.67,75.04,75.13,1734162,75.13
2017-09-25,74.9,75.9,74.79,75.87,2427077,75.87
2017-09-22,74.31,75.09,74.09,75.0,1482939,75.0
2017-09-21,73.67,75.21,73.67,74.23,2043537,74.23
2017-09-20,72.94,74.43,72.94,74.36,2297225,74.36
2017-09-19,72.73,72.86,72.335,72.75,1251288,72.75
2017-09-18,73.05,73.53,72.37,72.7,1754326,72.7
2017-09-15,73.29,73.46,72.1,73.04,2918201,73.04
2017-09-14,73.55,74.02,72.96,73.87,1937860,73.87
2017-09-13,72.9,74.03,72.86,73.65,1633312,73.65
2017-09-12,73.61,73.63,72.5,72.94,1526366,72.94
2017-09-11,73.09,73.87,72.99,73.34,1347677,73.34
2017-09-08,72.43,73.35,71.68,72.83,1331920,72.83
2017-09-07,73.18,73.29,72.3,72.47,2380749,72.47
2017-09-06,72.69,73.295,72.3,73.1,2657091,73.1
2017-09-05,71.97,72.34,71.63,71.73,1451561,71.73
2017-09-01,72.38,72.62,71.72,71.94,1476064,71.94
2017-08-31,72.31,72.52,71.8,72.38,3040023,72.38
2017-08-30,72.81,72.869,72.0,72.31,1613196,72.31
2017-08-29,73.0,73.16,72.61,72.83,2101336,72.83
2017-08-28,73.43,73.695,73.01,73.19,1373471,73.19
2017-08-25,73.17,74.15,73.04,73.13,2677071,73.13
2017-08-24,72.9,73.8,72.75,73.01,2574737,73.01
2017-08-23,73.69,75.365,72.64,72.66,6994031,72.66
2017-08-22,77.08,78.27,76.92,78.13,1360401,78.13
