Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,34.22,34.72,33.83,33.85,1163088,33.85
2018-02-06,33.07,34.43,32.74,34.33,1561371,34.33
2018-02-05,35.04,35.31,33.58,33.69,1153303,33.69
2018-02-02,35.49,36.04,35.2,35.22,1176925,35.22
2018-02-01,35.62,35.77,35.15,35.66,1193119,35.66
2018-01-31,36.83,36.83,35.69,35.89,1260959,35.89
2018-01-30,37.37,37.57,36.67,36.74,934250,36.74
2018-01-29,37.49,38.2,37.38,37.76,983259,37.76
2018-01-26,37.67,37.74,37.23,37.57,962568,37.57
2018-01-25,37.29,37.54,37.13,37.37,935527,37.37
2018-01-24,37.01,37.61,36.85,37.21,807204,37.21
2018-01-23,37.14,37.14,36.75,36.88,586851,36.88
2018-01-22,36.67,37.16,36.67,37.02,1271744,37.02
2018-01-19,36.48,36.7,36.2,36.6,1809630,36.6
2018-01-18,36.75,37.0262,36.25,36.34,1195591,36.34
2018-01-17,38.32,38.32,36.65,36.85,1675398,36.85
2018-01-16,37.65,38.52,37.0249,38.13,1840817,38.13
2018-01-12,36.91,37.6,36.8,37.51,1550978,37.51
2018-01-11,36.38,36.79,36.19,36.67,1653055,36.67
2018-01-10,37.32,37.32,36.355,36.58,1261398,36.58
2018-01-09,37.9,37.9,37.32,37.35,1505616,37.35
2018-01-08,37.71,37.97,37.38,37.78,1855050,37.78
2018-01-05,37.5,37.8128,37.405,37.68,1241426,37.68
2018-01-04,37.46,37.56,37.27,37.47,1437617,37.47
2018-01-03,37.85,37.92,36.95,37.23,1300755,37.23
2018-01-02,36.55,38.01,36.44,37.88,1607605,37.88
2017-12-29,36.41,36.78,36.12,36.13,723885,36.13
2017-12-28,36.39,36.43,36.06,36.42,745013,36.42
2017-12-27,36.33,36.6479,36.15,36.38,552450,36.38
2017-12-26,36.26,36.97,36.23,36.24,565260,36.24
2017-12-22,36.3,36.43,36.12,36.25,714037,36.25
