date,open,high,low,close,volume,adj close
2018-02-07,30.13,30.655,29.96,30.27,7250413,30.27
2018-02-06,30.01,30.24,29.205,30.07,8870901,30.07
2018-02-05,31.18,31.34,30.29,30.3,6141563,30.3
2018-02-02,31.16,31.37,31.01,31.19,5091639,31.19
2018-02-01,31.67,31.93,31.21,31.23,5826460,31.23
2018-01-31,31.48,31.88,31.36,31.87,6990477,31.87
2018-01-30,31.53,31.72,31.42,31.42,4241631,31.42
2018-01-29,31.95,31.96,31.51,31.53,4474362,31.53
2018-01-26,32.4,32.45,31.8,32.01,5025893,32.01
2018-01-25,32.09,32.28,31.89,32.27,5497546,32.27
2018-01-24,31.79,32.16,31.67,32.0,7498813,32.0
2018-01-23,31.62,31.96,31.49,31.77,6400784,31.77
2018-01-22,31.76,31.895,31.385,31.49,5516772,31.49
2018-01-19,31.73,32.27,31.54,31.59,8504068,31.59
2018-01-18,31.8,32.07,31.55,31.61,6233538,31.61
2018-01-17,31.37,31.74,31.33,31.57,7016508,31.57
2018-01-16,31.3,31.435,30.95,31.26,7226518,31.26
2018-01-12,30.82,31.29,30.66,31.08,6844923,31.08
2018-01-11,30.88,31.0,30.76,30.88,5507080,30.88
2018-01-10,31.21,31.3,30.85,30.9,6592199,30.9
2018-01-09,31.37,31.52,31.21,31.33,7025926,31.33
2018-01-08,30.94,31.43,30.875,31.4,8892280,31.4
2018-01-05,30.92,31.06,30.74,30.95,7202981,30.95
2018-01-04,30.65,31.12,30.6,30.75,8392496,30.75
2018-01-03,30.6,30.77,30.46,30.67,8222579,30.67
2018-01-02,31.08,31.1,30.44,30.6,6045369,30.6
2017-12-29,30.91,31.04,30.7831,30.95,3418869,30.95
2017-12-28,30.9,30.98,30.75,30.91,5862268,30.91
2017-12-27,30.93,31.025,30.74,30.83,3962749,30.83
2017-12-26,31.13,31.2566,30.75,30.76,5773948,30.76
2017-12-22,31.27,31.39,31.1,31.13,6771871,31.13
2017-12-21,31.53,31.59,31.11,31.19,13655391,31.19
2017-12-20,31.87,32.15,31.53,31.59,19819171,31.59
2017-12-19,33.63,33.7,32.4,32.42,7650563,32.42
2017-12-18,34.07,34.15,33.88,33.97,6295389,33.97
2017-12-15,33.87,33.97,33.6,33.97,11020507,33.97
2017-12-14,33.69,33.9,33.22,33.8,4260612,33.8
2017-12-13,34.24,34.24,33.87,33.87,5283531,33.87
2017-12-12,34.55,34.69,34.02,34.04,5924888,34.04
2017-12-11,34.49,34.71,34.315,34.62,7836849,34.62
2017-12-08,34.94,34.94,34.37,34.5,10278558,34.5
2017-12-07,34.98,35.03,34.72,35.02,5411523,35.02
2017-12-06,35.37,35.55,35.21,35.41,6529314,35.41
2017-12-05,35.97,35.99,35.22,35.29,4564399,35.29
2017-12-04,36.36,36.4,35.91,35.96,3802686,35.96
2017-12-01,36.86,36.99,36.21,36.27,3115748,36.27
2017-11-30,36.61,36.885,36.52,36.67,5178374,36.67
2017-11-29,36.49,36.94,36.38,36.61,2463214,36.61
2017-11-28,36.69,36.99,36.44,36.53,3829238,36.53
2017-11-27,36.4,36.82,36.25,36.58,4457612,36.58
2017-11-24,36.24,36.41,36.2,36.31,1666725,36.31
2017-11-22,36.0,36.1,35.925,36.06,3221025,36.06
2017-11-21,36.0,36.24,35.98,36.02,3038880,36.02
2017-11-20,36.26,36.36,35.865,35.91,3612013,35.91
2017-11-17,36.13,36.44,36.06,36.26,4348092,36.26
2017-11-16,36.5,36.63,36.1,36.22,4874611,36.22
2017-11-15,37.15,37.3396,36.5,36.55,3007620,36.55
2017-11-14,36.52,37.1,36.52,37.07,3840382,37.07
2017-11-13,36.3,36.73,36.29,36.63,4020127,36.63
2017-11-10,36.55,36.595,36.18,36.29,3733357,36.29
2017-11-09,36.77,36.94,36.57,36.76,3690312,36.76
2017-11-08,37.11,37.355,36.815,36.92,3770774,36.92
2017-11-07,36.58,37.27,36.53,37.21,2930057,37.21
2017-11-06,36.8,36.84,36.45,36.51,2883558,36.51
2017-11-03,36.79,37.06,36.74,36.74,2723153,36.74
2017-11-02,37.02,37.19,36.71,36.9,3872741,36.9
2017-11-01,37.27,37.35,36.33,36.94,4071102,36.94
2017-10-31,37.42,37.57,37.26,37.56,3986851,37.56
2017-10-30,37.75,37.94,37.46,37.49,3243942,37.49
2017-10-27,37.62,38.0,37.59,37.75,2093446,37.75
2017-10-26,37.91,38.17,37.67,37.69,3272731,37.69
2017-10-25,37.82,37.89,37.22,37.7061,3677475,37.7061
2017-10-24,37.98,38.08,37.73,37.92,2789665,37.92
2017-10-23,37.87,38.19,37.71,38.13,2709429,38.13
2017-10-20,37.76,37.905,37.59,37.75,3928965,37.75
2017-10-19,37.56,37.89,37.55,37.81,2768924,37.81
2017-10-18,37.44,37.56,37.33,37.52,2077009,37.52
2017-10-17,37.41,37.55,37.26,37.48,3152531,37.48
2017-10-16,37.56,37.7,37.28,37.4,3628173,37.4
2017-10-13,38.43,38.55,37.48,37.56,4771542,37.56
2017-10-12,37.9,38.5,37.82,38.37,2749841,38.37
2017-10-11,37.76,38.255,37.75,37.92,2463087,37.92
2017-10-10,37.55,37.99,37.44,37.85,2782909,37.85
2017-10-09,37.28,37.59,37.28,37.43,2159051,37.43
2017-10-06,37.17,37.36,37.09,37.32,3318091,37.32
2017-10-05,37.59,37.59,37.195,37.3,5561779,37.3
2017-10-04,37.5,37.68,37.37,37.65,4033900,37.65
2017-10-03,37.69,37.71,37.09,37.46,3652084,37.46
2017-10-02,38.03,38.14,37.625,37.72,4415419,37.72
2017-09-29,38.21,38.24,37.9,37.95,2866815,37.95
2017-09-28,37.91,38.265,37.86,38.18,2346132,38.18
2017-09-27,38.48,38.55,37.61,38.01,3159650,38.01
2017-09-26,38.58,38.88,38.52,38.74,4516131,38.74
2017-09-25,38.46,38.84,38.39,38.64,5187453,38.64
2017-09-22,38.9,38.935,38.41,38.47,2237386,38.47
2017-09-21,38.87,39.07,38.76,38.81,1395467,38.81
2017-09-20,39.23,39.34,38.73,38.84,2693780,38.84
2017-09-19,39.16,39.33,38.9867,39.22,2989411,39.22
2017-09-18,39.31,39.41,38.76,39.11,3970683,39.11
2017-09-15,39.02,39.32,38.89,39.31,6445061,39.31
2017-09-14,38.83,39.19,38.65,39.12,3497683,39.12
2017-09-13,39.06,39.06,38.8,38.82,3443105,38.82
2017-09-12,39.72,39.77,38.82,39.07,2861489,39.07
2017-09-11,39.53,39.9,39.51,39.83,3140828,39.83
2017-09-08,39.21,39.66,39.075,39.55,3090379,39.55
2017-09-07,38.85,39.23,38.65,39.16,3162384,39.16
2017-09-06,39.26,39.3458,39.03,39.12,3054555,39.12
2017-09-05,39.17,39.17,38.900999999999996,39.17,2270253,39.17
2017-09-01,39.32,39.4,38.99,39.11,1797135,39.11
2017-08-31,39.26,39.32,39.17,39.24,2086220,39.24
2017-08-30,39.27,39.42,39.11,39.18,1825193,39.18
2017-08-29,39.59,39.65,39.36,39.38,1443889,39.38
2017-08-28,39.61,39.68,39.3,39.53,2119880,39.53
2017-08-25,39.56,39.81,39.5,39.59,1597293,39.59
2017-08-24,39.47,39.555,39.335,39.5,2133903,39.5
2017-08-23,39.01,39.55,38.89,39.52,3034304,39.52
2017-08-22,38.89,39.04,38.8,39.04,3073678,39.04
2017-08-21,38.86,39.01,38.74,38.94,1598832,38.94
2017-08-18,38.83,39.04,38.66,38.92,2413049,38.92
2017-08-17,39.06,39.16,38.795,38.82,2235067,38.82
2017-08-16,38.89,39.14,38.821,39.05,1868134,39.05
2017-08-15,38.53,38.94,38.51,38.92,1778627,38.92
2017-08-14,38.57,38.71,38.46,38.67,2343541,38.67
2017-08-11,38.74,38.84,38.385,38.49,1661690,38.49
2017-08-10,38.61,38.83,38.47,38.75,1877071,38.75
2017-08-09,38.87,38.9,38.56,38.6,3095131,38.6
2017-08-08,38.74,38.85,38.69,38.83,1863594,38.83
2017-08-07,38.7,38.845,38.66,38.83,1581123,38.83
2017-08-04,38.99,39.07,38.66,38.79,2562044,38.79
2017-08-03,38.42,39.18,38.35,39.11,3208548,39.11
2017-08-02,38.48,38.96,38.35,38.96,3731364,38.96
2017-08-01,38.99,39.07,38.66,38.79,2562044,38.79
2017-07-31,38.2,38.41,38.06,38.33,3397690,38.33
2017-07-28,38.12,38.2,37.86,38.18,2988889,38.18
2017-07-27,38.01,38.25,37.88,38.12,3185815,38.12
2017-07-26,37.94,38.11,37.81,38.09,2871558,38.09
2017-07-25,38.43,38.48,37.91,37.97,2248047,37.97
2017-07-24,38.51,38.7,38.275,38.4,3767786,38.4
2017-07-21,38.23,38.575,38.13,38.55,2791627,38.55
2017-07-20,38.12,38.31,37.96,38.24,4100001,38.24
2017-07-19,38.5,38.5,38.07,38.12,5476654,38.12
2017-07-18,37.71,37.85,37.58,37.69,2286905,37.69
2017-07-17,37.38,37.71,37.32,37.67,2997748,37.67
2017-07-14,37.72,37.73,37.1925,37.36,6090474,37.36
2017-07-13,37.74,37.8,37.44,37.44,2511211,37.44
2017-07-12,37.98,38.08,37.69,37.8,4301118,37.8
2017-07-11,38.0,38.06,37.54,37.76,3229358,37.76
2017-07-10,38.19,38.32,37.91,37.94,3816970,37.94
2017-07-07,38.03,38.29,38.0,38.07,2333574,38.07
2017-07-06,38.18,38.28,37.93,38.03,3622549,38.03
2017-07-05,38.36,38.37,38.06,38.29,3263384,38.29
2017-07-03,38.8,38.84,38.24,38.28,1989331,38.28
2017-06-30,38.74,38.92,38.65,38.66,3114184,38.66
2017-06-29,38.66,38.78,38.44,38.66,3726097,38.66
2017-06-28,39.17,39.41,38.79,38.84,3207507,38.84
2017-06-27,39.15,39.325,38.91,39.02,3036005,39.02
2017-06-26,38.99,39.48,38.83,39.29,3743338,39.29
2017-06-23,39.0,39.14,38.7,38.83,3576788,38.83
2017-06-22,39.3,39.38,38.98,39.02,2874415,39.02
2017-06-21,39.3,39.42,38.85,39.39,4945192,39.39
2017-06-20,39.52,39.56,39.3,39.34,2891765,39.34
2017-06-19,39.55,39.7,39.37,39.58,3057314,39.58
2017-06-16,39.57,39.7,39.4,39.49,6181984,39.49
2017-06-15,39.24,39.52,39.12,39.44,2869012,39.44
2017-06-14,39.27,39.45,39.2,39.29,3878660,39.29
2017-06-13,38.93,39.05,38.815,38.98,2878100,38.98
2017-06-12,39.21,39.38,38.71,38.88,4988588,38.88
2017-06-09,39.23,39.355,38.95,39.2,3896439,39.2
2017-06-08,39.62,39.62,39.1,39.41,3708194,39.41
2017-06-07,39.61,39.8,39.548,39.66,4640231,39.66
2017-06-06,40.13,40.2,39.87,39.9,3443952,39.9
2017-06-05,40.09,40.17,39.915,40.02,2370613,40.02
2017-06-02,40.19,40.2,39.865,40.06,3490666,40.06
2017-06-01,39.72,39.97,39.67,39.96,3754460,39.96
2017-05-31,39.91,40.1,39.65,39.91,5623008,39.91
2017-05-30,39.87,39.94,39.785,39.87,2199570,39.87
2017-05-26,39.84,40.0,39.8,39.86,2144829,39.86
2017-05-25,39.55,39.94,39.515,39.9,2125545,39.9
2017-05-24,39.35,39.6453,39.35,39.57,2543962,39.57
2017-05-23,39.26,39.57,39.18,39.29,2650555,39.29
2017-05-22,38.8,39.25,38.8,39.15,3150868,39.15
2017-05-19,38.77,38.94,38.51,38.82,4762561,38.82
