Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,87.2,88.43,86.98,87.52,744747,87.52
2018-02-06,86.34,88.575,85.84,88.04,1154939,88.04
2018-02-05,90.22,90.66,86.84,86.89,1215950,86.89
2018-02-02,90.72,91.06,89.88,90.4,859882,90.4
2018-02-01,90.63,92.3,90.63,90.96,793160,90.96
2018-01-31,90.27,90.97,89.49,90.62,1203185,90.62
2018-01-30,90.71,90.99,89.64,90.16,889381,90.16
2018-01-29,93.66,95.035,92.36,92.36,1287825,92.36
2018-01-26,95.06,95.93,94.29,95.15,989263,95.15
2018-01-25,94.26,94.69,93.72,94.59,692380,94.59
2018-01-24,94.05,94.805,92.7,93.61,723769,93.61
2018-01-23,92.6,94.17,92.38,93.99,919086,93.99
2018-01-22,91.66,93.47,91.53,93.44,765096,93.44
2018-01-19,92.0,92.23,90.66,91.88,1239265,91.88
2018-01-18,91.34,91.74,89.37,91.69,1036762,91.69
2018-01-17,90.72,92.36,90.5,91.6,894204,91.6
2018-01-16,91.19,92.58,90.38,90.86,848824,90.86
2018-01-12,92.19,92.75,91.09,91.8,559679,91.8
2018-01-11,90.17,92.1599,90.03,91.99,981054,91.99
2018-01-10,90.43,90.875,89.23,90.08,884926,90.08
2018-01-09,90.66,91.115,90.02,90.84,1056960,90.84
2018-01-08,91.39,91.39,87.73,90.13,1655186,90.13
2018-01-05,91.41,91.72,89.78,91.18,662790,91.18
2018-01-04,91.58,92.04,89.59,91.08,1597955,91.08
2018-01-03,89.59,89.93,88.86,89.44,868112,89.44
2018-01-02,87.75,90.82,87.65,89.69,798163,89.69
2017-12-29,87.57,87.79,87.04,87.16,442315,87.16
2017-12-28,88.52,88.7,87.14,87.27,651990,87.27
2017-12-27,88.53,89.37,87.98,88.51,606745,88.51
2017-12-26,87.62,88.97,87.51,87.93,746926,87.93
2017-12-22,87.395,87.41,86.6,87.01,415346,87.01
2017-12-21,87.19,87.66,86.33,87.18,609077,87.18
2017-12-20,86.98,87.21,86.01,86.53,1002570,86.53
2017-12-19,85.7,86.29,85.3,85.89,935634,85.89
2017-12-18,86.85,86.93,85.79,86.38,1428738,86.38
