date,open,high,low,close,volume,adj close
2018-02-07,78.75,80.02,78.07,78.09,3619025,78.09
2018-02-06,74.99,79.25,74.11,79.07,3857183,79.07
2018-02-05,80.2,81.97,75.35,75.58,4736324,75.58
2018-02-02,82.41,83.89,80.62,80.77,4082291,80.77
2018-02-01,79.32,85.24,77.89,83.34,10691401,83.34
2018-01-31,71.5,71.95,69.88,71.77,3927037,71.77
2018-01-30,67.48,75.08,67.4,70.67,6126485,70.67
2018-01-29,67.32,68.45,67.3,68.19,2286232,68.19
2018-01-26,66.42,67.94,66.1,67.94,1931972,67.94
2018-01-25,67.46,67.52,65.72,66.06,1914889,66.06
2018-01-24,66.76,67.885,65.8,66.9,2797890,66.9
2018-01-23,66.44,67.79,66.1,67.32,2130422,67.32
2018-01-22,68.12,68.52,65.56,66.34,3155850,66.34
2018-01-19,70.5,70.5,67.13,68.4,2820316,68.4
2018-01-18,70.84,71.99,70.59,70.7,1233650,70.7
2018-01-17,69.47,71.09,69.32,70.85,1025748,70.85
2018-01-16,71.37,71.61,68.9096,69.3,1188483,69.3
2018-01-12,69.12,71.23,68.705,71.04,1622037,71.04
2018-01-11,68.0,69.39,67.67,68.88,1022358,68.88
2018-01-10,68.7,68.98,67.35,67.74,1691607,67.74
2018-01-09,69.14,69.97,68.44,69.0,1513582,69.0
2018-01-08,67.89,68.97,67.29,68.84,1390088,68.84
2018-01-05,69.06,69.4383,67.92,68.03,1556428,68.03
2018-01-04,68.69,69.88,68.09,68.72,1347425,68.72
2018-01-03,69.08,70.0075,68.14,68.39,1552777,68.39
2018-01-02,67.06,68.97,66.08,68.88,1345849,68.88
2017-12-29,67.36,67.57,66.58,66.6,714767,66.6
2017-12-28,67.51,67.9,66.85,67.36,850313,67.36
2017-12-27,66.25,67.99,65.98,67.26,1135420,67.26
2017-12-26,65.84,67.69,64.53,65.9,1260347,65.9
2017-12-22,67.49,68.21,67.35,67.69,877754,67.69
2017-12-21,67.25,67.55,67.06,67.48,913391,67.48
2017-12-20,67.22,67.52,66.13,67.07,844956,67.07
