date,open,high,low,close,volume,adj close
2018-02-07,57.83,59.11,57.5,57.53,1472932,57.53
2018-02-06,57.69,58.74,56.66,57.79,1955774,57.79
2018-02-05,59.84,60.93,58.29,58.29,1190638,58.29
2018-02-02,60.36,60.74,59.67,60.12,859083,60.12
2018-02-01,62.94,63.22,60.66,60.69,1343759,60.69
2018-01-31,61.94,62.97,61.67,62.91,1730743,62.91
2018-01-30,62.41,62.59,61.58,61.83,867125,61.83
2018-01-29,63.89,63.95,62.07,62.57,1492088,62.57
2018-01-26,64.3,64.34,63.03,63.16,1157331,63.16
2018-01-25,64.25,64.76,63.83,64.12,796932,64.12
2018-01-24,64.58,64.645,63.981,64.3,1045213,64.3
2018-01-23,64.53,64.69,64.18,64.59,869768,64.59
2018-01-22,63.73,64.36,63.66,64.31,1159638,64.31
2018-01-19,63.81,64.05,63.4,63.77,1026696,63.77
2018-01-18,63.94,64.13,63.37,63.64,883540,63.64
2018-01-17,63.92,64.37,63.53,64.21,881369,64.21
2018-01-16,64.26,64.97,63.59,63.66,985024,63.66
2018-01-12,64.45,64.45,63.53,64.06,943886,64.06
2018-01-11,65.34,65.57,64.29,64.37,1305291,64.37
2018-01-10,65.31,65.54,64.4,65.34,932674,65.34
2018-01-09,67.42,67.42,65.89,65.9,789802,65.9
2018-01-08,66.82,67.56,66.82,67.32,903798,67.32
2018-01-05,67.13,67.36,66.63,66.77,944853,66.77
2018-01-04,69.08,69.08,66.76,66.79,844923,66.79
2018-01-03,69.57,69.62,68.67,69.05,781233,69.05
2018-01-02,69.33,69.775,68.89,69.54,763809,69.54
2017-12-29,69.41,69.64,69.15,69.18,667069,69.18
2017-12-28,69.22,69.61,68.69,69.42,677693,69.42
2017-12-27,68.95,69.26,68.52,69.02,899089,69.02
2017-12-26,68.33,69.09,68.1,68.69,561959,68.69
2017-12-22,67.76,68.22,67.64,68.09,720655,68.09
2017-12-21,68.11,68.435,67.49,67.7,1061997,67.7
2017-12-20,69.09,69.42,68.01,68.01,713431,68.01
2017-12-19,70.2,70.52,68.76,69.0,1212667,69.0
2017-12-18,70.23,70.64,70.0,70.37,1685731,70.37
2017-12-15,69.59,70.115,69.29,70.0,2053254,70.0
2017-12-14,69.0,69.64,68.55,69.2,912011,69.2
2017-12-13,68.77,69.23,68.37,68.76,937101,68.76
2017-12-12,67.77,68.75,67.32,68.59,839971,68.59
2017-12-11,67.54,68.0,67.36,67.68,603306,67.68
2017-12-08,67.61,67.86,67.25,67.58,638975,67.58
2017-12-07,67.41,67.87,67.06,67.45,1074166,67.45
2017-12-06,68.1,68.2,66.89,67.34,626689,67.34
2017-12-05,68.54,68.71,67.77,67.79,747195,67.79
2017-12-04,68.06,68.74,68.06,68.6,1220032,68.6
2017-12-01,68.06,68.26,67.49,68.06,679587,68.06
2017-11-30,68.0,68.45,67.63,67.81,1281764,67.81
2017-11-29,67.84,68.3,67.46,68.0,812531,68.0
2017-11-28,67.58,68.11,67.11,67.99,928006,67.99
2017-11-27,68.06,68.11,67.33,67.42,483004,67.42
2017-11-24,67.9,67.98,67.44,67.81,271923,67.81
2017-11-22,67.51,68.2,67.51,67.67,531170,67.67
2017-11-21,67.19,67.9,67.08,67.81,934540,67.81
2017-11-20,67.47,67.57,66.97,67.19,818673,67.19
2017-11-17,67.11,67.83,67.11,67.4,565348,67.4
2017-11-16,66.74,67.5,66.34,67.26,803790,67.26
2017-11-15,66.95,67.27,66.35,66.87,880158,66.87
2017-11-14,66.65,66.98,66.02,66.91,646825,66.91
2017-11-13,66.73,67.25,66.18,67.21,891867,67.21
2017-11-10,65.99,66.72,65.99,66.45,932558,66.45
2017-11-09,65.55,66.94,65.55,66.32,703829,66.32
2017-11-08,65.31,66.26,65.31,65.76,995003,65.76
2017-11-07,64.33,65.86,64.28,65.26,873197,65.26
2017-11-06,64.22,64.93,63.94,64.24,711417,64.24
2017-11-03,64.69,65.38,63.95,64.1,1302643,64.1
2017-11-02,63.98,65.51,63.405,65.28,1448627,65.28
2017-11-01,61.56,62.58,61.5572,62.12,1043779,62.12
2017-10-31,62.22,62.42,61.19,61.55,934493,61.55
2017-10-30,62.54,62.92,62.185,62.24,589044,62.24
2017-10-27,62.21,62.7,61.49,62.52,807164,62.52
2017-10-26,63.27,63.27,61.8,62.38,590817,62.38
2017-10-25,63.02,63.205,61.91,62.94,580482,62.94
2017-10-24,63.62,63.79,62.97,63.36,922429,63.36
2017-10-23,63.85,64.14,63.39,63.74,550197,63.74
2017-10-20,64.46,64.48,63.27,63.65,683020,63.65
2017-10-19,64.85,65.22,64.27,64.38,629449,64.38
2017-10-18,64.9,65.25,64.33,64.76,946259,64.76
2017-10-17,64.14,65.07,64.03,65.06,718177,65.06
2017-10-16,64.57,64.76,63.97,64.23,929962,64.23
2017-10-13,64.29,64.93,63.66,64.67,707833,64.67
2017-10-12,63.79,64.05,63.34,64.04,753752,64.04
2017-10-11,63.57,64.08,63.57,63.91,637329,63.91
2017-10-10,62.73,63.59,62.73,63.57,642148,63.57
2017-10-09,62.51,63.11,62.44,62.63,535735,62.63
2017-10-06,62.78,62.78,62.16,62.3,1093106,62.3
2017-10-05,62.99,63.82,62.9,63.1,819654,63.1
2017-10-04,62.36,62.875,62.04,62.87,557883,62.87
2017-10-03,62.37,62.51,61.7,62.38,576627,62.38
2017-10-02,62.05,62.35,61.53,62.1,803486,62.1
2017-09-29,61.85,62.34,61.68,62.04,785735,62.04
2017-09-28,61.89,62.225,61.46,62.14,815114,62.14
2017-09-27,63.04,63.04,61.65,61.86,1004860,61.86
2017-09-26,62.79,63.45,62.5,63.09,1147603,63.09
2017-09-25,62.26,63.32,62.15,62.72,1061744,62.72
2017-09-22,62.5,62.77,62.02,62.12,563102,62.12
2017-09-21,62.65,63.01,62.28,62.42,833211,62.42
2017-09-20,63.63,63.75,62.24,62.61,743663,62.61
2017-09-19,63.84,63.84,63.115,63.47,1120936,63.47
2017-09-18,64.87,64.98,63.72,63.95,978451,63.95
2017-09-15,65.24,65.27,64.54,65.0,1715375,65.0
2017-09-14,63.62,65.56,63.47,65.47,1074726,65.47
2017-09-13,64.01,64.01,63.27,63.64,946939,63.64
2017-09-12,64.74,65.38,63.7,63.92,937626,63.92
2017-09-11,64.3,65.35,64.29,65.0,1857012,65.0
2017-09-08,64.6,64.885,63.87,64.18,828392,64.18
2017-09-07,64.74,65.1,64.445,64.8,1353703,64.8
2017-09-06,64.79,65.5,64.55,64.72,855663,64.72
2017-09-05,64.72,65.25,64.13,64.52,727590,64.52
2017-09-01,64.32,65.13,63.95,64.68,779958,64.68
2017-08-31,63.95,64.74,63.67,64.32,1153481,64.32
2017-08-30,63.25,63.66,62.66,63.63,1659914,63.63
