Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,201.15,208.55,201.15,204.32,2264090,204.32
2018-02-06,195.13,201.99,193.77,201.13,2794392,201.13
2018-02-05,204.31,208.0,191.0,198.36,3119224,198.36
2018-02-02,209.52,210.4362,206.66,206.8,2430464,206.8
2018-02-01,208.59,213.45,208.32,210.85,1890991,210.85
2018-01-31,210.2,211.95,208.94,208.94,1951155,208.94
2018-01-30,210.27,210.49,206.42,209.18,2474424,209.18
2018-01-29,210.54,212.69,209.31,211.22,1790618,211.22
2018-01-26,203.91,209.28,203.91,208.91,2809307,208.91
2018-01-25,198.31,204.389,198.31,202.84,3012371,202.84
2018-01-24,196.6,198.56,196.09,198.09,1732253,198.09
2018-01-23,196.58,196.75,195.53,196.23,1109916,196.23
2018-01-22,196.1,196.81,194.09,196.37,1178364,196.37
2018-01-19,196.77,197.4,195.831,196.68,1226788,196.68
2018-01-18,197.16,198.125,195.53,195.71,1378996,195.71
2018-01-17,197.02,197.95,196.07,196.99,1519942,196.99
2018-01-16,198.92,199.75,195.59,195.73,1673166,195.73
2018-01-12,194.07,198.065,194.045,197.46,1491558,197.46
2018-01-11,193.5,194.53,193.075,193.35,1368944,193.35
2018-01-10,193.52,194.0,192.05,193.48,1148334,193.48
2018-01-09,192.71,194.69,192.4,193.7,1256075,193.7
2018-01-08,190.15,192.69,189.815,192.36,1264605,192.36
2018-01-05,190.45,190.98,189.58,190.23,1237246,190.23
2018-01-04,188.55,190.3,188.08,190.09,1776752,190.09
2018-01-03,186.29,188.47,186.28,188.3,1290575,188.3
2018-01-02,187.49,187.6,185.03,186.28,1616200,186.28
2017-12-29,189.13,189.46,187.83,187.85,1137457,187.85
2017-12-28,187.86,189.02,187.86,188.92,586028,188.92
2017-12-27,187.15,187.97,186.69,187.91,1002856,187.91
2017-12-26,187.63,188.39,187.13,187.46,793673,187.46
2017-12-22,187.02,187.51,186.5201,187.31,1166300,187.31
2017-12-21,187.08,187.35,186.51,186.84,1046904,186.84
2017-12-20,188.24,188.419,186.63,186.67,1157815,186.67
2017-12-19,188.92,189.3757,187.35,187.43,1072911,187.43
