date,open,high,low,close,volume,adj close
2006-04-07,22.75,22.75,22.75,22.75,0,22.75
2006-04-06,23.0,23.0,23.0,23.0,0,23.0
2006-04-05,22.97,22.97,22.97,22.97,0,22.97
2006-04-04,22.87,22.87,22.87,22.87,0,22.87
2006-04-03,22.51,22.51,22.51,22.51,0,22.51
2006-03-31,22.19,22.19,22.19,22.19,0,22.19
2006-03-29,21.82,21.82,21.82,21.82,0,21.82
2006-03-28,21.76,21.76,21.76,21.76,0,21.76
2006-03-27,21.7,21.7,21.7,21.7,0,21.7
2006-03-24,21.58,21.58,21.58,21.58,0,21.58
2006-03-23,21.52,21.52,21.52,21.52,0,21.52
2006-03-22,21.44,21.44,21.44,21.44,0,21.44
2006-03-20,21.29,21.29,21.29,21.29,0,21.29
2006-03-17,21.04,21.04,21.04,21.04,0,21.04
2006-03-16,20.92,20.92,20.92,20.92,0,20.92
2006-03-15,20.84,20.84,20.84,20.84,0,20.84
2006-03-13,20.75,20.75,20.75,20.75,0,20.75
2006-03-10,20.42,20.42,20.42,20.42,0,20.42
2006-03-06,21.11,21.11,21.11,21.11,0,21.11
2006-03-03,21.16,21.16,21.16,21.16,0,21.16
2006-03-02,21.38,21.38,21.38,21.38,0,21.38
2006-03-01,21.34,21.34,21.34,21.34,0,21.34
2006-02-28,21.3,21.3,21.3,21.3,0,21.3
2006-02-23,21.32,21.32,21.32,21.32,0,21.32
2006-02-22,21.14,21.14,21.14,21.14,0,21.14
2006-02-17,21.13,21.13,21.13,21.13,0,21.13
2006-02-15,20.85,20.85,20.85,20.85,0,20.85
2006-02-13,20.93,20.93,20.93,20.93,0,20.93
2006-02-10,21.42,21.42,21.42,21.42,0,21.42
2006-02-08,21.26,21.26,21.26,21.26,0,21.26
2006-02-07,21.67,21.67,21.67,21.67,0,21.67
2006-02-06,21.57,21.57,21.57,21.57,0,21.57
2006-02-03,21.08,21.08,21.08,21.08,0,21.08
2006-02-02,21.63,21.63,21.63,21.63,0,21.63
2006-02-01,21.51,21.51,21.51,21.51,0,21.51
2006-01-31,21.75,21.75,21.75,21.75,0,21.75
2006-01-27,21.56,21.56,21.56,21.56,0,21.56
2006-01-26,21.2,21.2,21.2,21.2,0,21.2
2006-01-25,20.9,20.9,20.9,20.9,0,20.9
2006-01-23,20.4,20.4,20.4,20.4,0,20.4
2006-01-20,20.76,20.76,20.76,20.76,0,20.76
2006-01-19,20.84,20.84,20.84,20.84,0,20.84
2006-01-18,20.45,20.45,20.45,20.45,0,20.45
2006-01-17,21.08,21.08,21.08,21.08,0,21.08
2006-01-13,21.51,21.51,21.51,21.51,0,21.51
2006-01-12,21.2,21.2,21.2,21.2,0,21.2
2006-01-11,21.62,21.62,21.62,21.62,0,21.62
2006-01-09,21.55,21.55,21.55,21.55,0,21.55
2006-01-04,20.98,20.98,20.98,20.98,0,20.98
2006-01-03,20.27,20.27,20.27,20.27,0,20.27
2005-12-30,19.79,19.79,19.79,19.79,0,19.79
2005-12-29,19.79,19.79,19.79,19.79,0,19.79
2005-12-28,19.65,19.65,19.65,19.65,0,19.65
2005-12-27,20.66,20.66,20.66,20.66,0,20.66
2005-12-23,20.69,20.69,20.69,20.69,0,20.69
2005-12-22,20.54,20.54,20.54,20.54,0,20.54
2005-12-21,20.51,20.51,20.51,20.51,0,20.51
