date,open,high,low,close,volume,adj close
2018-02-07,71.15,72.53,69.62,69.75,7344965,69.75
2018-02-06,69.51,72.56,69.0,71.04,12391892,71.04
2018-02-05,72.85,74.3807,70.59,71.35,11310341,71.35
2018-02-02,74.88,75.25,73.36,73.69,9066579,73.69
2018-02-01,73.79,75.56,73.79,75.51,8671581,75.51
2018-01-31,74.89,74.9466,73.11,73.58,10198715,73.58
2018-01-30,75.4,75.79,73.93,74.54,11370998,74.54
2018-01-29,77.09,77.405,76.1,76.38,7877852,76.38
2018-01-26,77.69,78.18,77.39,77.61,6055329,77.61
2018-01-25,78.98,79.09,77.23,77.33,7141971,77.33
2018-01-24,78.96,79.25,77.6748,78.18,10368958,78.18
2018-01-23,79.82,80.35,78.58,79.21,9332559,79.21
2018-01-22,77.04,79.8762,76.84,79.79,13192669,79.79
2018-01-19,75.0,77.18,74.25,76.42,13389800,76.42
2018-01-18,76.57,77.47,75.69,76.37,10588526,76.37
2018-01-17,77.0,77.7893,76.41,77.21,8009568,77.21
2018-01-16,77.75,78.0,76.95,77.17,11902474,77.17
2018-01-12,77.37,78.09,77.05,77.97,9211490,77.97
2018-01-11,75.67,77.22,75.4225,77.05,10248734,77.05
2018-01-10,75.12,76.07,75.0,75.6,10017573,75.6
2018-01-09,74.78,75.295,74.56,74.9,9370258,74.9
2018-01-08,73.35,74.92,72.71,74.8,9778907,74.8
2018-01-05,72.95,73.675,72.25,73.6,8552681,73.6
2018-01-04,71.76,73.19,71.26,73.1,12252324,73.1
2018-01-03,69.97,71.64,69.1258,71.33,9529205,71.33
2018-01-02,68.07,69.8325,67.6,69.52,8678208,69.52
2017-12-29,67.46,67.725,66.8,67.39,5918786,67.39
2017-12-28,67.95,68.22,67.285,67.46,4386774,67.46
2017-12-27,67.76,68.4,67.61,67.92,7107882,67.92
2017-12-26,67.5,68.08,67.42,67.61,5028195,67.61
2017-12-22,67.6,68.335,67.16,67.44,6695908,67.44
2017-12-21,65.65,68.32,65.25,67.86,15943684,67.86
2017-12-20,64.48,65.515,64.25,65.28,9227525,65.28
2017-12-19,63.83,64.98,63.58,64.39,8949496,64.39
2017-12-18,62.45,64.04,62.25,63.6,10716588,63.6
2017-12-15,62.77,62.95,62.01,62.09,15834718,62.09
2017-12-14,62.94,63.35,62.36,62.37,8550142,62.37
2017-12-13,64.12,64.53,63.28,63.3,7485578,63.3
2017-12-12,64.88,65.0,64.1,64.18,6487799,64.18
2017-12-11,63.38,64.94,63.01,64.56,11702914,64.56
2017-12-08,62.38,63.54,62.095,63.54,11030077,63.54
2017-12-07,62.06,62.52,61.96,62.07,7862521,62.07
2017-12-06,63.28,63.28,61.78,62.07,9299307,62.07
2017-12-05,64.45,65.0,63.44,63.45,8212782,63.45
2017-12-04,64.79,65.99,64.48,64.6,9505012,64.6
2017-12-01,63.23,65.13,63.02,64.73,11963967,64.73
2017-11-30,62.57,63.65,62.4975,62.85,11308937,62.85
2017-11-29,62.4,63.3,61.93,62.15,8805860,62.15
2017-11-28,61.24,62.47,61.21,62.29,8737684,62.29
2017-11-27,61.73,61.92,61.05,61.36,6741564,61.36
2017-11-24,62.4,62.45,61.85,61.93,2967471,61.93
2017-11-22,62.44,62.6,61.84,62.14,7610252,62.14
2017-11-21,61.97,62.15,61.44,61.88,8491129,61.88
2017-11-20,61.71,62.1,61.22,61.72,7103454,61.72
2017-11-17,61.36,62.325,61.26,61.96,8088725,61.96
2017-11-16,61.6,61.645,61.02,61.31,7791607,61.31
2017-11-15,62.15,62.43,61.11,61.55,11273166,61.55
2017-11-14,64.64,64.64,62.73,62.78,10606836,62.78
2017-11-13,65.25,65.54,64.86,65.04,5506272,65.04
2017-11-10,66.59,66.62,65.18,65.74,6577005,65.74
2017-11-09,66.85,67.1,66.5,66.89,6155193,66.89
2017-11-08,66.65,67.58,66.08,67.06,8008318,67.06
2017-11-07,67.57,67.68,66.26,66.43,7147395,66.43
2017-11-06,64.1,67.42,63.93,67.08,14246290,67.08
2017-11-03,63.14,63.725,62.92,63.58,10035127,63.58
2017-11-02,64.34,64.34,63.1,63.25,8984107,63.25
2017-11-01,64.62,64.96,63.99,64.28,11329345,64.28
2017-10-31,63.99,64.735,63.93,64.0,8519453,64.0
2017-10-30,63.75,64.5,63.53,64.11,6632757,64.11
2017-10-27,63.11,63.87,62.88,63.55,12972656,63.55
2017-10-26,63.45,63.81,63.06,63.37,8668313,63.37
2017-10-25,62.5,63.62,62.4,63.46,9382437,63.46
2017-10-24,62.53,62.84,61.92,62.44,9639492,62.44
2017-10-23,63.15,63.48,61.81,61.91,14054109,61.91
2017-10-20,63.57,63.95,61.4,63.15,19259629,63.15
2017-10-19,65.36,65.71,64.47,64.5,13577643,64.5
2017-10-18,66.46,66.65,65.68,65.91,5936547,65.91
2017-10-17,66.88,67.185,66.26,66.5,6621444,66.5
2017-10-16,67.56,67.83,66.78,66.8,4846108,66.8
2017-10-13,67.63,68.08,67.13,67.17,4248691,67.17
2017-10-12,67.22,67.42,66.79,67.29,6225799,67.29
2017-10-11,67.32,67.8,66.84,67.74,8060492,67.74
2017-10-10,68.76,69.03,68.27,68.33,3824659,68.33
2017-10-09,68.36,68.8,68.24,68.33,3587144,68.33
2017-10-06,68.72,68.72,67.87,68.34,5717424,68.34
2017-10-05,69.15,69.18,68.57,68.87,6293077,68.87
2017-10-04,69.12,69.325,68.67,68.82,6319662,68.82
2017-10-03,69.26,69.57,68.8507,69.06,6124491,69.06
2017-10-02,68.73,69.32,68.54,69.32,7254816,69.32
2017-09-29,69.03,69.77,68.26,69.76,6559138,69.76
2017-09-28,69.33,69.66,68.55,69.16,6464308,69.16
2017-09-27,68.94,69.19,68.29,69.08,6043142,69.08
2017-09-26,69.27,69.56,68.54,68.82,6393397,68.82
2017-09-25,69.1,70.01,69.08,69.65,6914341,69.65
2017-09-22,67.73,68.94,67.73,68.8,6797576,68.8
2017-09-21,67.53,68.5,67.01,68.09,8315084,68.09
2017-09-20,68.14,68.1599,67.47,67.62,6765969,67.62
2017-09-19,68.0,68.255,67.47,67.89,6817176,67.89
2017-09-18,67.08,68.0,67.0,67.87,6688895,67.87
2017-09-15,67.69,67.9,66.75,67.24,11428399,67.24
2017-09-14,67.42,67.94,67.17,67.7,5954133,67.7
2017-09-13,66.52,67.47,66.43,66.92,5728190,66.92
2017-09-12,65.76,66.62,65.3413,66.43,5308560,66.43
2017-09-11,65.19,65.89,64.98,65.77,5617087,65.77
2017-09-08,65.72,65.76,64.541,64.86,5486979,64.86
2017-09-07,65.72,66.13,65.355,65.87,4236427,65.87
2017-09-06,65.29,66.24,65.28,65.72,6806190,65.72
2017-09-05,63.48,65.25,63.35,65.1,7517646,65.1
2017-09-01,63.2,63.92,62.97,63.35,4907449,63.35
2017-08-31,63.6,63.78,63.16,63.51,5833538,63.51
2017-08-30,63.4,63.76,63.07,63.39,4629119,63.39
2017-08-29,63.26,63.62,62.81,63.5,4076319,63.5
2017-08-28,63.84,64.08,63.0,63.45,4505590,63.45
2017-08-25,63.11,64.13,62.99,63.88,5712609,63.88
2017-08-24,63.1,63.24,62.56,62.88,5674063,62.88
2017-08-23,63.1,63.5,62.87,63.19,4433403,63.19
2017-08-22,63.16,63.635,63.11,63.35,4710207,63.35
2017-08-21,63.11,63.405,62.99,63.0,4498202,63.0
2017-08-18,63.07,63.81,62.93,63.32,9096305,63.32
2017-08-17,63.46,63.8,62.95,63.03,5292094,63.03
2017-08-16,63.64,63.95,63.23,63.71,6329590,63.71
2017-08-15,63.94,63.94,63.03,63.44,6850815,63.44
2017-08-14,64.0,64.2767,63.67,63.95,4961009,63.95
2017-08-11,64.1,64.67,63.74,63.83,4627489,63.83
2017-08-10,65.55,65.78,64.19,64.4,8060480,64.4
2017-08-09,65.73,65.9,65.065,65.49,6274921,65.49
2017-08-08,66.25,66.63,65.26,65.49,8700109,65.49
2017-08-07,67.25,67.5,66.53,66.55,5756631,66.55
2017-08-04,68.15,68.39,67.455,67.54,5411615,67.54
2017-08-03,68.96,69.25,67.75,68.22,9869702,68.22
2017-08-02,68.88,69.37,68.42,69.13,7973424,69.13
2017-08-01,68.88,69.37,68.42,69.13,7967401,69.13
2017-07-31,68.44,68.79,67.69,68.6,10621068,68.6
2017-07-28,67.54,69.04,67.5,68.46,10545593,68.46
2017-07-27,66.96,67.8,66.391,67.78,6968571,67.78
2017-07-26,67.48,68.16,66.72,66.99,8350793,66.99
2017-07-25,67.0,67.55,66.93,67.01,6947164,67.01
2017-07-24,66.68,66.84,65.85,66.42,6210964,66.42
2017-07-21,67.8,68.96,66.2,66.53,10910320,66.53
2017-07-20,67.77,67.9,66.76,67.02,7458162,67.02
2017-07-19,66.13,67.64,66.1,67.44,6642300,67.44
2017-07-18,67.31,67.32,65.98,66.18,5359752,66.18
2017-07-17,66.75,67.54,66.65,66.83,6438534,66.83
2017-07-14,66.5,67.09,66.37,66.85,5340611,66.85
2017-07-13,65.47,66.54,65.44,66.49,6252255,66.49
2017-07-12,66.52,66.6,65.34,65.58,6497554,65.58
2017-07-11,65.35,66.24,65.07,65.79,5534042,65.79
2017-07-10,64.82,65.685,64.78,65.35,5873639,65.35
2017-07-07,64.99,65.18,64.15,65.08,6743422,65.08
2017-07-06,66.16,66.5,65.015,65.13,6503753,65.13
2017-07-05,67.26,67.26,65.34,65.74,8872902,65.74
2017-07-03,66.12,67.4,65.9,66.97,5201403,66.97
2017-06-30,65.85,66.11,65.38,65.84,7981924,65.84
2017-06-29,65.6,66.3,65.3,65.38,7194819,65.38
2017-06-28,65.44,66.04,65.1,65.25,6243534,65.25
2017-06-27,65.65,66.04,65.13,65.36,6498360,65.36
2017-06-26,66.11,66.4,65.53,65.89,8042711,65.89
2017-06-23,65.33,66.16,65.15,65.93,7402492,65.93
2017-06-22,65.5,66.43,65.15,65.37,8088027,65.37
2017-06-21,66.48,66.49,65.26,65.47,11374235,65.47
2017-06-20,67.05,67.05,66.04,66.75,9579959,66.75
2017-06-19,68.53,68.78,67.895,68.1,5037557,68.1
2017-06-16,67.6,68.58,67.05,68.58,10179214,68.58
2017-06-15,67.96,68.08,67.0,67.33,9465863,67.33
2017-06-14,69.06,69.09,67.34,68.18,10261263,68.18
2017-06-13,69.31,69.7,68.84,69.35,7882662,69.35
2017-06-12,70.25,70.69,69.065,69.31,7999223,69.31
2017-06-09,68.35,70.39,68.32,69.68,8141068,69.68
2017-06-08,68.37,69.11,68.23,68.31,7739773,68.31
2017-06-07,69.55,69.86,67.92,68.67,10227667,68.67
2017-06-06,69.14,70.185,68.71,69.97,6588597,69.97
2017-06-05,68.79,69.4999,68.63,69.27,4670819,69.27
2017-06-02,68.88,69.12,68.03,68.96,8646521,68.96
2017-06-01,69.67,70.19,69.2201,69.78,5874806,69.78
2017-05-31,68.31,69.925,68.2301,69.59,8944161,69.59
2017-05-30,69.22,69.49,68.65,68.74,7263475,68.74
2017-05-26,69.5,70.35,69.0,70.09,8960723,70.09
2017-05-25,71.27,71.69,68.94,69.39,14649418,69.39
2017-05-24,72.13,72.28,71.065,71.36,5280351,71.36
2017-05-23,72.17,72.31,71.521,72.09,4969857,72.09
2017-05-22,72.26,72.38,71.37,71.89,6209841,71.89
2017-05-19,71.77,72.31,71.56,71.75,7681847,71.75
2017-05-18,70.66,71.92,70.66,71.43,6073433,71.43
2017-05-17,70.97,71.64,70.8,70.99,6347653,70.99
2017-05-16,72.3,72.41,70.89,71.37,7029164,71.37
2017-05-15,72.48,72.69,71.94,72.0,8572952,72.0
2017-05-12,71.74,71.81,70.78,71.02,7308522,71.02
2017-05-11,73.04,73.08,71.65,71.78,7380171,71.78
2017-05-10,72.84,73.2,72.35,72.67,7021168,72.67
2017-05-09,72.34,72.6,71.89,72.28,6631862,72.28
2017-05-08,72.29,72.96,72.03,72.22,8160514,72.22
2017-05-05,71.04,72.2,70.9,71.97,11115445,71.97
2017-05-04,71.16,71.25,70.225,70.94,12174294,70.94
2017-05-03,71.41,71.9536,70.97,71.53,7843603,71.53
2017-05-02,72.34,72.395,70.97,71.45,9141952,71.45
2017-05-01,72.7,73.09,72.135,72.3,6910089,72.3
