date,open,high,low,close,volume,adj close
2018-02-07,71.26,73.45,71.0,72.84,1318577,72.84
2018-02-06,69.91,71.91,69.26,71.31,1148985,71.31
2018-02-05,73.15,73.89,70.72,70.72,1225290,70.72
2018-02-02,74.14,74.44,73.01,73.38,819571,73.38
2018-02-01,75.31,75.58,73.65,74.25,1035433,74.25
2018-01-31,72.99,75.45,72.78,75.36,1424359,75.36
2018-01-30,72.7,73.21,72.41,72.46,761710,72.46
2018-01-29,71.87,73.35,71.24,73.01,739493,73.01
2018-01-26,70.64,72.02,70.56,72.0,443676,72.0
2018-01-25,70.84,70.84,69.79,70.48,405065,70.48
2018-01-24,70.71,71.2199,70.31,70.69,756786,70.69
2018-01-23,70.85,70.85,69.79,70.56,955882,70.56
2018-01-22,72.0,72.49,70.73,70.99,927991,70.99
2018-01-19,71.88,72.36,71.37,72.0,806360,72.0
2018-01-18,72.04,72.24,71.38,71.53,737270,71.53
2018-01-17,72.56,72.66,71.8,72.2,634221,72.2
2018-01-16,71.94,72.69,71.6,72.16,748640,72.16
2018-01-12,71.46,71.76,70.94,71.6,857516,71.6
2018-01-11,70.37,71.6588,70.06,71.58,627445,71.58
2018-01-10,70.1,70.71,69.84,70.27,583100,70.27
2018-01-09,70.87,71.22,70.02,70.125,514673,70.125
2018-01-08,71.09,71.27,70.09,70.76,505020,70.76
2018-01-05,70.92,71.41,70.41,71.17,589484,71.17
2018-01-04,68.09,71.04,67.92,70.85,841876,70.85
2018-01-03,68.46,68.65,67.56,67.63,700059,67.63
2018-01-02,68.29,68.65,67.39,68.56,659243,68.56
2017-12-29,67.99,68.93,67.54,67.99,444871,67.99
2017-12-28,67.74,67.94,67.0,67.87,442457,67.87
2017-12-27,68.04,68.26,67.38,67.82,339683,67.82
2017-12-26,68.3,68.72,67.55,67.84,293316,67.84
2017-12-22,69.0,69.01,68.21,68.31,624130,68.31
2017-12-21,68.95,68.988,68.5125,68.83,424991,68.83
2017-12-20,67.99,69.1199,67.98,68.76,788051,68.76
2017-12-19,67.96,68.74,67.37,67.78,798962,67.78
2017-12-18,67.07,68.19,67.07,67.83,715179,67.83
2017-12-15,66.09,67.73,66.09,66.88,1191122,66.88
2017-12-14,66.06,66.59,65.73,65.86,994688,65.86
2017-12-13,67.64,67.86,66.0,66.04,840565,66.04
2017-12-12,67.38,67.6,66.97,67.3,709175,67.3
2017-12-11,66.93,67.58,66.59,67.17,659083,67.17
2017-12-08,67.15,67.2974,66.2,66.58,778553,66.58
2017-12-07,67.51,68.23,66.59,66.95,1312100,66.95
2017-12-06,66.46,66.59,64.88,65.78,1168734,65.78
2017-12-05,67.46,67.63,65.86,66.5,1249649,66.5
2017-12-04,67.33,68.04,66.8,67.36,1281806,67.36
2017-12-01,66.31,67.04,65.46,66.94,855494,66.94
2017-11-30,65.7,66.641,65.43,66.31,972388,66.31
2017-11-29,63.9,65.5379,63.76,65.29,1076755,65.29
2017-11-28,63.38,63.95,63.29,63.86,746325,63.86
2017-11-27,63.04,63.55,62.79,63.36,635171,63.36
2017-11-24,63.02,63.32,62.67,63.05,263556,63.05
2017-11-22,62.68,62.97,62.21,62.82,512588,62.82
2017-11-21,62.93,62.955,62.11,62.75,586825,62.75
2017-11-20,62.81,62.99,61.25,62.5,1142422,62.5
2017-11-17,62.61,63.45,62.34,62.76,850815,62.76
2017-11-16,63.14,64.14,62.625,62.68,1203119,62.68
2017-11-15,63.23,63.57,62.47,63.06,959236,63.06
2017-11-14,63.77,64.0245,63.39,63.54,1085058,63.54
2017-11-13,63.95,64.4299,63.78,64.06,827120,64.06
2017-11-10,63.72,65.24,63.66,64.02,1738017,64.02
2017-11-09,62.3,64.76,61.62,64.06,4637105,64.06
2017-11-08,66.98,67.37,66.6804,67.1,922226,67.1
2017-11-07,67.1,67.37,66.65,67.16,696193,67.16
2017-11-06,67.27,67.36,66.27,67.26,832921,67.26
2017-11-03,67.99,68.0078,66.68,67.32,789721,67.32
2017-11-02,68.64,69.03,67.46,67.92,1342418,67.92
2017-11-01,70.94,71.48,68.38,68.71,1034942,68.71
2017-10-31,71.03,71.25,70.65,70.85,551379,70.85
2017-10-30,70.64,70.96,70.23,70.85,663779,70.85
2017-10-27,71.58,71.74,70.32,71.0,753150,71.0
2017-10-26,71.8,72.23,71.51,71.78,486811,71.78
2017-10-25,71.63,71.97,71.1,71.4,527762,71.4
2017-10-24,72.5,72.76,71.7705,72.08,533364,72.08
2017-10-23,72.69,72.94,72.08,72.64,567866,72.64
2017-10-20,72.19,72.8,71.96,72.69,560887,72.69
2017-10-19,71.63,71.92,70.71,71.9,468741,71.9
2017-10-18,71.43,71.78,70.815,71.65,557829,71.65
2017-10-17,70.04,71.39,70.03,71.27,827958,71.27
2017-10-16,70.59,70.8205,69.9,70.07,409570,70.07
2017-10-13,71.11,71.36,70.17,70.6,454093,70.6
2017-10-12,70.5,71.93,70.255,71.27,816712,71.27
2017-10-11,70.84,70.84,70.07,70.71,522662,70.71
2017-10-10,70.4,70.82,70.01,70.8,575063,70.8
2017-10-09,72.03,72.03,69.91,70.27,539024,70.27
2017-10-06,71.57,72.07,71.39,71.58,674569,71.58
2017-10-05,71.48,72.3599,71.17,71.64,586082,71.64
2017-10-04,71.92,71.92,71.09,71.48,473744,71.48
2017-10-03,72.62,72.62,71.22,71.82,508905,71.82
2017-10-02,71.83,72.73,71.83,72.66,590878,72.66
2017-09-29,71.77,72.1,71.315,71.62,488505,71.62
2017-09-28,71.74,72.45,71.45,71.72,441962,71.72
2017-09-27,71.23,72.28,70.79,71.9,733580,71.9
2017-09-26,70.54,71.12,69.96,71.11,500183,71.11
2017-09-25,70.4,71.13,70.02,70.73,521220,70.73
2017-09-22,70.12,71.04,69.83,70.34,526465,70.34
2017-09-21,70.18,70.46,69.38,69.97,576155,69.97
2017-09-20,70.09,70.5,69.23,70.02,900849,70.02
2017-09-19,71.06,71.24,70.01,70.19,548329,70.19
2017-09-18,72.43,72.43,70.91,71.0,455936,71.0
2017-09-15,71.46,72.22,71.04,72.12,797780,72.12
2017-09-14,71.85,72.7,71.5,71.87,487913,71.87
2017-09-13,71.98,72.69,71.94,72.13,413544,72.13
2017-09-12,71.05,72.49,70.9,72.18,607173,72.18
2017-09-11,70.71,71.45,70.47,70.95,630726,70.95
2017-09-08,69.0,70.62,68.62,70.26,737301,70.26
2017-09-07,70.64,70.99,68.92,69.0,1379742,69.0
2017-09-06,70.63,71.515,70.28,70.5,1011980,70.5
2017-09-05,71.83,71.9999,70.04,70.34,950511,70.34
2017-09-01,71.97,72.35,71.58,71.74,781385,71.74
2017-08-31,72.36,72.58,71.76,71.89,633389,71.89
2017-08-30,72.29,72.54,71.842,72.26,489165,72.26
2017-08-29,71.77,72.3,71.52,72.02,438577,72.02
2017-08-28,71.82,72.36,71.72,72.1,492999,72.1
2017-08-25,71.87,72.02,71.05,71.72,553404,71.72
2017-08-24,70.93,71.57,70.86,71.41,523280,71.41
2017-08-23,71.86,72.03,70.88,70.91,385517,70.91
2017-08-22,71.65,72.3,71.53,71.9,407161,71.9
2017-08-21,70.73,71.49,70.26,71.3,858743,71.3
2017-08-18,70.95,71.48,70.34,70.7,633268,70.7
2017-08-17,71.97,73.0116,71.0,71.05,696696,71.05
2017-08-16,72.44,73.32,71.97,72.27,896877,72.27
2017-08-15,71.87,72.48,71.18,72.07,718369,72.07
2017-08-14,71.16,72.46,71.05,71.95,986745,71.95
2017-08-11,71.92,73.36,70.97,71.03,1349933,71.03
2017-08-10,74.0,74.0,70.24,71.44,2811386,71.44
2017-08-09,76.94,76.94,74.65,75.06,1068123,75.06
2017-08-08,78.5,78.9199,77.0,77.06,622094,77.06
2017-08-07,78.45,79.18,77.64,78.66,1124253,78.66
2017-08-04,80.5,82.16,77.04,78.45,2662126,78.45
2017-08-03,79.69,83.25,78.1,82.76,2753177,82.76
2017-08-02,77.07,77.2,75.5,76.02,577100,76.02
2017-08-01,77.33,77.56,76.66,77.06,803552,77.06
2017-07-31,76.32,77.65,76.26,77.08,539724,77.08
2017-07-28,76.39,76.96,75.52,75.93,469999,75.93
2017-07-27,76.49,76.81,75.91,76.56,700043,76.56
2017-07-26,77.54,77.54,76.36,76.55,584316,76.55
2017-07-25,76.83,77.7,76.31,77.46,743049,77.46
2017-07-24,77.58,77.76,76.21,76.41,428638,76.41
2017-07-21,76.48,77.6,76.47,77.54,537455,77.54
