Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,49.2,50.61,48.79,49.55,6042727,49.55
2018-02-06,48.08,49.45,47.2,48.68,9556611,48.68
2018-02-05,51.26,52.42,49.51,49.65,7359006,49.65
2018-02-02,53.99,54.0,51.3801,51.77,6567155,51.77
2018-02-01,54.72,55.53,53.8,54.44,5356395,54.44
2018-01-31,55.15,56.45,55.07,55.2,5110203,55.2
2018-01-30,54.0,55.01,53.15,54.98,7756255,54.98
2018-01-29,54.0,55.62,53.5108,55.11,8940951,55.11
2018-01-26,53.51,55.0,53.44,54.94,7318581,54.94
2018-01-25,53.46,53.8,52.67,53.17,3618291,53.17
2018-01-24,54.04,54.08,52.295,52.97,5551529,52.97
2018-01-23,53.18,54.12,52.93,54.06,3192240,54.06
2018-01-22,52.49,53.25,52.04,53.16,3591726,53.16
2018-01-19,52.14,52.77,51.7424,52.62,3871209,52.62
2018-01-18,52.2,52.29,51.62,52.01,3982283,52.01
2018-01-17,51.27,52.42,50.891,52.14,4113573,52.14
2018-01-16,50.77,52.335,50.42,51.51,6885254,51.51
2018-01-12,49.12,51.88,49.11,51.26,7747448,51.26
2018-01-11,47.36,49.05,47.11,49.005,6246581,49.005
2018-01-10,46.16,47.27,45.81,47.07,3808752,47.07
2018-01-09,46.48,47.29,46.04,46.39,10500163,46.39
2018-01-08,48.78,49.7,45.62,46.0,23460829,46.0
2018-01-05,42.84,42.99,42.44,42.94,2183179,42.94
2018-01-04,42.87,43.23,41.97,42.64,2824993,42.64
2018-01-03,42.93,43.15,42.48,42.85,3446064,42.85
2018-01-02,42.35,43.14,41.91,42.93,2888378,42.93
2017-12-29,42.01,42.35,41.84,41.84,1866361,41.84
2017-12-28,42.19,42.26,41.74,42.02,1368877,42.02
2017-12-27,42.24,42.49,41.73,42.11,1934643,42.11
2017-12-26,41.99,42.7,41.71,42.14,2969355,42.14
2017-12-22,41.93,42.39,41.9,42.17,1713946,42.17
2017-12-21,41.72,42.53,41.59,41.96,3425256,41.96
2017-12-20,42.44,42.5,41.36,41.53,3322531,41.53
2017-12-19,42.21,42.73,41.94,42.18,4553347,42.18
2017-12-18,42.36,43.065,42.229,42.99,4628927,42.99
2017-12-15,42.2,42.21,41.41,42.02,6241798,42.02
2017-12-14,42.21,42.29,41.84,41.94,3301558,41.94
2017-12-13,42.37,42.645,41.94,42.08,4509096,42.08
2017-12-12,40.67,42.57,40.6,42.12,6354875,42.12
2017-12-11,40.35,41.13,40.17,40.47,3740724,40.47
2017-12-08,39.83,40.615,39.58,40.49,5502052,40.49
2017-12-07,39.16,40.1,38.98,39.58,3724986,39.58
2017-12-06,39.17,39.31,38.56,39.18,2520261,39.18
2017-12-05,39.52,39.95,39.04,39.13,3945577,39.13
2017-12-04,39.76,40.02,38.78,39.2,4592560,39.2
2017-12-01,38.31,39.285,37.25,39.11,5125089,39.11
2017-11-30,38.99,39.16,38.21,38.56,6782523,38.56
2017-11-29,39.95,40.5,38.66,38.75,6070187,38.75
2017-11-28,39.38,40.05,38.96,39.98,3809279,39.98
2017-11-27,39.47,39.7,38.56,39.08,5631717,39.08
2017-11-24,40.36,40.55,39.97,40.29,1340056,40.29
2017-11-22,40.02,40.47,39.82,40.33,2364850,40.33
2017-11-21,40.05,40.639,39.96,40.14,3848063,40.14
2017-11-20,39.34,40.07,39.08,39.85,3993233,39.85
2017-11-17,39.24,39.6,38.78,39.42,3154656,39.42
2017-11-16,37.96,39.275,37.93,39.12,5258404,39.12
2017-11-15,37.34,37.85,37.24,37.81,3497299,37.81
2017-11-14,37.62,37.93,37.33,37.49,2598799,37.49
2017-11-13,37.9,37.94,37.32,37.66,2305647,37.66
2017-11-10,37.2,38.08,37.2,37.99,3011776,37.99
2017-11-09,37.13,38.13,37.13,37.41,4349562,37.41
2017-11-08,37.04,38.2,36.731,37.71,4241354,37.71
2017-11-07,37.43,37.4859,36.84,37.12,2842344,37.12
2017-11-06,36.28,37.53,36.07,37.46,3186603,37.46
2017-11-03,36.6,36.98,36.16,36.33,2280056,36.33
2017-11-02,36.97,37.0,36.3801,36.77,2745209,36.77
2017-11-01,37.38,37.63,36.66,36.96,2784309,36.96
2017-10-31,36.82,37.73,36.57,36.97,4432597,36.97
2017-10-30,36.95,36.98,36.12,36.68,5870278,36.68
2017-10-27,38.26,38.26,36.845,36.9,5297431,36.9
2017-10-26,38.31,38.62,37.57,38.18,4276256,38.18
2017-10-25,38.47,38.68,37.5,38.15,7430651,38.15
2017-10-24,39.5,40.34,38.51,38.84,12140476,38.84
2017-10-23,39.65,40.9,37.64,39.35,33601239,39.35
2017-10-20,34.55,35.28,34.41,34.94,8315324,34.94
2017-10-19,33.92,34.35,33.8525,34.34,4362941,34.34
2017-10-18,34.11,34.33,34.02,34.26,3732155,34.26
2017-10-17,34.04,34.19,33.15,33.96,5936521,33.96
2017-10-16,34.46,34.55,34.085,34.49,4041455,34.49
2017-10-13,33.86,34.56,33.66,34.4,4179203,34.4
2017-10-12,33.4,33.77,33.22,33.62,5111119,33.62
2017-10-11,33.58,34.1,33.4,33.5,3610699,33.5
2017-10-10,34.24,34.345,33.36,33.75,5237532,33.75
2017-10-09,34.03,34.82,33.84,33.85,3679235,33.85
2017-10-06,33.86,34.13,33.51,33.79,3555643,33.79
2017-10-05,34.08,34.28,33.76,34.1,3211112,34.1
2017-10-04,34.04,34.26,33.86,33.98,3067371,33.98
2017-10-03,34.2,34.25,33.53,34.05,3755445,34.05
2017-10-02,33.64,34.48,33.54,34.2,7403049,34.2
2017-09-29,32.99,33.23,32.75,33.17,2524367,33.17
2017-09-28,33.25,33.37,32.41,32.98,4585574,32.98
2017-09-27,33.02,33.47,32.59,33.18,3785358,33.18
2017-09-26,33.18,33.5,32.8,32.87,3423937,32.87
2017-09-25,33.42,33.7,32.97,33.16,3625668,33.16
2017-09-22,32.67,33.65,32.56,33.57,4397593,33.57
2017-09-21,32.38,33.05,32.05,32.72,4696936,32.72
2017-09-20,32.19,32.68,31.97,32.38,4594086,32.38
2017-09-19,32.75,32.92,31.7,32.18,7963150,32.18
2017-09-18,33.75,33.923,32.31,33.52,8551019,33.52
2017-09-15,32.66,33.64,32.4,33.55,9565630,33.55
2017-09-14,32.51,32.79,32.35,32.65,3368210,32.65
2017-09-13,32.12,32.85,31.94,32.78,5300016,32.78
2017-09-12,31.0,32.0,30.96,31.89,5159508,31.89
2017-09-11,31.27,31.79,30.89,30.95,6630305,30.95
2017-09-08,32.31,32.31,31.9,31.99,3562738,31.99
2017-09-07,32.93,32.98,31.89,32.34,4284306,32.34
2017-09-06,32.85,33.31,32.65,32.79,5927660,32.79
2017-09-05,31.84,33.35,31.83,32.75,8454710,32.75
2017-09-01,31.59,32.0201,31.55,31.8,2115257,31.8
2017-08-31,31.8,31.8,31.26,31.53,4289317,31.53
2017-08-30,31.36,31.58,30.91,31.5,3807194,31.5
2017-08-29,31.2,31.55,30.95,31.45,3357869,31.45
2017-08-28,31.34,31.7,31.12,31.49,2856317,31.49
2017-08-25,31.07,31.4,30.85,31.25,3504783,31.25
2017-08-24,31.11,31.43,30.95,31.02,4542635,31.02
2017-08-23,31.12,31.36,30.6,31.01,7757275,31.01
2017-08-22,31.67,32.38,31.56,32.29,2640301,32.29
2017-08-21,31.47,31.5399,31.14,31.46,3141425,31.46
2017-08-18,31.58,31.74,31.04,31.37,2901029,31.37
2017-08-17,32.3,32.6,31.47,31.51,3483081,31.51
2017-08-16,32.34,32.51,32.18,32.48,2533522,32.48
2017-08-15,32.59,32.6717,32.26,32.28,2938591,32.28
2017-08-14,32.65,33.16,32.54,32.55,4163015,32.55
2017-08-11,32.25,33.25,31.97,32.29,5647213,32.29
2017-08-10,32.36,32.52,31.51,31.55,6368456,31.55
2017-08-09,32.74,32.995,32.47,32.6,4285875,32.6
2017-08-08,33.39,33.62,32.97,32.99,5981481,32.99
2017-08-07,33.4,33.66,33.24,33.48,5520705,33.48
2017-08-04,33.71,34.035,33.36,33.43,6767992,33.43
2017-08-03,33.51,33.765,33.26,33.57,4934872,33.57
2017-08-02,33.46,33.4675,33.03,33.42,5838381,33.42
2017-08-01,33.05,33.51,32.9,33.37,6029177,33.37
2017-07-31,32.73,33.14,32.48,32.96,7171657,32.96
2017-07-28,32.3,32.62,31.88,32.61,7865473,32.61
2017-07-27,32.5,33.0288,32.1,32.56,7709592,32.56
2017-07-26,33.35,33.42,32.08,32.34,12637592,32.34
2017-07-25,32.33,34.13,31.88,33.2,35475705,33.2
2017-07-24,39.63,40.13,39.23,39.76,6279070,39.76
2017-07-21,39.48,39.72,39.075,39.58,3256610,39.58
2017-07-20,39.24,39.6,38.87,39.42,2778843,39.42
2017-07-19,39.0,39.44,38.931,39.24,4143946,39.24
2017-07-18,39.06,39.06,38.3,38.83,3497284,38.83
2017-07-17,39.0,39.25,38.555,39.07,3813384,39.07
2017-07-14,38.4,39.69,38.38,39.5,5357158,39.5
2017-07-13,37.62,39.01,37.32,38.32,11523664,38.32
2017-07-12,39.33,40.17,39.15,39.7,4980209,39.7
2017-07-11,38.37,39.16,38.37,38.72,3751231,38.72
2017-07-10,38.14,38.6,37.88,38.39,3631964,38.39
2017-07-07,37.48,38.69,37.22,38.2,5852050,38.2
2017-07-06,38.28,38.44,36.94,37.29,9051804,37.29
2017-07-05,38.8,39.14,38.16,39.02,5116855,39.02
2017-07-03,38.92,39.27,38.57,38.59,1975084,38.59
2017-06-30,39.4,39.45,38.51,38.75,3872621,38.75
2017-06-29,39.84,39.92,38.2842,38.91,6082364,38.91
2017-06-28,40.0,40.299,39.435,40.18,4744043,40.18
2017-06-27,41.1,41.2,39.51,39.51,9008653,39.51
2017-06-26,42.95,43.27,42.24,42.39,3631527,42.39
2017-06-23,42.01,43.25,41.94,42.67,3596992,42.67
2017-06-22,41.96,42.23,41.59,42.01,2443751,42.01
2017-06-21,41.19,41.8706,41.0822,41.66,2799269,41.66
2017-06-20,41.68,41.74,41.03,41.04,3294455,41.04
2017-06-19,41.65,42.15,41.55,41.83,3068282,41.83
2017-06-16,41.4,42.1,41.33,42.03,7267682,42.03
2017-06-15,40.45,41.65,40.4,41.52,3694887,41.52
2017-06-14,42.23,42.23,40.81,41.28,3917176,41.28
2017-06-13,41.99,42.4,41.78,42.03,3981083,42.03
2017-06-12,41.75,41.94,40.32,41.54,6519284,41.54
2017-06-09,42.86,43.53,41.6,42.37,4758970,42.37
2017-06-08,42.05,42.82,41.58,42.77,3210626,42.77
2017-06-07,42.09,42.56,41.765,41.94,2397429,41.94
2017-06-06,42.0,42.345,41.59,41.89,3406625,41.89
2017-06-05,42.86,42.99,42.06,42.08,3322208,42.08
2017-06-02,42.96,43.35,42.91,43.22,2682978,43.22
2017-06-01,43.56,43.56,42.63,42.88,3492931,42.88
2017-05-31,43.39,43.57,42.86,43.57,4522265,43.57
2017-05-30,42.21,43.545,42.21,43.24,3566940,43.24
2017-05-26,42.67,43.0,42.2,42.53,3272703,42.53
2017-05-25,42.88,43.415,42.48,43.11,2951187,43.11
2017-05-24,43.05,43.2,42.587,42.73,2388530,42.73
2017-05-23,43.1,43.17,42.445,42.63,2702305,42.63
2017-05-22,42.84,43.16,42.22,42.77,2506213,42.77
2017-05-19,42.38,42.78,42.36,42.51,3272094,42.51
2017-05-18,42.66,42.66,41.67,42.25,4102516,42.25
2017-05-17,43.46,43.6251,42.12,42.16,5852820,42.16
2017-05-16,43.67,44.055,43.4,44.0,4080477,44.0
2017-05-15,43.16,43.57,42.99,43.48,4448747,43.48
2017-05-12,42.48,43.07,42.27,43.04,3544703,43.04
2017-05-11,43.01,43.17,42.43,42.48,5224768,42.48
2017-05-10,42.9,43.2,42.78,43.11,3493564,43.11
2017-05-09,42.87,43.1,42.49,42.83,2798045,42.83
2017-05-08,43.61,43.62,42.75,42.87,3002068,42.87
2017-05-05,42.34,43.56,42.15,43.55,4885380,43.55
2017-05-04,42.58,42.7,42.35,42.58,4947387,42.58
2017-05-03,42.32,42.72,42.08,42.51,5381411,42.51
2017-05-02,42.23,42.46,41.97,42.44,6508914,42.44
2017-05-01,42.08,42.3,41.73,42.18,7376814,42.18
2017-04-28,42.71,42.73,41.2,42.13,8613105,42.13
2017-04-27,42.17,43.0,41.785,42.3,9673220,42.3
2017-04-26,44.61,44.86,41.76,42.01,34476550,42.01
2017-04-25,49.81,50.96,49.53,50.51,7791453,50.51
2017-04-24,49.08,49.68,48.73,49.42,4584579,49.42
2017-04-21,48.52,48.7101,47.89,48.26,3359447,48.26
2017-04-20,47.88,48.685,47.22,48.55,5842421,48.55
2017-04-19,48.54,49.19,48.44,48.56,2957039,48.56
2017-04-18,48.19,48.6,47.83,48.54,3322851,48.54
2017-04-17,48.36,48.785,47.97,48.49,2974408,48.49
2017-04-13,48.1,48.82,47.84,48.17,3791164,48.17
2017-04-12,49.01,49.09,47.71,48.34,4226662,48.34
2017-04-11,48.5,49.47,47.56,49.09,7672388,49.09
2017-04-10,47.16,48.27,47.13,47.6,5389126,47.6
2017-04-07,46.26,46.97,45.685,46.85,3589301,46.85
2017-04-06,46.25,46.59,45.67,46.25,2958206,46.25
2017-04-05,46.34,47.2,45.88,46.0,3669945,46.0
2017-04-04,45.22,46.09,45.08,45.97,2353885,45.97
2017-04-03,45.63,46.0,44.69,45.3,6306739,45.3
2017-03-31,46.92,47.04,45.913,45.93,3387302,45.93
2017-03-30,45.56,47.3852,45.4,47.12,5955211,47.12
2017-03-29,45.15,45.69,44.53,45.67,2608148,45.67
2017-03-28,44.9,45.44,44.63,45.28,3418152,45.28
2017-03-27,44.67,45.1,44.28,44.91,3164923,44.91
2017-03-24,46.44,46.68,44.87,45.24,5278240,45.24
2017-03-23,44.85,45.47,44.54,45.13,3662901,45.13
2017-03-22,44.42,45.11,43.7,45.01,4311053,45.01
2017-03-21,46.07,46.23,44.26,44.51,4693437,44.51
2017-03-20,46.24,46.785,45.79,46.08,3441462,46.08
2017-03-17,47.46,47.54,46.7599,46.87,6829485,46.87
2017-03-16,47.3,47.62,46.8,47.23,3191636,47.23
2017-03-15,46.78,47.19,46.01,47.06,4057235,47.06
2017-03-14,47.24,47.355,46.01,46.7,3493241,46.7
2017-03-13,47.35,47.71,46.92,47.57,2949496,47.57
2017-03-10,47.22,47.29,46.6,47.28,3527035,47.28
2017-03-09,47.55,47.8,45.58,46.68,6329496,46.68
2017-03-08,48.22,48.745,47.96,48.11,2081073,48.11
2017-03-07,48.55,48.7,47.96,48.28,2285351,48.28
2017-03-06,48.59,48.8157,48.0,48.51,3474135,48.51
2017-03-03,49.02,49.65,48.75,48.96,3098879,48.96
2017-03-02,49.44,49.79,48.42,48.92,4130213,48.92
2017-03-01,48.65,49.7,48.35,49.48,4625317,49.48
2017-02-28,47.4,48.6801,47.37,48.19,5592772,48.19
2017-02-27,47.22,47.81,46.89,47.69,5420598,47.69
2017-02-24,46.98,47.75,46.72,47.75,3172622,47.75
2017-02-23,47.5,47.74,47.04,47.39,4064626,47.39
2017-02-22,47.4,47.51,47.19,47.35,2658385,47.35
2017-02-21,47.43,47.73,47.045,47.43,3217132,47.43
2017-02-17,47.41,47.48,46.88,47.14,3270914,47.14
2017-02-16,48.3,48.35,47.35,47.57,4450836,47.57
2017-02-15,47.93,48.53,47.5,48.15,5004179,48.15
2017-02-14,47.65,48.14,47.37,47.85,4105112,47.85
2017-02-13,46.89,48.08,46.58,47.8,5521563,47.8
2017-02-10,46.51,46.6,45.83,46.46,3658189,46.46
2017-02-09,46.45,46.63,45.75,46.37,3452439,46.37
2017-02-08,45.55,46.09,45.14,45.8,4852602,45.8
2017-02-07,45.48,46.46,45.14,46.1,4946803,46.1
2017-02-06,46.04,46.39,45.08,45.44,4651821,45.44
2017-02-03,45.31,46.355,45.3,46.29,5767989,46.29
2017-02-02,44.29,45.73,44.29,45.27,5447299,45.27
2017-02-01,45.61,45.65,44.05,44.78,5382069,44.78
2017-01-31,44.85,45.19,44.23,45.15,5597625,45.15
2017-01-30,44.4,45.21,44.11,44.9,6863584,44.9
2017-01-27,44.07,44.99,43.62,44.5,7679943,44.5
2017-01-26,42.62,44.79,42.62,43.9,14711949,43.9
2017-01-25,42.45,46.68,42.16,42.67,46164733,42.67
2017-01-24,37.86,38.0,36.6,37.44,8551301,37.44
2017-01-23,36.67,36.68,35.54,36.37,4955502,36.37
2017-01-20,36.36,37.045,36.315,36.47,3041380,36.47
2017-01-19,37.1,37.3071,36.13,36.34,2958673,36.34
2017-01-18,37.11,37.48,36.75,37.24,2866839,37.24
2017-01-17,37.14,37.82,36.75,37.02,3291286,37.02
2017-01-13,36.75,37.39,36.75,36.9,2515820,36.9
2017-01-12,36.79,36.8365,35.64,36.75,3849645,36.75
2017-01-11,37.6,38.0601,36.22,36.87,6268895,36.87
2017-01-10,38.1,38.64,37.57,37.63,4266857,37.63
2017-01-09,38.49,38.7404,38.02,38.05,3263995,38.05
2017-01-06,39.06,39.2,38.18,38.49,4529885,38.49
2017-01-05,39.07,39.23,38.57,39.05,2890121,39.05
2017-01-04,39.73,40.27,38.93,39.12,3842717,39.12
2017-01-03,38.46,40.1,38.4,39.62,5129251,39.62
2016-12-30,38.18,38.66,37.99,38.17,2897495,38.17
2016-12-29,38.79,39.14,37.8299,38.02,2710850,38.02
2016-12-28,39.39,39.56,38.675,38.79,2592751,38.79
2016-12-27,39.03,39.52,39.0,39.38,1940042,39.38
2016-12-23,38.87,39.215,38.58,39.11,2473037,39.11
2016-12-22,39.27,39.635,38.75,39.02,3098787,39.02
2016-12-21,38.61,39.55,38.61,38.91,3136363,38.91
2016-12-20,38.88,39.3,38.5,38.76,3301296,38.76
2016-12-19,38.5,39.089,38.33,38.71,4271289,38.71
2016-12-16,40.86,40.87,39.01,39.1,8418473,39.1
2016-12-15,40.33,40.97,39.66,40.6,2927816,40.6
2016-12-14,40.87,40.99,40.0,40.2,4504900,40.2
2016-12-13,39.22,41.4543,39.08,40.84,5722053,40.84
2016-12-12,39.37,39.39,38.44,39.17,3836444,39.17
2016-12-09,39.4,40.14,36.5,39.38,4125494,39.38
2016-12-08,40.29,40.37,39.14,39.23,3584324,39.23
2016-12-07,39.76,40.355,38.9,40.27,7636382,40.27
2016-12-06,39.03,39.49,39.0,39.15,3408928,39.15
2016-12-05,37.4,39.63,37.4,39.16,3813200,39.16
2016-12-02,38.3,39.02,38.05,38.87,4144608,38.87
2016-12-01,40.73,40.97,38.03,38.11,5532711,38.11
2016-11-30,39.63,40.26,39.565,40.1,3961930,40.1
2016-11-29,39.41,40.27,39.33,39.5,3996239,39.5
2016-11-28,38.91,39.52,38.525,39.37,3177685,39.37
2016-11-25,38.9,39.24,38.45,39.07,1802333,39.07
2016-11-23,38.68,39.09,38.38,38.82,2805721,38.82
2016-11-22,39.95,40.1,38.91,38.96,4799845,38.96
2016-11-21,39.32,39.9299,39.11,39.82,2177737,39.82
2016-11-18,39.2,39.48,38.5,39.29,2394385,39.29
2016-11-17,38.4,39.3,38.35,39.23,4720662,39.23
2016-11-16,38.17,38.74,38.07,38.26,2607373,38.26
2016-11-15,38.14,38.6,37.81,38.51,3527102,38.51
2016-11-14,37.15,38.44,37.15,38.0,5205752,38.0
2016-11-11,35.87,37.32,35.6108,37.25,4736554,37.25
2016-11-10,35.0,36.63,34.92,36.17,6204126,36.17
2016-11-09,33.4,35.315,32.58,34.76,6166980,34.76
2016-11-08,34.43,34.77,33.86,34.49,2676833,34.49
2016-11-07,33.56,34.8,33.47,34.65,4564570,34.65
2016-11-04,32.96,33.67,32.8,33.0,3641374,33.0
2016-11-03,32.64,33.28,32.45,33.08,3855880,33.08
2016-11-02,33.67,33.85,32.62,32.65,5446241,32.65
2016-11-01,34.37,34.63,33.06,33.71,4147084,33.71
2016-10-31,34.39,34.65,34.27,34.31,3121404,34.31
2016-10-28,34.22,34.7999,34.03,34.15,3142923,34.15
2016-10-27,35.35,35.785,34.21,34.24,6846022,34.24
2016-10-26,34.16,35.1,34.1,34.84,5638805,34.84
2016-10-25,35.04,35.04,34.15,34.27,4172327,34.27
2016-10-24,34.7,34.82,34.485,34.52,2949576,34.52
2016-10-21,34.8,35.0,34.13,34.5,4484120,34.5
2016-10-20,34.49,35.275,34.4,34.98,5159227,34.98
2016-10-19,34.95,35.3,33.54,34.32,10115441,34.32
2016-10-18,35.34,35.62,34.82,35.34,5505109,35.34
2016-10-17,35.23,35.57,34.65,35.01,4548281,35.01
2016-10-14,35.36,36.01,34.97,35.16,5413491,35.16
2016-10-13,34.76,35.53,33.5792,35.18,7302333,35.18
2016-10-12,35.51,36.0,35.15,35.23,5153129,35.23
2016-10-11,38.22,38.22,34.83,35.1,14457875,35.1
2016-10-10,38.14,38.56,37.66,37.97,4466576,37.97
2016-10-07,37.93,38.253,37.5811,37.89,3340221,37.89
2016-10-06,38.21,38.31,37.47,37.81,4165294,37.81
2016-10-05,38.39,38.91,38.03,38.54,2679674,38.54
2016-10-04,38.61,38.99,38.05,38.24,3593579,38.24
2016-10-03,38.56,39.33,38.2,38.41,3671026,38.41
2016-09-30,37.94,38.845,37.94,38.55,3839954,38.55
2016-09-29,38.12,38.86,37.4138,37.79,4046487,37.79
2016-09-28,38.71,39.04,37.645,38.21,4971532,38.21
2016-09-27,37.02,38.53,37.0,38.42,6853033,38.42
2016-09-26,36.37,37.42,36.18,37.2,5411656,37.2
2016-09-23,36.17,36.85,36.17,36.46,2497642,36.46
2016-09-22,36.76,37.1,36.36,36.4,2585414,36.4
2016-09-21,35.4,36.72,35.4,36.69,3641139,36.69
2016-09-20,36.17,36.21,35.33,35.53,2624883,35.53
2016-09-19,36.28,36.5,35.5,35.95,4950122,35.95
2016-09-16,37.32,37.32,36.11,36.4,8966569,36.4
2016-09-15,36.13,36.64,36.03,36.45,4246882,36.45
2016-09-14,36.09,36.63,35.46,36.07,4074408,36.07
2016-09-13,36.05,36.5,35.47,36.14,4716852,36.14
2016-09-12,35.83,36.705,35.06,36.55,6149656,36.55
2016-09-09,36.77,37.96,35.99,36.09,7724186,36.09
2016-09-08,36.48,36.58,35.855,36.31,4738335,36.31
2016-09-07,35.56,36.65,35.28,36.51,9483771,36.51
2016-09-06,34.1,34.57,33.815,34.47,4357244,34.47
2016-09-02,33.79,34.25,33.47,33.92,2723726,33.92
2016-09-01,33.76,34.08,33.34,33.71,4149525,33.71
2016-08-31,33.6,34.14,33.32,33.74,5297539,33.74
2016-08-30,33.5,34.14,33.5,33.92,2929512,33.92
2016-08-29,33.42,33.97,33.42,33.73,3972347,33.73
2016-08-26,32.23,33.48,32.21,33.33,6087210,33.33
2016-08-25,31.41,32.25,31.41,32.05,2591551,32.05
2016-08-24,32.13,32.4,31.43,31.58,2772664,31.58
2016-08-23,32.18,32.48,31.97,32.12,2565773,32.12
2016-08-22,32.21,32.33,31.35,31.87,2807031,31.87
2016-08-19,31.91,32.72,31.91,32.33,2659053,32.33
2016-08-18,31.82,32.49,31.64,32.07,2352497,32.07
2016-08-17,32.49,32.51,31.5,31.78,3514741,31.78
2016-08-16,32.0,32.75,31.9,32.46,3174104,32.46
2016-08-15,31.57,32.38,31.57,32.0,3627412,32.0
2016-08-12,31.76,31.87,31.33,31.55,2250186,31.55
2016-08-11,31.4,31.98,31.4,31.75,2330737,31.75
2016-08-10,32.53,32.63,31.3,31.38,4537644,31.38
2016-08-09,32.6,32.65,32.25,32.49,3238934,32.49
2016-08-08,32.23,32.75,32.19,32.61,5216973,32.61
2016-08-05,31.48,32.48,31.48,32.13,5094903,32.13
2016-08-04,30.94,31.39,30.71,31.26,4459376,31.26
2016-08-03,30.64,31.1,30.09,30.73,6056926,30.73
2016-08-02,33.3,33.75,30.27,30.65,14366976,30.65
2016-08-01,32.0,32.44,31.8,32.43,7349615,32.43
2016-07-29,32.09,32.41,31.2642,32.03,6415998,32.03
2016-07-28,32.07,32.63,31.76,32.6,4133094,32.6
2016-07-27,32.53,33.035,31.8,32.05,4490376,32.05
2016-07-26,31.28,32.47,31.0,32.45,4435535,32.45
2016-07-25,31.62,31.83,31.3,31.44,4319300,31.44
2016-07-22,31.38,31.76,31.06,31.58,4602621,31.58
2016-07-21,30.48,31.55,30.4,31.22,7436719,31.22
2016-07-20,30.03,30.5,29.71,30.5,3760916,30.5
2016-07-19,30.35,30.55,29.705,29.99,3351584,29.99
2016-07-18,29.2,30.47,29.0,30.15,7112983,30.15
2016-07-15,29.4,29.43,28.3,28.9,6444387,28.9
2016-07-14,30.03,30.29,29.04,29.19,7786522,29.19
2016-07-13,29.35,30.15,28.97,29.83,10546628,29.83
2016-07-12,27.48,29.54,27.47,29.35,29492343,29.35
2016-07-11,24.14,24.33,23.94,24.09,5236863,24.09
2016-07-08,24.2,24.21,23.51,24.01,6370427,24.01
2016-07-07,24.02,24.34,23.51,23.73,7494165,23.73
2016-07-06,22.35,23.64,22.09,23.52,6386761,23.52
2016-07-05,23.78,23.8,22.89,23.16,3784992,23.16
2016-07-01,24.21,24.21,23.93,24.03,4944421,24.03
2016-06-30,23.8,24.37,23.2,24.36,8335366,24.36
2016-06-29,23.24,24.06,22.91,23.95,8996995,23.95
2016-06-28,21.48,22.6,21.425,22.53,6165136,22.53
2016-06-27,23.0,23.07,20.765,20.87,6675247,20.87
2016-06-24,23.41,23.92,23.01,23.16,6496845,23.16
2016-06-23,24.16,24.68,24.11,24.48,4714601,24.48
2016-06-22,23.86,24.24,23.77,23.87,3949339,23.87
2016-06-21,23.38,23.92,23.2,23.86,3550523,23.86
2016-06-20,23.53,23.9862,23.3,23.43,4353930,23.43
2016-06-17,22.81,23.36,22.72,23.22,7652428,23.22
2016-06-16,22.61,22.7,22.07,22.69,4273259,22.69
2016-06-15,22.92,23.27,22.56,22.715,4369937,22.715
2016-06-14,22.54,23.082,22.3001,22.76,4012295,22.76
2016-06-13,23.11,23.45,22.66,22.68,5400295,22.68
2016-06-10,23.79,23.93,23.11,23.14,5599269,23.14
2016-06-09,24.07,24.229,23.64,24.14,6315259,24.14
2016-06-08,24.75,24.9,24.05,24.25,7107775,24.25
2016-06-07,23.96,24.793,23.94,24.65,5741136,24.65
2016-06-06,23.59,23.98,23.57,23.89,4050709,23.89
2016-06-03,23.68,23.9,23.32,23.64,7702280,23.64
2016-06-02,23.25,23.81,23.105,23.75,8292347,23.75
