date,open,high,low,close,volume,adj close
2012-09-12,47.3,47.37,47.2,47.34,1647200,47.34
2012-09-11,47.32,47.45,47.14,47.25,1242800,47.25
2012-09-10,47.98,47.98,47.32,47.32,1721600,47.32
2012-09-07,47.36,47.88,47.36,47.79,1522600,47.79
2012-09-06,47.95,47.95,47.65,47.67,1661500,47.67
2012-09-05,47.58,47.83,47.53,47.72,1045100,47.72
2012-09-04,47.16,47.95,47.16,47.74,2290400,47.74
2012-08-31,47.31,47.31,47.06,47.19,1277700,47.19
2012-08-30,46.93,47.27,46.93,47.19,1093100,47.19
2012-08-29,47.01,47.18,46.99,47.09,893400,47.09
2012-08-28,46.76,47.22,46.75,47.03,584200,47.03
2012-08-27,46.82,46.85,46.66,46.81,583100,46.81
2012-08-24,46.67,46.85,46.63,46.75,489900,46.75
2012-08-23,46.84,46.91,46.72,46.72,517200,46.72
2012-08-22,46.86,47.01,46.74,46.87,711600,46.87
2012-08-21,47.05,47.09,46.79,46.98,796100,46.98
2012-08-20,47.33,47.48,46.99,47.06,496100,47.06
2012-08-17,47.4,47.48,47.35,47.41,689100,47.41
2012-08-16,47.61,47.7,47.42,47.58,1342800,47.58
2012-08-15,47.49,47.68,47.48,47.6,906700,47.6
2012-08-14,47.61,47.69,47.43,47.52,1050700,47.52
2012-08-13,47.85,47.97,47.26,47.42,1539200,47.42
2012-08-10,47.71,47.98,47.64,47.87,619200,47.87
2012-08-09,47.38,47.89,47.38,47.85,952100,47.85
2012-08-08,47.55,47.58,47.27,47.47,810600,47.47
2012-08-07,47.61,47.83,47.54,47.79,1145800,47.79
2012-08-06,47.67,47.75,47.09,47.49,721100,47.49
2012-08-03,47.7,48.0,47.36,47.59,1297600,47.39
2012-08-02,47.81,48.0,47.36,47.37,1395500,47.17
2012-08-01,48.29,48.31,48.04,48.18,950200,47.98
2012-07-31,48.31,48.36,48.12,48.19,1001200,47.99
2012-07-30,47.97,48.35,47.94,48.35,829700,48.15
2012-07-27,47.98,48.13,47.52,48.0,970600,47.8
2012-07-26,47.9,47.9,47.5,47.82,759300,47.62
2012-07-25,47.74,47.74,47.26,47.42,989500,47.22
2012-07-24,47.97,48.01,47.49,47.6,1020500,47.4
2012-07-23,47.75,48.07,47.74,47.94,1081800,47.74
2012-07-20,47.94,48.21,47.94,48.1,1276800,47.9
2012-07-19,48.14,48.25,48.03,48.14,1024700,47.94
2012-07-18,48.17,48.26,48.07,48.1,841800,47.9
2012-07-17,48.05,48.3,47.93,48.23,927900,48.03
2012-07-16,47.82,48.1,47.78,47.99,1560200,47.79
2012-07-13,47.81,47.97,47.75,47.94,830200,47.74
2012-07-12,47.6,47.84,47.35,47.71,1052800,47.51
2012-07-11,47.74,47.79,47.54,47.75,1139300,47.55
2012-07-10,48.1,48.1,47.52,47.65,1413500,47.45
2012-07-09,47.88,48.16,47.69,47.94,915400,47.74
2012-07-06,47.22,47.99,47.2,47.89,694000,47.69
2012-07-05,47.27,47.78,47.26,47.63,1295800,47.43
2012-07-03,47.84,47.96,47.56,47.8,554600,47.6
2012-07-02,47.59,47.85,47.31,47.65,711600,47.45
2012-06-29,48.18,48.18,47.22,47.5,1174500,47.3
2012-06-28,47.39,47.49,46.67,47.45,2556900,47.25
2012-06-27,47.57,48.45,47.57,48.23,1616000,48.03
