date,open,high,low,close,volume,adj close
2018-02-07,161.66,163.0332,159.65,159.74,1304959,159.74
2018-02-06,155.53,161.99,153.75,161.62,1902884,161.62
2018-02-05,163.41,164.67,157.63,158.15,2073020,158.15
2018-02-02,166.16,166.16,163.15,163.84,1309284,163.84
2018-02-01,165.02,167.755,164.12,166.77,1296696,166.77
2018-01-31,167.41,167.99,165.7,166.23,1483661,166.23
2018-01-30,167.69,168.31,166.2,166.36,1079417,166.36
2018-01-29,169.31,169.75,167.66,168.5,1199399,168.5
2018-01-26,169.64,170.96,169.27,169.72,1754038,169.72
2018-01-25,170.87,171.03,167.27,169.16,2027911,169.16
2018-01-24,174.52,175.89,170.37,170.59,2200705,170.59
2018-01-23,176.09,176.24,173.14,173.89,1443863,173.89
2018-01-22,176.05,176.62,173.3,175.23,880383,175.23
2018-01-19,175.6,176.27,175.02,175.91,1095452,175.91
2018-01-18,174.28,175.72,173.98,174.75,850973,174.75
2018-01-17,171.99,174.12,171.74,173.76,878496,173.76
2018-01-16,174.4,174.4,170.48,171.01,866260,171.01
2018-01-12,173.34,173.95,172.555,173.42,591185,173.42
2018-01-11,171.72,172.58,171.04,172.53,467133,172.53
2018-01-10,173.19,173.52,170.57,171.04,772547,171.04
2018-01-09,173.23,174.87,173.06,173.61,672127,173.61
2018-01-08,170.42,172.88,170.25,172.66,809170,172.66
2018-01-05,170.35,171.03,169.16,170.58,1536469,170.58
2018-01-04,169.44,171.18400000000003,169.3692,169.79,840633,169.79
2018-01-03,168.0,169.27,167.03,169.13,839004,169.13
2018-01-02,170.52,170.69,168.055,168.51,875283,168.51
2017-12-29,170.21,170.81,169.69,169.69,555840,169.69
2017-12-28,169.53,170.07,168.49,170.03,534700,170.03
2017-12-27,168.05,169.2,168.0,168.68,362131,168.68
2017-12-26,168.01,168.4,167.36,167.81,523728,167.81
2017-12-22,168.48,169.68,167.22,167.46,501119,167.46
2017-12-21,168.74,169.49,168.23,169.06,469078,169.06
2017-12-20,169.0,169.58,168.65,169.01,862615,169.01
2017-12-19,167.43,169.05,166.98,168.65,1002453,168.65
2017-12-18,166.44,168.08,165.61,167.61,1125215,167.61
2017-12-15,166.0,167.01,165.5201,165.71,1267206,165.71
2017-12-14,166.55,166.88,164.89,164.94,661257,164.94
2017-12-13,165.95,167.25,165.73,166.05,986773,166.05
2017-12-12,166.87,168.0098,165.81,165.95,842587,165.95
2017-12-11,167.82,167.95,166.78,166.9,837351,166.9
2017-12-08,169.27,169.27,166.58,167.66,1094782,167.66
2017-12-07,168.24,169.66,167.9,168.36,931633,168.36
2017-12-06,168.69,169.01,167.49,168.47,584422,168.47
2017-12-05,169.59,170.49,168.22,168.34,1152133,168.34
2017-12-04,169.8,170.9,169.2001,169.81,1296763,169.81
2017-12-01,169.44,170.33,166.1401,168.73,879448,168.73
2017-11-30,167.54,169.86,167.01,169.63,1187002,169.63
2017-11-29,169.18,169.23,166.83,167.61,1046247,167.61
2017-11-28,166.0,169.19,165.86,169.1,847515,169.1
2017-11-27,166.28,166.7,165.68,165.89,613854,165.89
2017-11-24,166.48,166.71,165.58,165.99,228275,165.99
2017-11-22,166.19,166.95,165.54,165.99,660027,165.99
2017-11-21,165.3,166.29,164.78,165.99,664784,165.99
2017-11-20,163.76,164.65,163.37,164.51,650753,164.51
2017-11-17,162.98,164.35,162.185,163.27,825826,163.27
2017-11-16,163.49,164.45,162.88,162.99,940162,162.99
2017-11-15,163.08,163.865,161.94,163.44,643607,163.44
2017-11-14,163.58,164.67,163.3,164.11,921514,164.11
2017-11-13,162.07,164.07,161.76,163.97,609781,163.97
2017-11-10,161.77,164.33,161.77,162.97,632125,162.97
2017-11-09,164.19,164.57,161.83,162.85,742518,162.85
2017-11-08,164.23,166.38,164.04,165.72,1062296,165.72
2017-11-07,165.19,168.25,164.29,165.2,1606605,165.2
2017-11-06,162.96,163.99,162.855,163.56,1504529,163.56
2017-11-03,162.26,163.375,161.67,163.13,866184,163.13
2017-11-02,161.66,162.56,160.45,161.81,930483,161.81
2017-11-01,162.08,162.54,160.62,161.04,959395,161.04
2017-10-31,162.52,163.255,161.3599,161.55,1263398,161.55
2017-10-30,164.39,164.59,161.48,161.63,961087,161.63
2017-10-27,164.98,165.06,163.285,164.71,619360,164.71
2017-10-26,164.9,165.61,164.32,164.7,949610,164.7
2017-10-25,165.0,165.11,162.05,163.57,978906,163.57
2017-10-24,165.0,166.7,163.03,165.74,2325778,165.74
2017-10-23,160.19,160.19,158.03,158.19,1155355,158.19
2017-10-20,158.07,160.15,157.24,160.12,1071286,160.12
2017-10-19,156.87,157.8,156.083,157.16,761585,157.16
2017-10-18,157.84,158.26,156.78,156.85,813310,156.85
2017-10-17,158.59,158.61,156.55,156.64,655361,156.64
2017-10-16,158.98,159.41,158.4,158.65,648921,158.65
2017-10-13,159.21,159.79,158.56,158.71,1286508,158.71
2017-10-12,156.63,158.37,156.51,158.28,680129,158.28
2017-10-11,156.04,156.86,155.12,156.49,656158,156.49
2017-10-10,156.86,156.86,155.11,155.82,497993,155.82
2017-10-09,156.13,157.05,155.51,156.67,604473,156.67
2017-10-06,155.49,156.33,154.56,155.49,1039740,155.49
2017-10-05,157.03,157.68,155.18,156.13,1142885,156.13
2017-10-04,155.41,157.25,155.21,156.71,940334,156.71
2017-10-03,154.67,155.58,153.96,155.43,939408,155.43
2017-10-02,152.38,155.0,151.8,154.53,1220370,154.53
2017-09-29,149.74,151.22,149.36,150.97,683965,150.97
2017-09-28,148.46,149.56,147.8,149.52,1156003,149.52
2017-09-27,149.64,149.98,148.35,148.65,1215079,148.65
2017-09-26,150.68,150.84,148.9,149.02,1207780,149.02
2017-09-25,151.25,151.7,150.33,150.4,732596,150.4
2017-09-22,151.94,151.94,150.96,151.22,745534,151.22
2017-09-21,152.18,152.43,151.6801,151.97,611372,151.97
2017-09-20,151.16,152.36,150.78,152.3,1021235,152.3
2017-09-19,150.0,151.38,149.74,151.25,1164276,151.25
2017-09-18,148.5,149.83,148.25,149.81,817879,149.81
2017-09-15,147.6,148.34,146.88,148.04,1232025,148.04
2017-09-14,146.88,148.21,146.26,147.72,871480,147.72
2017-09-13,147.22,148.36,146.841,147.03,1254030,147.03
2017-09-12,147.89,148.17,147.14,147.5,776716,147.5
2017-09-11,147.0,148.06,146.0,147.46,1200069,147.46
2017-09-08,144.6,148.14,144.54,147.05,1458600,147.05
2017-09-07,142.84,144.735,141.84,144.68,1027223,144.68
2017-09-06,142.0,142.76,141.61,142.53,920348,142.53
2017-09-05,142.18,143.0,141.17,141.7,862554,141.7
2017-09-01,144.51,145.87,142.62,142.64,934414,142.64
2017-08-31,140.72,144.24,140.5,144.0,1705296,144.0
2017-08-30,138.25,139.97,138.12,139.78,693613,139.78
2017-08-29,138.21,139.29,137.75,139.01,611521,139.01
2017-08-28,138.95,139.3,137.96,138.67,702865,138.67
2017-08-25,137.82,139.18,137.775,138.83,636271,138.83
2017-08-24,137.4,138.145,136.64,137.16,547902,137.16
2017-08-23,138.23,138.43,137.0,137.14,596520,137.14
2017-08-22,137.57,138.89,137.45,138.71,700024,138.71
2017-08-21,137.45,137.955,136.33,137.07,550978,137.07
2017-08-18,137.59,138.34,136.46,137.5,1526455,137.5
2017-08-17,140.23,141.36,137.91,138.12,741663,138.12
2017-08-16,139.48,140.76,139.0,140.66,878921,140.66
2017-08-15,141.0,141.35,139.38,139.42,863972,139.42
2017-08-14,140.16,141.28,139.585,140.75,679217,140.75
2017-08-11,138.56,139.68,138.12,139.15,903817,139.15
2017-08-10,140.11,140.18,138.27,138.3,919926,138.3
2017-08-09,140.42,140.93,139.71,140.34,910573,140.34
2017-08-08,142.03,142.5,140.64,140.96,636450,140.96
2017-08-07,141.78,142.28,141.39,142.13,650710,142.13
2017-08-04,142.6,142.73,141.68,142.35,743733,142.35
2017-08-03,141.59,142.35,140.24,142.27,1096249,142.27
2017-08-02,139.44,141.71,139.44,141.62,893472,141.62
2017-08-01,139.44,141.71,139.44,141.62,893436,141.62
2017-07-31,140.22,141.05,139.6,140.69,989443,140.69
2017-07-28,141.0,141.26,139.55,139.88,919079,139.88
2017-07-27,140.4,141.39,139.605,141.14,1152600,141.14
2017-07-26,142.46,142.58,140.06,140.28,1247992,140.28
2017-07-25,143.93,144.24,141.62,142.25,1829922,142.25
2017-07-24,145.75,146.19,139.35,143.7,3167609,143.7
2017-07-21,146.05,147.03,145.76,146.79,1273935,146.79
2017-07-20,147.78,148.32,146.32,146.66,999916,146.66
2017-07-19,146.99,148.0,146.44,147.8,780400,147.8
2017-07-18,146.4,146.96,145.9299,146.25,623122,146.25
2017-07-17,146.33,147.07,146.12,146.65,552357,146.65
2017-07-14,146.59,146.85,145.6,146.24,713796,146.24
2017-07-13,146.46,146.84,146.16,146.37,594583,146.37
2017-07-12,145.43,146.91,145.43,146.18,625838,146.18
2017-07-11,146.04,146.13,144.86,145.23,696680,145.23
2017-07-10,144.88,146.51,144.46,145.88,892639,145.88
2017-07-07,142.83,145.98,142.5,144.91,1210681,144.91
2017-07-06,142.68,142.79,141.94,142.29,848455,142.29
2017-07-05,142.0,143.09,141.795,143.02,954055,143.02
2017-07-03,141.32,142.425,140.865,141.78,763546,141.78
2017-06-30,140.06,141.4,139.963,140.73,1164255,140.73
