date,open,high,low,close,volume,adj close
2018-02-07,59.42,60.01,58.4,58.43,3558986,58.43
2018-02-06,56.42,59.9666,56.01,59.64,4520591,59.64
2018-02-05,60.57,60.58,57.48,57.48,5834749,57.48
2018-02-02,61.89,62.27,61.0,61.18,4004185,61.18
2018-02-01,62.57,62.62,61.62,61.99,2517389,61.99
2018-01-31,63.48,64.165,62.66,62.87,4355206,62.87
2018-01-30,63.26,64.09,63.23,63.3,2078267,63.3
2018-01-29,64.2,64.27,63.39,63.39,1706010,63.39
2018-01-26,63.92,64.12,63.47,64.12,1445997,64.12
2018-01-25,63.86,64.16,63.76,63.99,1456719,63.99
2018-01-24,63.57,64.19,63.28,63.73,1907767,63.73
2018-01-23,63.46,63.77,63.13,63.34,1734332,63.34
2018-01-22,63.17,63.65,63.1,63.59,1648454,63.59
2018-01-19,62.52,63.3,62.41,63.21,2303933,63.21
2018-01-18,62.25,62.5,62.03,62.22,1897578,62.22
2018-01-17,62.08,62.58,61.87,62.2,1906803,62.2
2018-01-16,61.9,62.21,61.61,61.72,2438312,61.72
2018-01-12,61.39,61.92,61.09,61.38,3026124,61.38
2018-01-11,61.48,61.49,60.61,61.22,1744731,61.22
2018-01-10,60.85,61.52,60.36,61.35,3377064,61.35
2018-01-09,61.63,61.93,61.36,61.38,2388009,61.38
2018-01-08,61.49,61.86,61.1,61.58,2577474,61.58
2018-01-05,61.0,61.5,60.93,61.45,2640152,61.45
2018-01-04,60.24,61.08,59.93,60.84,3063430,60.84
2018-01-03,60.8,60.97,60.31,60.63,2537177,60.63
2018-01-02,60.69,61.34,60.46,60.5,2745698,60.5
2017-12-29,61.06,61.25,60.72,60.73,1111689,60.73
2017-12-28,60.93,61.07,60.76,61.06,847041,61.06
2017-12-27,60.91,61.0,60.75,60.86,1173802,60.86
2017-12-26,60.87,61.06,60.64,60.76,969302,60.76
2017-12-22,60.77,60.89,60.46,60.72,1627373,60.72
2017-12-21,61.14,61.14,60.52,60.59,1786386,60.59
2017-12-20,60.97,61.3,60.72,60.78,1596935,60.78
2017-12-19,61.53,62.04,60.92,61.02,2550154,61.02
2017-12-18,61.62,62.03,60.98,61.34,2454243,61.34
2017-12-15,60.89,61.22,60.68,60.95,5965626,60.95
2017-12-14,61.43,61.63,60.87,60.9,3086553,60.9
2017-12-13,61.69,62.08,61.56,61.62,2237551,61.62
2017-12-12,62.06,62.32,61.69,61.84,2543689,61.84
2017-12-11,62.03,62.37,61.66,61.98,2872913,61.98
2017-12-08,61.22,62.79,61.01,62.64,4431081,62.64
2017-12-07,59.6,61.3,59.51,60.91,3975687,60.91
2017-12-06,59.32,59.94,59.13,59.52,3402628,59.52
2017-12-05,59.28,59.39,58.62,59.28,3361443,59.28
2017-12-04,58.09,59.66,58.0,59.53,3382391,59.53
2017-12-01,57.64,57.84,57.02,57.78,2178988,57.78
2017-11-30,58.0,58.67,57.16,57.73,4419991,57.73
2017-11-29,56.26,58.03,56.24,57.7,3521669,57.7
2017-11-28,55.08,56.34,55.0,56.33,2316979,56.33
2017-11-27,54.9,55.31,54.87,55.16,1557915,55.16
2017-11-24,55.01,55.2,54.7501,54.92,621067,54.92
2017-11-22,54.74,54.97,54.55,54.9,1216453,54.9
2017-11-21,54.88,54.97,54.55,54.65,1900440,54.65
2017-11-20,54.88,55.15,54.53,54.97,1737459,54.97
2017-11-17,54.32,55.14,54.3,54.89,2740907,54.89
2017-11-16,54.45,54.86,54.25,54.48,2003304,54.48
2017-11-15,54.88,54.88,54.02,54.1,1927912,54.1
2017-11-14,53.8,54.965,53.65,54.93,1931512,54.93
2017-11-13,54.14,54.41,53.85,54.02,2258497,54.02
2017-11-10,53.95,54.37,53.77,54.19,1717858,54.19
2017-11-09,53.95,54.13,53.49,54.02,2623722,54.02
2017-11-08,54.9,55.31,54.87,55.16,1557915,55.16
2017-11-07,54.21,54.31,52.3,52.59,4523590,52.59
2017-11-06,55.2,55.92,53.95,54.17,5300240,54.17
2017-11-03,56.0,57.23,55.85,56.66,4343630,56.66
2017-11-02,55.75,55.95,55.52,55.84,2019866,55.84
2017-11-01,55.52,55.86,55.06,55.56,2734060,55.56
2017-10-31,54.68,55.75,54.65,55.62,2933045,55.62
2017-10-30,54.6,54.76,54.34,54.69,2615319,54.69
2017-10-27,54.55,54.87,54.38,54.8,1773940,54.8
2017-10-26,54.62,54.99,54.62,54.86,1778271,54.86
2017-10-25,54.83,54.91,54.25,54.55,1576264,54.55
2017-10-24,54.97,55.08,54.7,54.74,1511341,54.74
2017-10-23,54.93,55.11,54.77,54.95,1447804,54.95
2017-10-20,54.89,55.05,54.57,54.89,1966383,54.89
2017-10-19,54.81,54.95,54.53,54.74,1933221,54.74
2017-10-18,54.86,55.04,54.54,54.87,1627312,54.87
2017-10-17,54.59,55.07,54.221000000000004,54.83,1329698,54.83
2017-10-16,54.47,54.885,54.36,54.75,1390117,54.75
2017-10-13,54.44,54.74,54.335,54.45,1333128,54.45
2017-10-12,53.77,54.41,53.6,54.28,1406775,54.28
2017-10-11,54.12,54.38,53.69,53.78,2065997,53.78
2017-10-10,54.02,54.43,53.895,53.93,1835038,53.93
2017-10-09,54.23,54.5,53.92,53.97,2716374,53.97
2017-10-06,54.06,54.37,54.02,54.23,1622817,54.23
2017-10-05,54.02,54.48,53.9502,54.29,1647942,54.29
2017-10-04,53.9,54.435,53.64,54.24,2040209,54.24
2017-10-03,53.94,54.1199,53.56,53.74,1477056,53.74
2017-10-02,53.96,54.23,53.91,53.98,1617366,53.98
2017-09-29,54.0,54.35,53.89,53.95,1807783,53.95
2017-09-28,54.05,54.38,53.83,54.05,2017596,54.05
2017-09-27,54.16,54.44,53.73,54.13,2228443,54.13
2017-09-26,54.15,54.47,53.82,54.11,2004889,54.11
2017-09-25,53.5,54.4,53.42,54.09,2370027,54.09
2017-09-22,53.87,53.94,53.32,53.37,2382026,53.37
2017-09-21,54.37,54.41,53.79,53.87,2063978,53.87
2017-09-20,54.26,54.46,53.905,54.39,2923955,54.39
2017-09-19,53.91,54.31,53.82,53.92,2354480,53.92
2017-09-18,53.55,53.98,53.42100000000001,53.93,3480499,53.93
2017-09-15,52.77,53.66,52.615,53.66,5034058,53.66
2017-09-14,53.33,53.42,52.18,52.68,3998047,52.68
2017-09-13,52.94,53.815,52.85,53.49,2579451,53.49
2017-09-12,53.35,53.36,52.78,52.85,3059551,52.85
2017-09-11,53.15,53.31,52.91,53.29,1440696,53.29
2017-09-08,52.84,53.15,52.55,52.92,1736622,52.92
2017-09-07,52.92,53.22,52.53,53.11,3028654,53.11
2017-09-06,53.07,53.095,52.67,52.91,2312736,52.91
2017-09-05,52.97,53.235,52.75,53.02,2142136,53.02
2017-09-01,52.95,53.14,52.715,52.97,1594101,52.97
2017-08-31,52.85,53.0,52.63,52.67,3133955,52.67
2017-08-30,52.31,53.0,52.16,52.71,3101260,52.71
2017-08-29,52.14,52.53,51.98,52.29,2537684,52.29
2017-08-28,52.01,52.22,51.82,52.14,3114356,52.14
2017-08-25,51.37,52.6,51.31,52.32,3897682,52.32
2017-08-24,52.57,52.65,51.2,51.22,5272771,51.22
2017-08-23,51.45,51.73,51.17,51.66,1875277,51.66
2017-08-22,51.32,51.66,51.2,51.61,1755883,51.61
