date,open,high,low,close,volume,adj close
2018-02-07,98.86,101.6,98.42,99.61,1996806,99.61
2018-02-06,97.14,99.91,96.0,99.14,3189465,99.14
2018-02-05,101.2,103.06,98.72,98.72,2188977,98.72
2018-02-02,103.32,104.14,102.05,102.18,2801881,102.18
2018-02-01,102.28,104.52,102.19,103.78,1939346,103.78
2018-01-31,102.9,103.07,102.0501,102.53,2907350,102.53
2018-01-30,103.18,103.3,102.1,102.33,1941268,102.33
2018-01-29,103.5,105.23,103.5,103.88,2693861,103.88
2018-01-26,103.25,105.06,102.73,104.35,2321353,104.35
2018-01-25,102.79,105.48,102.27,102.64,2643995,102.64
2018-01-24,108.1,108.23,102.18,102.39,4131417,102.39
2018-01-23,101.53,101.93,100.59,100.7,1988961,100.7
2018-01-22,100.56,101.26,100.03,101.26,1645652,101.26
2018-01-19,100.73,101.555,100.38,100.73,2095131,100.73
2018-01-18,100.7,101.05,99.795,99.97,2215728,99.97
2018-01-17,100.725,100.88,100.2,100.57,1683721,100.57
2018-01-16,100.57,101.005,99.64,100.11,1977643,100.11
2018-01-12,99.4,100.70200000000001,99.12,100.17,1501120,100.17
2018-01-11,98.76,99.4,98.53,99.26,1199953,99.26
2018-01-10,98.66,98.66,97.87,98.52,2254106,98.52
2018-01-09,99.75,99.94,98.72,98.82,1630500,98.82
2018-01-08,98.81,99.9,98.81,99.81,1609073,99.81
2018-01-05,98.08,99.7,97.835,99.6,2318337,99.6
2018-01-04,97.34,97.92,96.84,97.38,1399073,97.38
2018-01-03,95.42,97.17,95.1,96.93,1812273,96.93
2018-01-02,95.71,95.71,94.24,95.32,1805738,95.32
2017-12-29,95.47,95.57,95.04,95.04,879343,95.04
2017-12-28,95.4,95.47,94.81,95.24,1009718,95.24
2017-12-27,95.27,95.44,94.57,95.19,1118753,95.19
2017-12-26,94.77,96.11,94.34,95.26,1192568,95.26
2017-12-22,95.475,95.74,94.29,94.95,1008372,94.95
2017-12-21,96.56,96.62,95.51,95.54,855893,95.54
2017-12-20,96.3,96.57,95.8,96.23,1184570,96.23
2017-12-19,96.05,96.49,95.83,95.91,1410133,95.91
2017-12-18,96.635,97.17,95.8,95.99,1522250,95.99
2017-12-15,96.06,96.48,95.49,96.22,2949496,96.22
2017-12-14,95.81,96.78,95.5,95.51,1396892,95.51
2017-12-13,95.88,96.08,94.56,95.27,1794783,95.27
2017-12-12,95.19,96.1,94.865,95.65,2005440,95.65
2017-12-11,94.67,95.4,94.62,95.04,1405202,95.04
2017-12-08,95.5,95.5,94.47,94.82,2090429,94.82
2017-12-07,92.65,94.15,92.65,93.89,1798419,93.89
2017-12-06,92.31,92.67,92.0,92.28,1989051,92.28
2017-12-05,93.15,93.45,92.4621,92.56,1642274,92.56
2017-12-04,94.47,94.51,92.87,92.87,1624160,92.87
2017-12-01,94.3,94.37,91.49,93.73,2406005,93.73
2017-11-30,94.65,94.96,94.22,94.44,2316023,94.44
2017-11-29,95.87,95.87,93.6901,94.25,1683773,94.25
2017-11-28,95.15,95.83,94.76,95.7,1585249,95.7
2017-11-27,95.33,95.48,94.23,94.8,1572642,94.8
2017-11-24,94.91,95.48,94.59,95.26,685596,95.26
2017-11-22,95.63,95.82,94.3,94.51,1698225,94.51
2017-11-21,96.38,96.68,95.37,95.95,1708852,95.95
2017-11-20,95.31,96.15,95.05,95.89,1500617,95.89
2017-11-17,95.03,95.37,94.615,95.04,2994727,95.04
