date,open,high,low,close,volume,adj close
2018-02-07,95.17,96.47,94.96,95.11,5192796,95.11
2018-02-06,94.48,95.99,93.62,95.16,11414192,95.16
2018-02-05,96.83,97.5,94.71,95.39,8111404,95.39
2018-02-02,97.0,97.55,96.29,96.75,6076612,96.75
2018-02-01,96.45,97.81,95.98,97.0,8997334,97.0
2018-01-31,94.96,95.4,94.55,95.35,5705620,95.35
2018-01-30,94.39,94.84,93.99,94.45,6086054,94.45
2018-01-29,94.41,94.85,94.0,94.5,3667923,94.5
2018-01-26,94.3,94.9,94.04,94.83,3634491,94.83
2018-01-25,94.06,94.3,93.66,94.08,3937326,94.08
2018-01-24,93.89,94.07,93.36,93.83,4080739,93.83
2018-01-23,94.02,94.12,93.28,93.66,4262570,93.66
2018-01-22,93.36,94.03,93.11,94.0,5266755,94.0
2018-01-19,93.07,93.8,92.54,93.36,5456436,93.36
2018-01-18,92.33,93.02,92.02,92.97,3953032,92.97
2018-01-17,92.25,92.26,91.59,92.17,2907364,92.17
2018-01-16,92.4,92.42,91.61,91.91,3971849,91.91
2018-01-12,91.81,92.1552,91.35,92.05,3068271,92.05
2018-01-11,91.9,92.2,91.55,91.89,3150478,91.89
2018-01-10,92.08,92.28,91.32,92.09,3981986,92.09
2018-01-09,92.45,92.97,92.06,92.28,4620763,92.28
2018-01-08,93.27,93.4997,92.48,93.06,11114059,93.06
2018-01-05,92.75,94.0,92.24,93.6,5438495,93.6
2018-01-04,91.5,92.63,91.37,92.63,3544977,92.63
2018-01-03,92.2,92.3,91.26,91.5,4033141,91.5
2018-01-02,91.74,92.255,91.64,91.91,5215419,91.91
2017-12-29,91.53,91.74,91.34,91.47,2649836,91.47
2017-12-28,91.46,91.65,91.2,91.61,1550678,91.61
2017-12-27,91.85,91.89,90.9,91.37,3447205,91.37
2017-12-26,92.44,92.59,91.53,91.65,2019179,91.65
2017-12-22,92.75,93.17,92.26,92.38,6163778,92.38
2017-12-21,90.885,92.96,90.71,92.95,9652003,92.95
2017-12-20,89.97,90.78,89.91,90.58,5167969,90.58
2017-12-19,89.95,90.24,89.76,89.88,3724847,89.88
2017-12-18,90.26,90.99,89.78,89.79,4955667,89.79
2017-12-15,90.18,90.45,89.68,90.25,11007358,90.25
2017-12-14,90.095,90.38,89.65,89.65,6077444,89.65
2017-12-13,90.5,90.86,89.9,90.06,8529089,90.06
2017-12-12,91.2,91.28,90.19,90.65,6198013,90.65
2017-12-11,90.77,91.14,90.38,90.82,2954814,90.82
2017-12-08,90.28,90.765,89.9,90.71,3077694,90.71
2017-12-07,90.56,91.18,89.84,90.37,7195648,90.37
2017-12-06,91.12,91.17,90.2,90.38,4704163,90.38
2017-12-05,92.65,92.77,90.75,91.08,4543485,91.08
2017-12-04,91.87,93.075,91.84,92.71,6077899,92.71
2017-12-01,91.34,91.9,90.72,91.3,4291282,91.3
2017-11-30,91.26,91.77,90.85,91.51,8553363,91.51
2017-11-29,90.12,91.0,89.8,90.92,8280867,90.92
2017-11-28,89.39,89.95,89.0,89.62,4815483,89.62
2017-11-27,89.58,89.61,89.02,89.07,3452969,89.07
2017-11-24,90.02,90.2,89.5,89.5,1768431,89.5
2017-11-22,89.62,90.26,89.57,90.01,5497987,90.01
2017-11-21,88.2,89.93,88.2,89.56,14425149,89.56
2017-11-20,88.75,88.85,87.03,87.71,12781993,87.71
2017-11-17,88.2,89.105,87.81,88.72,8439691,88.72
2017-11-16,87.7,88.7,86.75,88.01,13555798,88.01
2017-11-15,85.94,87.57,85.88,87.37,13526128,87.37
2017-11-14,88.64,88.64,87.24,87.51,12007151,87.51
2017-11-13,88.6,89.5,88.42,88.49,12820500,88.49
2017-11-10,88.39,91.49,88.17,90.6,26863656,90.6
2017-11-09,87.75,89.4,86.38,87.05,31459746,87.05
2017-11-08,91.8,92.43,88.12,88.5,56167999,88.5
2017-11-07,94.39,95.12,94.2,94.66,5281680,94.66
2017-11-06,92.94,94.56,92.8,94.46,6712828,94.46
2017-11-03,94.91,95.36,92.87,93.28,14766031,93.28
2017-11-02,98.28,99.85,92.02,94.7,32787285,94.7
2017-11-01,98.62,99.1384,97.78,98.39,7608361,98.39
2017-10-31,98.44,98.705,98.01,98.29,7090047,98.29
2017-10-30,98.65,98.99,97.57,98.49,5008854,98.49
2017-10-27,99.0,99.42,98.71,98.79,9898603,98.79
2017-10-26,99.54,99.65,98.97,98.97,7340434,98.97
2017-10-25,100.17,100.17,98.68,98.71,8981643,98.71
2017-10-24,101.25,101.375,100.49,100.5,5730275,100.5
2017-10-23,101.72,102.11,101.28,101.33,4675753,101.33
2017-10-20,102.53,102.53,101.565,101.83,5503223,101.83
2017-10-19,101.94,102.7,101.81,102.2,5317569,102.2
2017-10-18,101.41,101.84,100.93,101.48,4872365,101.48
2017-10-17,101.2,101.55,101.05,101.46,3855399,101.46
2017-10-16,100.99,101.71,100.795,101.12,3602887,101.12
2017-10-13,101.45,101.69,100.59,100.94,6885599,100.94
2017-10-12,103.01,103.055,101.34,101.45,7681943,101.45
2017-10-11,103.51,103.89,103.35,103.38,5007096,103.38
2017-10-10,103.35,103.65,103.19,103.35,3269501,103.35
2017-10-09,103.3,103.53,103.07,103.35,3221089,103.35
2017-10-06,103.3,103.4,102.855,103.3,2440374,103.3
2017-10-05,103.52,103.9,103.36,103.64,11166985,103.64
2017-10-04,103.35,103.72,103.2,103.5,4005903,103.5
2017-10-03,103.08,103.45,103.0,103.28,2934354,103.28
2017-10-02,102.63,103.33,102.465,103.08,4318150,103.08
2017-09-29,102.22,102.5,101.79,102.45,5252231,102.45
2017-09-28,102.09,103.1,102.0808,102.24,4061065,102.24
2017-09-27,102.93,103.0,102.35,102.4,4730946,102.4
2017-09-26,103.12,103.38,102.9,102.93,3019753,102.93
2017-09-25,102.76,103.42,102.58,103.22,5632976,103.22
2017-09-22,102.56,102.79,102.04,102.4,3976076,102.4
2017-09-21,102.86,102.99,102.41,102.49,2511004,102.49
2017-09-20,102.71,103.14,102.67,102.89,5266838,102.89
2017-09-19,102.12,102.94,101.98,102.78,3762764,102.78
2017-09-18,101.93,102.21,101.74,101.97,3947597,101.97
2017-09-15,101.31,102.0,100.9,101.87,5681684,101.87
2017-09-14,101.27,101.5,100.84,101.01,2350315,101.01
2017-09-13,101.0,101.43,101.0,101.3,1995144,101.3
2017-09-12,100.55,101.25,100.5,101.0,2686767,101.0
2017-09-11,100.46,100.70100000000001,100.31,100.57,2119024,100.57
2017-09-08,100.43,100.5,99.67,100.2,4920644,100.2
2017-09-07,100.88,102.74,100.33,100.47,7979878,100.47
2017-09-06,101.37,101.465,100.65,100.8,3398292,100.8
2017-09-05,101.55,101.73,100.92,101.22,3379436,101.22
2017-09-01,101.41,101.93,101.05,101.6,2614675,101.6
2017-08-31,101.55,101.95,100.86,101.1,4639859,101.1
2017-08-30,101.35,101.5,101.24,101.34,2149147,101.34
2017-08-29,101.59,101.85,101.31,101.38,2256389,101.38
2017-08-28,101.46,101.88,101.41,101.7,2789899,101.7
2017-08-25,101.48,101.8788,101.219,101.42,3067882,101.42
2017-08-24,101.74,101.85,101.29,101.32,2137572,101.32
2017-08-23,101.66,101.99,101.6,101.65,1619719,101.65
2017-08-22,101.65,101.97,101.28,101.8,2327926,101.8
2017-08-21,101.16,102.45,101.15,102.11,3351845,102.11
2017-08-18,102.13,102.13,101.0,101.19,3416438,101.19
2017-08-17,101.82,102.02,101.24,101.61,3044559,101.61
2017-08-16,101.71,102.01,101.68,101.92,2680275,101.92
2017-08-15,102.36,102.495,101.7,101.7,2634981,101.7
2017-08-14,102.03,102.5093,101.95,102.29,2851654,102.29
2017-08-11,101.82,102.31,101.73,101.9,2326218,101.9
2017-08-10,102.07,102.34,101.85,101.94,3437074,101.94
2017-08-09,102.11,102.36,102.0,102.28,3185031,102.28
2017-08-08,102.39,102.47,102.05,102.17,3485774,102.17
2017-08-07,102.4,102.62,102.277,102.43,2829358,102.43
2017-08-04,102.44,102.7,101.89,102.52,2688354,102.52
2017-08-03,102.19,103.0,102.0,102.35,3808216,102.35
2017-08-02,102.5,102.8999,102.27,102.52,4651180,102.52
2017-08-01,102.44,102.7,101.89,102.52,2683917,102.52
2017-07-31,102.73,103.22,102.3,102.42,3626004,102.42
2017-07-28,103.09,103.34,102.71,102.73,3366346,102.73
2017-07-27,101.79,103.32,101.6,103.2,4783225,103.2
2017-07-26,101.23,101.93,101.06,101.65,6515962,101.65
2017-07-25,100.32,100.43,99.66,99.81,4512352,99.81
2017-07-24,99.46,100.88,99.31,100.11,3872962,100.11
2017-07-21,99.27,99.77,99.23,99.47,2266135,99.47
2017-07-20,99.32,99.85,99.2,99.42,3546080,99.42
2017-07-19,99.22,99.48,98.97,99.15,4206504,99.15
2017-07-18,99.15,99.26,98.84,99.1,1901952,99.1
2017-07-17,99.73,99.79,99.07,99.21,3811061,99.21
2017-07-14,99.31,99.93,99.27,99.79,2250222,99.79
2017-07-13,99.53,99.854,99.13,99.13,2887752,99.13
2017-07-12,99.99,100.2,99.61,99.73,4058994,99.73
2017-07-11,100.53,100.53,99.72,99.85,4193080,99.85
2017-07-10,101.3,101.35,100.42,100.55,4325626,100.55
2017-07-07,101.65,101.8,101.13,101.24,3933744,101.24
2017-07-06,100.98,102.4497,100.34,101.5,7161323,101.5
2017-07-05,101.5,101.585,101.15,101.57,4500879,101.57
2017-07-03,100.33,101.49,100.33,101.38,5857216,101.38
2017-06-30,99.68,100.67,99.6,100.41,4710864,100.41
2017-06-29,99.62,100.12,99.6,99.78,4062979,99.78
2017-06-28,99.75,99.89,99.34,99.63,4024847,99.63
2017-06-27,99.68,99.76,99.19,99.31,1617141,99.31
2017-06-26,99.7,99.96,99.41,99.82,2223885,99.82
2017-06-23,99.5,99.82,99.251,99.7,10157604,99.7
2017-06-22,99.28,99.73,99.02,99.4,3139093,99.4
2017-06-21,99.67,99.69,98.93,99.25,2629089,99.25
2017-06-20,99.76,99.9,99.3668,99.52,2772799,99.52
2017-06-19,99.28,99.99,99.1,99.9,4102654,99.9
2017-06-16,99.24,99.48,98.87,99.2,2882461,99.2
2017-06-15,99.05,99.32,98.88,99.12,2797355,99.12
2017-06-14,99.52,99.5699,98.94,99.14,2943505,99.14
2017-06-13,99.92,100.26,99.18,99.2,3467055,99.2
2017-06-12,99.21,100.0,99.04,99.95,3138330,99.95
2017-06-09,99.28,99.49,98.9,99.19,3150457,99.19
