date,open,high,low,close,volume,adj close
2018-02-07,104.6,105.68,101.91,101.98,10009109,101.98
2018-02-06,102.62,106.66,102.25,105.87,9266882,105.87
2018-02-05,107.02,109.115,103.38,104.21,8460397,104.21
2018-02-02,109.02,110.23,107.52,107.66,7474446,107.66
2018-02-01,108.75,110.75,108.57,110.08,5828150,110.08
2018-01-31,110.98,110.99,108.3,109.67,7362528,109.67
2018-01-30,111.2,111.47,109.3,109.89,6492875,109.89
2018-01-29,112.47,113.4,111.25,112.65,6389293,112.65
2018-01-26,110.93,114.0,109.541,113.69,7801563,113.69
2018-01-25,110.86,111.71,109.08,110.15,8564786,110.15
2018-01-24,111.135,114.0,108.6801,109.7,19223891,109.7
2018-01-23,120.02,120.75,118.9,119.89,8087143,119.89
2018-01-22,117.92,119.48,117.46,119.44,7217402,119.44
2018-01-19,117.01,117.56,115.71,116.83,6367294,116.83
2018-01-18,119.0,119.98,116.0,116.41,7970325,116.41
2018-01-17,113.95,119.43,113.51,119.16,6916746,119.16
2018-01-16,113.55,113.905,111.94,112.92,9251460,112.92
2018-01-12,110.74,113.0,110.58,112.72,4578159,112.72
2018-01-11,110.05,110.76,109.43,110.67,3903763,110.67
2018-01-10,109.85,109.99,108.21,109.7,5737425,109.7
2018-01-09,109.62,110.98,109.08,110.39,4747752,110.39
2018-01-08,108.55,110.37,108.41,109.64,4549786,109.64
2018-01-05,108.7,109.23,108.29,109.12,5254922,109.12
2018-01-04,108.48,109.21,108.05,108.29,5460417,108.29
2018-01-03,105.88,108.51,105.6,108.43,6918942,108.43
2018-01-02,105.11,105.62,104.5,105.57,4236240,105.57
2017-12-29,104.58,105.08,104.42,104.44,2813291,104.44
2017-12-28,104.92,104.92,104.2194,104.82,1910723,104.82
2017-12-27,104.42,104.9,103.98,104.53,1775553,104.53
2017-12-26,103.58,104.19,103.06,104.15,1473786,104.15
2017-12-22,104.0,104.34,103.64,104.13,3041342,104.13
2017-12-21,105.16,105.33,104.0055,104.07,4709067,104.07
2017-12-20,104.9,105.15,103.48,104.8,5529766,104.8
2017-12-19,103.19,104.3,103.08,104.1,5235729,104.1
2017-12-18,102.1,103.37,101.65,103.27,5927678,103.27
2017-12-15,101.28,101.6,100.07,101.22,9114764,101.22
2017-12-14,98.96,100.537,98.78,100.25,7106662,100.25
2017-12-13,98.97,99.18,98.21,98.86,5282101,98.86
