date,open,high,low,close,volume,adj close
2018-02-07,33.96,34.85,33.8,33.8,2530321,33.8
2018-02-06,33.72,34.46,33.31,34.31,2342981,34.31
2018-02-05,34.99,35.54,34.18,34.18,2114861,34.18
2018-02-02,35.01,35.4,34.655,35.2,1776916,35.2
2018-02-01,36.5,36.67,35.29,35.31,1791456,35.31
2018-01-31,35.96,36.55,35.75,36.53,2198355,36.53
2018-01-30,35.93,36.22,35.78,35.89,1331302,35.89
2018-01-29,36.4,36.53,36.03,36.05,1459720,36.05
2018-01-26,36.84,36.92,36.245,36.51,1025897,36.51
2018-01-25,36.81,36.92,36.45,36.73,1360138,36.73
2018-01-24,36.95,37.05,36.64,36.82,1749610,36.82
2018-01-23,36.51,37.04,36.51,37.03,1598150,37.03
2018-01-22,36.02,36.39,35.96,36.36,1801880,36.36
2018-01-19,36.04,36.07,35.795,35.97,1491567,35.97
2018-01-18,35.93,36.05,35.555,35.88,1298222,35.88
2018-01-17,36.26,36.3,35.8,36.08,1036859,36.08
2018-01-16,35.88,36.39,35.86,36.07,1783012,36.07
2018-01-12,36.04,36.188,35.525,35.7,1587787,35.7
2018-01-11,36.44,36.61,36.04,36.08,1477778,36.08
2018-01-10,36.7,36.78,36.095,36.41,2371978,36.41
2018-01-09,37.29,37.48,36.41,36.94,1455226,36.94
2018-01-08,37.61,37.9,37.51,37.61,1369266,37.61
2018-01-05,37.57,37.595,37.28,37.51,1325824,37.51
2018-01-04,38.22,38.32,37.46,37.56,1201504,37.56
2018-01-03,38.1,38.415,38.1,38.34,1090937,38.34
2018-01-02,38.57,38.64,38.06,38.06,1290626,38.06
2017-12-29,38.64,38.64,38.4,38.52,1064882,38.52
2017-12-28,38.46,38.66,38.26,38.62,1041668,38.62
2017-12-27,38.45,38.52,38.21,38.36,826471,38.36
2017-12-26,38.2,38.36,38.04,38.33,704722,38.33
2017-12-22,37.76,38.24,37.7188,38.16,1245730,38.16
2017-12-21,38.025,38.19,37.68,37.68,1055735,37.68
2017-12-20,38.23,38.365,37.95,38.03,1652161,38.03
2017-12-19,39.31,39.51,38.005,38.14,1982373,38.14
