date,open,high,low,close,volume,adj close
2018-02-07,118.24,118.9,116.74,116.92,924449,116.92
2018-02-06,117.86,119.94,116.25,118.58,1367788,118.58
2018-02-05,124.49,124.84,119.59,119.62,1070000,119.62
2018-02-02,127.08,127.9099,124.84,124.86,692185,124.86
2018-02-01,126.78,127.72,125.94,127.32,760305,127.32
2018-01-31,128.07,129.19,127.005,127.5,733064,127.5
2018-01-30,127.38,128.88,127.02,127.74,960887,127.74
2018-01-29,129.19,130.21,128.3,128.57,969074,128.57
2018-01-26,127.4,130.29,127.04,129.46,1715404,129.46
2018-01-25,123.0,129.0499,121.12,127.01,4642033,127.01
2018-01-24,111.37,113.99,111.13,113.05,1191293,113.05
2018-01-23,109.77,111.17,109.45,110.81,737326,110.81
2018-01-22,109.78,110.35,109.53,110.02,577881,110.02
2018-01-19,110.0,111.25,109.6,110.32,562441,110.32
2018-01-18,109.09,109.97,108.85799999999999,109.57,545820,109.57
2018-01-17,108.74,109.62,108.11,109.32,822478,109.32
2018-01-16,108.81,110.24,107.54,108.08,997513,108.08
2018-01-12,107.0,109.94,107.0,108.49,1462201,108.49
2018-01-11,111.9,112.58,111.16,111.53,681644,111.53
2018-01-10,112.9,112.9,111.45,111.68,472392,111.68
2018-01-09,111.71,113.22,111.66,112.93,555469,112.93
2018-01-08,110.69,111.47,109.91,111.4,902005,111.4
2018-01-05,110.26,111.375,109.73,110.87,812585,110.87
2018-01-04,111.39,111.57,109.83,109.86,729114,109.86
2018-01-03,110.16,111.46,109.24,111.31,567678,111.31
2018-01-02,111.14,112.59,110.59,110.98,620728,110.98
2017-12-29,112.59,112.59,111.15,111.15,372988,111.15
2017-12-28,111.33,112.41,111.22,112.29,288417,112.29
2017-12-27,111.05,111.99,110.805,111.1,463385,111.1
2017-12-26,111.11,111.75,110.5301,110.82,212182,110.82
2017-12-22,111.08,111.85,110.58,110.91,286013,110.91
2017-12-21,111.095,111.35,110.57,110.71,430595,110.71
2017-12-20,110.52,111.07,110.13,110.79,431069,110.79
2017-12-19,111.09,111.77,109.45,110.7,630966,110.7
2017-12-18,111.69,112.28,110.39,110.78,751620,110.78
2017-12-15,110.36,112.05,109.98,111.87,883273,111.87
2017-12-14,112.4,112.89,109.64,109.77,739693,109.77
2017-12-13,111.8,114.09,111.8,112.42,1054644,112.42
2017-12-12,111.05,111.71,110.32,111.45,454001,111.45
2017-12-11,112.06,112.1,110.51,111.18,378206,111.18
2017-12-08,112.01,112.725,111.8,111.98,491643,111.98
2017-12-07,111.08,112.52,111.03,111.96,515504,111.96
2017-12-06,109.12,111.33,109.12,111.04,775807,111.04
2017-12-05,109.86,110.65,109.09,109.26,611010,109.26
2017-12-04,112.63,113.58,109.54,109.56,946833,109.56
2017-12-01,112.13,113.19,110.17,112.41,757468,112.41
2017-11-30,111.23,112.45,110.885,111.75,1618400,111.75
2017-11-29,109.87,111.43,109.42,111.22,610885,111.22
2017-11-28,109.56,109.8,108.47,109.53,658510,109.53
2017-11-27,109.08,110.03,108.66,109.46,482373,109.46
2017-11-24,108.91,109.21,108.18,108.87,211351,108.87
2017-11-22,108.29,108.96,107.61,108.79,589002,108.79
2017-11-21,109.42,109.76,108.16,108.4,818211,108.4
2017-11-20,109.45,110.23,108.73,109.24,585812,109.24
2017-11-17,108.9,109.585,108.25,109.03,611398,109.03
2017-11-16,108.24,109.31,107.38,109.22,667747,109.22
2017-11-15,108.87,109.18,107.5,107.89,714445,107.89
2017-11-14,108.07,109.71,107.69,109.34,885690,109.34
2017-11-13,107.0,108.34,106.39,108.24,639734,108.24
2017-11-10,107.23,108.13,106.83,107.55,682579,107.55
2017-11-09,106.62,108.14,105.91,107.69,718958,107.69
2017-11-08,106.58,107.66,106.05,107.6,936148,107.6
2017-11-07,106.49,106.62,105.6,106.47,1058926,106.47
2017-11-06,105.47,106.36,105.1,106.18,875731,106.18
2017-11-03,104.24,106.43,104.24,106.09,749190,106.09
2017-11-02,104.11,105.4,104.11,104.67,618289,104.67
2017-11-01,104.77,105.06,103.98,104.22,698367,104.22
2017-10-31,103.68,104.94,102.93,104.19,706633,104.19
2017-10-30,105.54,106.13,103.37,103.52,877834,103.52
2017-10-27,104.23,106.4,104.18,106.35,863070,106.35
2017-10-26,99.5,104.84,99.0,104.41,2313810,104.41
2017-10-25,106.91,108.65,106.55,108.23,903750,108.23
2017-10-24,107.44,107.96,106.78,107.36,629565,107.36
2017-10-23,107.06,108.78,106.59,107.37,694281,107.37
2017-10-20,106.0,107.74,105.65,106.69,839589,106.69
2017-10-19,104.41,105.78,103.66,105.6,544093,105.6
2017-10-18,104.46,105.36,104.36,104.4,582358,104.4
2017-10-17,102.77,104.25,102.35,104.2,461432,104.2
