Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,79.46,81.48,79.045,80.47,3589223,80.47
2018-02-06,77.17,79.9,76.42,79.36,4054669,79.36
2018-02-05,80.22,81.73,78.63,78.63,4641052,78.63
2018-02-02,80.57,81.36,79.75,79.89,3193930,79.89
2018-02-01,80.37,81.28,78.65,80.62,3054517,80.62
2018-01-31,82.12,82.65,80.735,81.14,3698519,81.14
2018-01-30,82.29,82.95,81.66,81.97,2126388,81.97
2018-01-29,81.39,82.68,81.39,82.55,2616037,82.55
2018-01-26,81.39,81.58,80.82,81.57,1925592,81.57
2018-01-25,81.28,81.43,80.53,80.94,2158365,80.94
2018-01-24,81.17,82.1,80.7606,80.97,2193204,80.97
2018-01-23,80.24,81.0,79.82,80.87,2591459,80.87
2018-01-22,79.75,80.71,79.4,80.42,2146020,80.42
2018-01-19,78.89,79.85,78.63,79.79,2524946,79.79
2018-01-18,78.35,79.36,78.23,78.43,2188672,78.43
2018-01-17,77.21,78.27,77.01,78.14,1547788,78.14
2018-01-16,77.99,78.0,76.63,76.68,2285889,76.68
2018-01-12,77.36,78.05,77.25,77.8,2016672,77.8
2018-01-11,76.2,77.25,76.11,77.19,2332471,77.19
2018-01-10,76.01,76.38,75.64,76.12,2560396,76.12
2018-01-09,77.07,77.28,75.95,76.13,2970654,76.13
2018-01-08,75.87,78.7,75.87,77.36,3025060,77.36
2018-01-05,75.6,76.16,75.33,75.7,2091662,75.7
2018-01-04,74.11,75.49,73.8899,75.46,2507598,75.46
2018-01-03,74.55,74.6,73.705,73.78,1672943,73.78
2018-01-02,74.42,74.57,73.7,74.42,1713491,74.42
2017-12-29,74.25,74.78,73.99,74.0,1440609,74.0
2017-12-28,74.55,74.55,74.22,74.29,954207,74.29
2017-12-27,74.83,74.9,74.46,74.52,1055391,74.52
2017-12-26,73.72,74.66,73.67,74.61,852184,74.61
2017-12-22,73.98,74.36,73.45,73.87,1906048,73.87
2017-12-21,74.94,75.0,74.0,74.23,1641447,74.23
2017-12-20,74.05,74.69,74.03,74.4,2585591,74.4
2017-12-19,74.37,74.77,73.55,73.85,1531925,73.85
2017-12-18,74.88,75.25,73.92,74.14,2116539,74.14
