Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,50.63,51.93,50.5,51.01,16066607,51.01
2018-02-06,49.44,51.0,49.07,50.83,34543947,50.83
2018-02-05,52.52,53.19,50.5,50.5,22239589,50.5
2018-02-02,54.27,54.27,52.9,52.98,15574016,52.98
2018-02-01,54.49,54.75,54.01,54.3,18646097,54.3
2018-01-31,53.99,54.4199,53.53,54.07,17826960,54.07
2018-01-30,54.3,54.5,53.79,53.9,15401453,53.9
2018-01-29,53.58,54.58,53.4,54.13,17052645,54.13
2018-01-26,54.49,54.75,54.34,54.72,13077557,54.72
2018-01-25,54.28,54.77,54.01,54.29,18638689,54.29
2018-01-24,53.82,54.44,53.5,54.22,21080439,54.22
2018-01-23,54.6,54.6,52.81,53.23,33000480,53.23
2018-01-22,52.05,53.49,52.01,53.46,27691346,53.46
2018-01-19,51.74,51.92,51.155,51.91,23761297,51.91
2018-01-18,51.9,53.3,51.385,51.55,29442552,51.55
2018-01-17,51.81,51.9,51.21,51.72,11591459,51.72
2018-01-16,51.68,52.02,51.42,51.66,14739183,51.66
2018-01-12,51.94,52.24,51.7801,51.86,17673664,51.86
2018-01-11,51.89,52.175,51.64,52.11,15568207,52.11
2018-01-10,51.39,51.73,51.15,51.69,12593385,51.69
2018-01-09,52.12,52.435,51.55,51.61,14677833,51.61
2018-01-08,52.56,52.75,52.04,52.39,16212689,52.39
2018-01-05,52.8,52.88,52.35,52.48,13348863,52.48
2018-01-04,52.37,52.89,51.83,52.6,12062821,52.6
2018-01-03,53.3,53.34,52.18,52.43,16662400,52.43
2018-01-02,53.16,53.57,52.8,53.53,16045345,53.53
2017-12-29,53.37,53.46,52.93,52.93,9994742,52.93
2017-12-28,53.41,53.55,53.16,53.43,6726276,53.43
2017-12-27,53.41,53.5,53.09,53.28,8361890,53.28
2017-12-26,53.13,53.69,53.13,53.22,6595751,53.22
2017-12-22,53.1,53.63,53.06,53.19,13657808,53.19
2017-12-21,52.92,53.6,52.605,53.01,12778136,53.01
2017-12-20,53.13,53.35,52.68,52.77,11643501,52.77
2017-12-19,53.4,53.59,52.695,52.83,14239492,52.83
2017-12-18,52.95,53.39,52.66,53.25,15874323,53.25
2017-12-15,52.56,52.89,52.39,52.67,28935598,52.67
2017-12-14,52.469,52.74,52.085,52.34,18775429,52.34
2017-12-13,52.99,53.19,52.28,52.89,17705487,52.89
2017-12-12,52.35,53.34,52.33,53.19,22901150,53.19
2017-12-11,51.22,51.93,50.97,51.84,13542530,51.84
2017-12-08,50.5,51.175,50.36,51.09,13639852,51.09
2017-12-07,50.59,50.74,50.2,50.42,11986747,50.42
2017-12-06,50.65,50.8399,50.24,50.68,17296644,50.68
2017-12-05,51.75,51.89,50.78,50.92,17574132,50.92
2017-12-04,51.52,52.33,51.5,51.72,19371014,51.72
2017-12-01,50.9,51.545,50.33,51.25,23909026,51.25
2017-11-30,50.0,51.0944,49.99,50.89,33268492,50.89
2017-11-29,48.84,50.49,48.84,49.9,31034535,49.9
2017-11-28,47.7,48.84,47.53,48.82,20982501,48.82
2017-11-27,47.37,47.9,47.35,47.66,17548285,47.66
2017-11-24,47.06,47.18,46.845,47.01,5097203,47.01
2017-11-22,46.25,47.42,46.24,47.1,15825110,47.1
2017-11-21,46.34,46.4468,46.01,46.18,13598018,46.18
2017-11-20,45.8,46.35,45.5,46.2,18227389,46.2
2017-11-17,44.63,45.77,44.62,45.42,18933241,45.42
2017-11-16,44.21,44.88,44.11,44.77,13818031,44.77
2017-11-15,44.33,44.38,43.965,44.11,15726458,44.11
2017-11-14,44.69,44.85,44.15,44.22,20829858,44.22
2017-11-13,44.92,45.08,44.7,44.75,16673922,44.75
2017-11-10,45.11,45.11,44.75,44.88,17074952,44.88
2017-11-09,45.29,45.43,44.81,45.07,20839313,45.07
2017-11-08,45.41,45.52,45.14,45.46,17414813,45.46
2017-11-07,45.21,45.5878,44.68,45.57,25789586,45.57
2017-11-06,46.31,46.35,44.84,45.53,36443257,45.53
2017-11-03,47.66,47.74,47.235,47.42,8038202,47.42
2017-11-02,47.88,47.94,47.18,47.46,13126910,47.46
2017-11-01,48.15,48.17,47.56,47.83,11046583,47.83
2017-10-31,47.94,48.18,47.71,47.87,15909969,47.87
2017-10-30,48.88,49.12,47.42,47.83,24587436,47.83
2017-10-27,48.72,49.3875,48.53,48.87,12423443,48.87
2017-10-26,48.86,49.43,48.75,48.89,14420059,48.89
2017-10-25,48.68,48.79,48.15,48.66,17404153,48.66
2017-10-24,49.16,49.28,48.72,48.94,11527916,48.94
2017-10-23,49.47,49.69,48.91,48.99,15659974,48.99
2017-10-20,49.45,49.59,48.93,49.53,16259580,49.53
2017-10-19,50.05,51.18,49.05,49.21,29173869,49.21
2017-10-18,48.33,48.85,47.76,48.65,20410445,48.65
2017-10-17,48.09,48.49,47.87,48.4,14842814,48.4
2017-10-16,47.9,48.35,47.7,48.09,10394675,48.09
2017-10-13,48.34,48.48,47.83,47.86,20105054,47.86
2017-10-12,48.44,48.85,48.13,48.35,17087942,48.35
2017-10-11,49.14,49.32,48.51,48.86,10335092,48.86
2017-10-10,49.28,49.49,49.055,49.14,10843879,49.14
2017-10-09,48.89,49.09,48.65,49.05,10702938,49.05
2017-10-06,49.04,49.2,48.6555,48.81,13239635,48.81
2017-10-05,49.96,50.0345,49.675,49.77,12230644,49.77
2017-10-04,49.64,50.08,49.38,49.9,9887485,49.9
2017-10-03,49.45,50.02,49.43,49.85,10218605,49.85
2017-10-02,49.39,49.7,49.25,49.36,9525757,49.36
2017-09-29,49.3,49.83,49.01,49.49,13021697,49.49
2017-09-28,49.24,49.565,49.1401,49.41,8231789,49.41
2017-09-27,49.19,49.725,49.12,49.51,14270770,49.51
2017-09-26,49.96,50.08,49.4,49.51,12007462,49.51
2017-09-25,49.87,50.315,49.745,49.9,13698567,49.9
2017-09-22,49.19,50.08,49.02,49.9,20646413,49.9
