date,open,high,low,close,volume,adj close
2018-02-07,56.94,58.115,56.75,57.54,45550954,57.54
2018-02-06,56.905,58.5,55.87,57.28,83076895,57.28
2018-02-05,58.7,59.89,57.5,58.16,103394442,58.16
2018-02-02,65.33,65.5254,63.83,64.07,18905283,64.07
2018-02-01,65.37,66.09,65.06,65.51,15717623,65.51
2018-01-31,65.27,66.1,65.16,65.78,18147919,65.78
2018-01-30,65.43,65.93,65.28,65.28,16158886,65.28
2018-01-29,65.78,66.31,65.66,65.82,16105189,65.82
2018-01-26,65.89,66.04,65.25,65.93,16251896,65.93
2018-01-25,65.7,65.85,65.4,65.65,17568706,65.65
2018-01-24,64.95,65.63,64.8,65.48,20180270,65.48
2018-01-23,64.31,64.85,64.2249,64.49,12937130,64.49
2018-01-22,64.0,64.75,63.97,64.73,12245161,64.73
2018-01-19,64.15,64.2601,63.83,64.22,16524008,64.22
2018-01-18,63.87,64.31,63.86,63.95,16305872,63.95
2018-01-17,62.85,64.04,62.49,63.88,23892881,63.88
2018-01-16,62.79,63.15,62.175,62.5,17907786,62.5
2018-01-12,63.2,63.4,62.05,62.55,25886119,62.55
2018-01-11,63.65,63.669,62.69,63.01,22074996,63.01
2018-01-10,62.48,63.4,62.36,63.12,18107523,63.12
2018-01-09,62.3,62.77,62.07,62.26,15766492,62.26
2018-01-08,62.66,62.73,61.94,62.04,15569369,62.04
2018-01-05,62.76,62.81,62.085,62.75,14217871,62.75
2018-01-04,61.98,63.05,61.91,62.33,18740512,62.33
2018-01-03,61.22,61.77,61.1,61.56,14203721,61.56
2018-01-02,61.04,61.355,60.7,61.09,13819293,61.09
2017-12-29,61.46,61.58,60.67,60.67,10711384,60.67
2017-12-28,61.03,61.31,60.91,61.3,10550864,61.3
2017-12-27,61.1,61.24,60.66,60.95,10010820,60.95
2017-12-26,61.495,61.72,60.8,61.13,11662751,61.13
2017-12-22,62.02,62.24,61.19,61.55,11653242,61.55
2017-12-21,60.77,62.115,60.68,61.61,22130653,61.61
2017-12-20,60.81,61.07,60.06,60.14,16544502,60.14
2017-12-19,61.18,61.27,60.28,60.36,17062716,60.36
2017-12-18,60.42,61.13,60.37,60.92,19970907,60.92
2017-12-15,59.36,60.65,59.35,59.87,36467523,59.87
2017-12-14,59.48,59.99,59.21,59.22,14730970,59.22
2017-12-13,60.31,60.5,59.38,59.4,18227043,59.4
2017-12-12,58.71,60.56,58.71,60.33,25040438,60.33
2017-12-11,59.27,59.3,58.62,58.87,15876592,58.87
2017-12-08,59.71,59.92,59.145,59.31,22017053,59.31
2017-12-07,58.45,60.0,58.29,59.36,32990684,59.36
2017-12-06,58.56,59.1,58.12,58.57,26758332,58.57
2017-12-05,57.65,59.41,57.4438,58.55,39754878,58.55
2017-12-04,57.27,57.99,57.2,57.39,28720384,57.39
2017-12-01,56.57,57.18,55.44,56.2,31242412,56.2
2017-11-30,57.03,57.33,56.375,56.47,30984403,56.47
2017-11-29,55.84,57.25,55.7,56.68,29631806,56.68
2017-11-28,53.87,55.89,53.72,55.57,25685169,55.57
2017-11-27,54.02,54.46,53.86,53.95,11066809,53.95
2017-11-24,54.19,54.3088,54.0,54.09,5386489,54.09
2017-11-22,54.46,54.62,54.025,54.06,11421659,54.06
2017-11-21,54.08,54.57899999999999,53.99,54.52,13757036,54.52
2017-11-20,54.12,54.21,53.85,54.05,16943059,54.05
2017-11-17,54.21,54.46,53.97,54.15,15814821,54.15
2017-11-16,53.95,54.86,53.86,54.6,26361825,54.6
2017-11-15,53.63,54.115,53.485,53.75,18238575,53.75
2017-11-14,53.52,54.1,53.32,54.04,20830063,54.04
2017-11-13,53.52,53.91,53.41,53.72,13447019,53.72
2017-11-10,54.02,54.13,53.791000000000004,53.81,13671702,53.81
2017-11-09,53.9,54.19,53.21,54.0,24358972,54.0
2017-11-08,54.8,54.99,54.05,54.26,24047114,54.26
2017-11-07,56.17,56.29,54.67,55.05,18679065,55.05
2017-11-06,56.1,56.43,56.0,56.18,10414893,56.18
2017-11-03,56.25,56.44,55.901,56.35,10049173,56.35
2017-11-02,55.8,56.52,55.35,56.48,15630001,56.48
2017-11-01,56.32,56.84,56.19,56.21,11678320,56.21
2017-10-31,55.95,56.52,55.9,56.14,14619169,56.14
2017-10-30,55.45,55.96,55.31,55.85,12249199,55.85
2017-10-27,55.23,56.04,55.13,55.87,17258583,55.87
2017-10-26,55.45,56.17,55.45,55.62,15979177,55.62
2017-10-25,55.49,55.58,54.87,55.255,13492264,55.255
2017-10-24,55.0,55.56,55.0,55.42,18779387,55.42
2017-10-23,54.75,55.0401,54.7,54.91,18102146,54.91
2017-10-20,54.21,55.07,54.04,54.92,28407666,54.92
2017-10-19,53.11,53.93,53.0,53.75,12669710,53.75
2017-10-18,53.41,54.07,53.32,53.41,21604023,53.41
2017-10-17,53.98,53.9999,53.12,53.19,18614716,53.19
2017-10-16,53.65,53.97,53.42,53.8,22802389,53.8
