Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,173.19,176.46,171.47,171.52,862497,171.52
2018-02-06,168.58,174.44,167.51,173.81,1298300,173.81
2018-02-05,176.97,179.11,171.53,171.88,1295595,171.88
2018-02-02,181.27,181.59,177.26,178.06,852221,178.06
2018-02-01,180.62,184.5,180.41,182.49,799249,182.49
2018-01-31,183.0,183.6,180.45,181.42,822514,181.42
2018-01-30,181.72,183.09,180.06,182.07,843016,182.07
2018-01-29,184.41,184.9,182.2,182.5,968139,182.5
2018-01-26,185.74,186.95,184.5,185.97,1472157,185.97
2018-01-25,180.01,187.47,179.02,183.09,2563883,183.09
2018-01-24,173.68,181.89,173.48,178.97,2261389,178.97
2018-01-23,176.155,177.0,170.4,171.98,2152063,171.98
2018-01-22,166.95,166.95,163.77,166.65,1109286,166.65
2018-01-19,167.36,167.81,165.5,167.53,879683,167.53
2018-01-18,171.92,172.05,166.66,167.39,1061482,167.39
2018-01-17,169.78,172.3,168.54,171.38,805092,171.38
2018-01-16,173.0,173.195,167.64,168.95,844276,168.95
2018-01-12,169.81,172.99,168.49,172.75,1081757,172.75
2018-01-11,166.86,169.3,164.52,169.03,953738,169.03
2018-01-10,167.04,167.115,164.33,166.21,827694,166.21
2018-01-09,169.56,169.83,167.94,168.37,1108711,168.37
2018-01-08,168.6,170.43,167.905,169.05,918863,169.05
2018-01-05,168.88,169.32,167.73,168.48,561187,168.48
2018-01-04,169.91,170.25,168.1,168.82,617559,168.82
2018-01-03,168.28,169.5475,167.9,168.84,963157,168.84
2018-01-02,169.17,169.95,167.0,167.99,675996,167.99
2017-12-29,170.53,171.6753,168.255,168.64,399759,168.64
2017-12-28,170.28,170.76,169.16,170.67,281270,170.67
2017-12-27,169.94,170.87,169.64,170.08,329494,170.08
2017-12-26,171.71,173.2,169.77,170.16,469556,170.16
2017-12-22,169.48,172.3,169.03,171.68,705373,171.68
2017-12-21,166.1,170.79,165.34,169.61,1240295,169.61
2017-12-20,166.2,166.7,164.77,164.88,415073,164.88
2017-12-19,165.02,166.87,164.7,166.1,560960,166.1
2017-12-18,165.46,166.0,164.73,165.36,735926,165.36
2017-12-15,164.26,165.11,163.22,164.49,1205687,164.49
2017-12-14,165.65,167.875,162.92,163.92,850373,163.92
2017-12-13,166.92,168.187,166.65,167.04,506064,167.04
2017-12-12,168.64,168.79,165.98,166.51,859185,166.51
2017-12-11,169.33,169.86,166.67,167.87,1151762,167.87
2017-12-08,170.88,170.88,168.47,169.7,579166,169.7
2017-12-07,170.05,171.28,169.01,170.49,742880,170.49
2017-12-06,169.39,170.8,168.9,169.11,463325,169.11
2017-12-05,168.8,170.09,166.69,169.12,693498,169.12
2017-12-04,169.4,171.4,168.321,169.63,1098113,169.63
2017-12-01,168.43,169.18,164.51,167.46,776849,167.46
2017-11-30,169.9,171.575,167.04,168.57,988149,168.57
2017-11-29,167.57,170.21,167.02,168.99,1420536,168.99
2017-11-28,165.02,167.83,163.77,167.48,1722203,167.48
2017-11-27,167.7,167.99,164.93,165.0,985763,165.0
2017-11-24,167.84,168.75,166.83,167.82,336316,167.82
2017-11-22,168.8,169.4399,166.17,166.64,889597,166.64
2017-11-21,165.82,169.88,164.21,168.88,1400855,168.88
2017-11-20,165.87,166.85,164.72,165.2,553935,165.2
2017-11-17,162.42,166.08,161.75,165.4,808569,165.4
2017-11-16,161.57,164.465,161.2485,162.88,639121,162.88
2017-11-15,159.58,162.24,158.8,161.57,736745,161.57
2017-11-14,161.97,161.97,159.97,161.0,620105,161.0
2017-11-13,161.5,162.47,161.43,161.67,490846,161.67
2017-11-10,162.54,162.96,161.68,162.05,704511,162.05
2017-11-09,161.76,162.92,161.29,162.74,680999,162.74
2017-11-08,162.67,163.0675,161.81,162.77,543639,162.77
2017-11-07,163.37,163.499,162.1,162.56,732895,162.56
2017-11-06,163.53,163.92,162.55,163.42,496218,163.42
2017-11-03,163.53,166.225,163.31,163.86,951341,163.86
2017-11-02,163.72,164.665,160.94,163.41,985406,163.41
2017-11-01,165.0,167.45,163.6301,164.42,1137854,164.42
2017-10-31,161.77,164.83,160.63,163.93,1138772,163.93
2017-10-30,161.0,161.991,160.56,161.66,910196,161.66
2017-10-27,161.64,162.94,160.63,161.41,1250981,161.41
2017-10-26,161.13,163.1,160.57,161.51,1531097,161.51
2017-10-25,162.72,163.0,159.71,160.99,2353490,160.99
2017-10-24,164.95,168.6,162.01,163.26,9479958,163.26
2017-10-23,182.5,183.88,180.8911,182.5,1524855,182.5
2017-10-20,178.87,183.14,178.817,182.46,894871,182.46
2017-10-19,176.54,178.23,175.5,177.96,381727,177.96
2017-10-18,176.43,178.275,175.43,176.79,632357,176.79
2017-10-17,176.67,176.67,174.73,176.34,798922,176.34
2017-10-16,178.16,178.16,175.075,176.77,637973,176.77
2017-10-13,177.98,179.44,176.33,178.78,593356,178.78
2017-10-12,176.66,177.9,175.92,177.1,700622,177.1
2017-10-11,177.13,177.87,175.8501,176.91,641020,176.91
2017-10-10,180.81,180.81,176.065,177.18,1264635,177.18
2017-10-09,181.72,181.825,178.91,179.96,676981,179.96
2017-10-06,183.56,183.7572,180.7,181.33,794964,181.33
2017-10-05,185.9,190.73,183.14,183.44,1388037,183.44
2017-10-04,185.12,185.91,183.39,185.82,673349,185.82
2017-10-03,184.61,185.75,182.71,185.09,652118,185.09
2017-10-02,185.4,185.95,182.61,183.9,830868,183.9
2017-09-29,183.17,185.74,182.59,184.44,467922,184.44
2017-09-28,181.6,183.94,180.92,183.57,812554,183.57
2017-09-27,182.1,182.25,179.821,181.53,755454,181.53
2017-09-26,177.8,182.25,177.1893,181.63,1016635,181.63
2017-09-25,175.05,178.32,174.83,177.29,816710,177.29
2017-09-22,172.86,177.45,172.72,175.23,939925,175.23
2017-09-21,170.94,172.9072,170.08,172.69,588869,172.69
2017-09-20,171.06,171.75,169.935,170.38,715452,170.38
2017-09-19,170.81,171.68,169.51,171.06,820442,171.06
2017-09-18,172.31,172.525,170.09,170.84,556803,170.84
2017-09-15,173.12,174.11,170.44,171.86,1176681,171.86
2017-09-14,174.6,176.31,173.89,175.13,785339,175.13
2017-09-13,176.74,177.0,173.71,175.89,530910,175.89
2017-09-12,174.23,176.42,173.86,176.34,515465,176.34
2017-09-11,173.58,175.63,173.16,173.6,900010,173.6
2017-09-08,168.18,172.36,168.03,172.29,624785,172.29
2017-09-07,170.72,170.72,168.47,168.96,728899,168.96
2017-09-06,172.37,172.59,168.86,170.2,779679,170.2
2017-09-05,173.0,173.1,170.48,172.14,480587,172.14
2017-09-01,171.65,174.31,171.24,173.29,551587,173.29
2017-08-31,169.75,172.2,169.75,171.62,648812,171.62
2017-08-30,168.05,169.74,167.3,168.91,553117,168.91
2017-08-29,167.4,169.02,167.19,168.02,427800,168.02
2017-08-28,168.78,169.334,167.03,168.19,400040,168.19
2017-08-25,168.19,169.2,167.47,168.45,400382,168.45
2017-08-24,169.0,169.685,167.16,167.35,567827,167.35
2017-08-23,168.0,169.13,167.581,168.37,573271,168.37
2017-08-22,168.16,169.885,167.82,169.31,827295,169.31
2017-08-21,170.0,170.63,167.77,167.8,820112,167.8
2017-08-18,170.92,171.45,169.74,170.08,607622,170.08
2017-08-17,174.0,174.33,171.44,171.49,580649,171.49
2017-08-16,173.76,175.31,173.51,174.11,596123,174.11
2017-08-15,174.02,174.02,172.605,173.19,644811,173.19
2017-08-14,171.92,174.93,171.81,173.65,641221,173.65
2017-08-11,171.29,172.6632,170.56,171.24,611032,171.24
2017-08-10,175.0,175.47,171.6,171.74,1120484,171.74
2017-08-09,177.64,178.3999,174.6,175.05,801303,175.05
2017-08-08,178.06,179.38,177.2,178.54,751141,178.54
2017-08-07,178.1,179.08,176.67,178.39,1066910,178.39
2017-08-04,176.52,178.14,176.01,177.82,742702,177.82
2017-08-03,176.55,176.78,173.87,175.91,790860,175.91
2017-08-02,176.28,177.02,174.92,176.58,662267,176.58
2017-08-01,176.52,178.14,176.01,177.82,742702,177.82
2017-07-31,178.07,178.51,174.18,177.88,925350,177.88
2017-07-28,177.09,179.0,175.51,177.76,1462332,177.76
2017-07-27,182.0,182.34,175.12,178.24,2557852,178.24
2017-07-26,190.71,192.47,189.58,190.19,903927,190.19
2017-07-25,191.41,192.15,189.49,190.95,716583,190.95
2017-07-24,190.96,190.96,188.62,190.08,542670,190.08
2017-07-21,189.51,191.96,188.56,191.22,721592,191.22
2017-07-20,196.35,197.07,188.37,189.74,2269028,189.74
2017-07-19,198.03,200.61,197.62,198.34,923346,198.34
2017-07-18,195.65,196.53,194.14,196.2,738458,196.2
2017-07-17,194.22,197.54,193.99,195.52,1125581,195.52
2017-07-14,192.64,193.23,190.45,192.29,587742,192.29
2017-07-13,192.78,193.79,191.665,192.25,652759,192.25
2017-07-12,192.53,194.075,192.11,192.26,540678,192.26
2017-07-11,192.84,193.016,189.75,191.25,421960,191.25
2017-07-10,192.5,193.86,191.85,192.83,368661,192.83
2017-07-07,190.51,192.91,188.65,192.11,426179,192.11
2017-07-06,192.28,193.27,188.8201,189.7,518504,189.7
2017-07-05,192.64,194.19,192.64,193.21,416850,193.21
2017-07-03,191.92,193.03,190.79,191.97,397151,191.97
2017-06-30,188.27,192.49,188.27,191.62,744840,191.62
2017-06-29,188.84,189.79,186.51,188.04,653294,188.04
2017-06-28,189.92,190.2959,188.23,188.54,598829,188.54
2017-06-27,190.84,191.93,188.035,188.52,618957,188.52
2017-06-26,189.11,191.93,188.92,190.72,780858,190.72
2017-06-23,194.63,194.63,186.52,188.68,1564959,188.68
2017-06-22,194.25,195.75,193.091,195.16,465916,195.16
2017-06-21,194.92,195.375,192.26,193.81,565528,193.81
2017-06-20,197.42,199.939,194.32,194.56,1169546,194.56
2017-06-19,196.75,198.25,196.085,196.87,566365,196.87
2017-06-16,195.83,196.33,194.59,195.87,645943,195.87
2017-06-15,195.14,196.879,194.06,196.24,767308,196.24
2017-06-14,193.96,202.99,193.2,196.54,1330817,196.54
2017-06-13,191.67,194.52,190.37,193.9,694200,193.9
2017-06-12,191.15,191.84,188.21,190.61,640512,190.61
2017-06-09,188.81,191.85,188.19,190.98,501509,190.98
2017-06-08,189.15,190.003,187.988,189.09,509067,189.09
2017-06-07,188.94,190.04,187.92,189.17,540625,189.17
2017-06-06,191.73,192.78,188.85,188.91,678232,188.91
2017-06-05,190.0,194.97,189.06,191.86,1164402,191.86
2017-06-02,188.21,190.92,187.09,189.89,614356,189.89
2017-06-01,185.57,188.77,185.18,187.81,782664,187.81
2017-05-31,183.23,185.82,182.68,185.54,755910,185.54
2017-05-30,179.35,183.88,178.74,183.2,761864,183.2
2017-05-26,180.72,180.79,178.76,179.13,578151,179.13
2017-05-25,179.97,182.28,179.04,180.4,542650,180.4
2017-05-24,180.7,181.0,179.49,179.98,457026,179.98
2017-05-23,180.49,181.14,180.05,180.78,414588,180.78
2017-05-22,180.08,181.69,179.215,180.13,516671,180.13
2017-05-19,177.68,180.45,176.61,179.08,793591,179.08
2017-05-18,175.48,178.8,172.97,177.2,1382630,177.2
2017-05-17,184.9,185.91,182.1,182.28,773494,182.28
2017-05-16,188.35,188.76,184.94,186.94,636144,186.94
2017-05-15,184.03,188.79,183.05,187.83,1377021,187.83
2017-05-12,185.07,185.1,182.84,183.19,597973,183.19
2017-05-11,185.16,186.08,182.88,185.65,449143,185.65
2017-05-10,184.4,185.36,183.5,185.25,566121,185.25
2017-05-09,183.63,185.07,183.38,184.5,597213,184.5
2017-05-08,185.56,185.979,183.48,183.68,578887,183.68
2017-05-05,183.83,185.38,183.48,185.14,568276,185.14
2017-05-04,187.49,188.285,183.72,183.93,998621,183.93
2017-05-03,187.45,189.23,186.33,187.15,897228,187.15
2017-05-02,185.9,188.31,185.51,187.66,862093,187.66
2017-05-01,185.67,187.2,185.6,185.91,700380,185.91
2017-04-28,185.87,185.94,183.86,185.68,970456,185.68
2017-04-27,185.0,186.62,183.95,185.86,783712,185.86
2017-04-26,181.52,186.29,180.88,185.12,1597398,185.12
2017-04-25,177.73,182.94,177.48,180.94,3659915,180.94
2017-04-24,173.96,176.82,172.895,174.8,1550866,174.8
2017-04-21,171.49,171.84,169.3896,171.51,991112,171.51
2017-04-20,170.34,172.52,169.89,171.64,901635,171.64
2017-04-19,168.75,171.08,168.71,170.14,911571,170.14
2017-04-18,168.63,169.05,166.69,168.14,1023200,168.14
2017-04-17,169.63,171.44,167.5,168.95,1273878,168.95
2017-04-13,167.98,170.18,167.44,169.44,712761,169.44
2017-04-12,168.66,169.83,167.27,168.27,683532,168.27
2017-04-11,167.28,168.41,166.7475,168.3,385964,168.3
2017-04-10,167.76,169.24,167.53,167.6,629817,167.6
2017-04-07,166.68,167.58,166.25,167.03,399667,167.03
2017-04-06,165.06,169.14,165.06,167.17,710532,167.17
2017-04-05,165.6,167.45,164.97,165.6,1255399,165.6
2017-04-04,170.09,170.9,164.81,165.61,1188856,165.61
2017-04-03,171.83,172.12,169.15,170.72,552305,170.72
2017-03-31,170.29,171.71,169.75,171.33,526916,171.33
2017-03-30,170.76,171.79,169.51,170.15,467541,170.15
2017-03-29,170.01,171.53,169.545,171.08,378834,171.08
2017-03-28,169.8,170.48,168.37,169.85,559415,169.85
2017-03-27,169.0,170.26,168.14,169.86,596781,169.86
2017-03-24,170.65,171.6,169.4,170.0,527792,170.0
2017-03-23,170.14,172.15,169.1,170.22,997960,170.22
2017-03-22,171.87,172.32,169.79,170.32,827055,170.32
2017-03-21,173.91,173.9988,171.41,172.01,841387,172.01
2017-03-20,172.55,173.1,171.84,172.8,606196,172.8
2017-03-17,172.83,173.01,171.29,172.71,1191036,172.71
2017-03-16,176.97,177.9699,172.07,172.69,1156255,172.69
2017-03-15,179.18,180.11,176.73,177.47,937571,177.47
2017-03-14,177.66,179.26,177.22,178.79,426804,178.79
2017-03-13,178.0,179.55,176.63,178.22,867988,178.22
2017-03-10,177.31,179.69,176.81,177.75,788623,177.75
2017-03-09,175.75,177.12,175.13,176.4,559919,176.4
2017-03-08,175.89,176.7657,174.96,176.04,723862,176.04
2017-03-07,175.59,176.88,174.22,175.38,484160,175.38
2017-03-06,176.47,177.77,175.33,175.75,449310,175.75
2017-03-03,178.02,178.99,176.71,177.89,424969,177.89
2017-03-02,178.24,178.67,177.259,177.8,430950,177.8
