date,open,high,low,close,volume,adj close
2012-09-12,58.73,59.0,58.16,58.21,2454100,58.21
2012-09-11,59.56,59.64,58.42,58.65,4192100,58.65
2012-09-10,60.14,60.9,58.93,59.45,5766500,59.45
2012-09-07,59.79,60.4,59.69,60.29,1447600,60.29
2012-09-06,59.34,59.72,59.05,59.72,2343300,59.72
2012-09-05,59.41,59.71,59.11,59.15,1770900,58.86
2012-09-04,59.73,60.19,59.2,59.39,1631300,59.1
2012-08-31,60.67,60.82,59.79,59.87,1929900,59.58
2012-08-30,61.4,61.61,60.44,60.46,3308300,60.17
2012-08-29,60.55,62.47,60.3,61.8,12619700,61.5
2012-08-28,58.06,58.07,57.34,57.39,2131300,57.11
2012-08-27,57.65,58.46,57.27,58.16,1692100,57.88
2012-08-24,57.7,57.95,57.27,57.66,1603600,57.38
2012-08-23,58.5,58.65,57.4,57.73,2093600,57.45
2012-08-22,57.25,58.57,57.0,58.57,2789400,58.28
2012-08-21,57.35,57.85,57.19,57.27,2170100,56.99
2012-08-20,57.43,57.97,56.52,57.38,2692300,57.1
2012-08-17,57.27,57.59,56.89,57.26,2141000,56.98
2012-08-16,57.89,58.13,57.53,57.84,1560400,57.56
2012-08-15,57.06,57.9,56.75,57.8,1911500,57.52
2012-08-14,57.03,57.51,56.8,56.9,2093000,56.62
2012-08-13,57.6,57.7,56.28,56.89,2966500,56.61
2012-08-10,56.75,57.95,56.71,57.91,2174300,57.63
2012-08-09,57.44,57.52,56.49,56.79,2309900,56.51
2012-08-08,56.25,57.5,55.92,57.44,2950100,57.16
2012-08-07,54.76,56.34,54.67,56.26,2983300,55.99
2012-08-06,55.17,55.31,54.44,54.64,2496300,54.37
2012-08-03,53.3,55.95,52.57,55.04,5319400,54.77
2012-08-02,53.93,54.02,52.68,52.93,2611900,52.67
2012-08-01,53.44,55.76,53.16,54.07,8867100,53.81
2012-07-31,54.45,54.96,53.1,53.29,5715200,53.03
2012-07-30,55.23,55.49,54.61,55.22,3086600,54.95
2012-07-27,53.89,55.45,53.48,55.12,4620000,54.85
2012-07-26,54.22,54.22,52.52,53.39,8685300,53.13
2012-07-25,55.34,55.8,53.26,54.01,15621300,53.75
2012-07-24,61.85,62.24,61.0,61.42,2108500,61.12
2012-07-23,61.34,62.22,61.0,61.81,2184800,61.51
2012-07-20,62.39,62.92,61.87,61.94,2751000,61.64
2012-07-19,63.39,63.85,61.64,62.7,3492100,62.39
2012-07-18,62.86,63.85,62.44,63.2,3140400,62.89
2012-07-17,62.01,63.1,61.88,62.94,2906900,62.63
2012-07-16,62.24,62.35,61.8,61.97,2760900,61.67
2012-07-13,61.08,62.54,61.08,62.36,2542700,62.06
2012-07-12,61.22,61.84,60.6,61.07,2567700,60.77
2012-07-11,61.11,62.14,60.94,61.78,4258600,61.48
2012-07-10,61.98,62.33,60.79,61.14,3747500,60.84
