date,open,high,low,close,volume,adj close
2012-09-12,352.01,352.68,348.26,350.68,12400,350.68
2012-09-11,350.19,352.92,349.33,349.61,15100,349.61
2012-09-10,348.99,352.0,348.19,350.19,19100,350.19
2012-09-07,352.26,356.01,346.78,348.44,28900,348.44
2012-09-06,350.32,354.82,349.96,353.29,9600,353.29
2012-09-05,359.44,359.44,347.92,348.6,36400,348.6
2012-09-04,351.97,356.35,346.76,354.86,24400,354.86
2012-08-31,354.85,357.0,352.04,352.5,12300,352.5
2012-08-30,351.26,357.12,349.95,355.0,24900,355.0
2012-08-29,352.04,352.75,346.49,349.99,15200,349.99
2012-08-28,349.86,358.15,347.8,352.98,21200,352.98
2012-08-27,350.5,351.75,348.11,349.24,21000,349.24
2012-08-24,349.36,352.47,349.13,351.77,11400,351.77
2012-08-23,352.5,352.5,349.13,350.16,11400,350.16
2012-08-22,355.3,355.53,352.02,354.72,17500,354.72
2012-08-21,356.63,359.48,354.57,355.05,17300,355.05
2012-08-20,348.66,356.98,348.66,355.86,19900,355.86
2012-08-17,349.53,352.81,348.14,349.02,13600,349.02
2012-08-16,347.0,351.81,346.39,348.07,28600,348.07
2012-08-15,346.05,351.26,344.78,346.69,21800,346.69
2012-08-14,347.0,349.43,344.91,346.12,26300,346.12
2012-08-13,348.0,351.63,345.2,347.1,14900,347.1
2012-08-10,343.5,349.66,342.9,348.88,18900,348.88
2012-08-09,353.1,356.07,346.41,348.26,21800,348.26
2012-08-08,347.0,354.97,344.8,352.75,33300,352.75
2012-08-07,344.97,353.0,342.91,344.31,24800,344.31
2012-08-06,332.22,347.56,332.22,344.58,39900,344.58
2012-08-03,338.53,338.53,328.3,330.29,34900,330.29
2012-08-02,333.88,334.63,330.0,330.75,32500,330.75
2012-08-01,340.0,347.37,336.5,336.5,38800,336.5
2012-07-31,341.01,343.46,336.29,338.5,47300,338.5
2012-07-30,341.0,344.72,340.01,340.49,15300,340.49
2012-07-27,341.85,346.27,338.83,344.46,15800,344.46
2012-07-26,344.55,346.42,337.5,338.55,62200,338.55
2012-07-25,345.12,349.25,342.01,344.25,16700,344.25
2012-07-24,351.0,351.0,340.24,343.84,44500,343.84
2012-07-23,359.7,360.5,351.48,355.51,41400,355.51
2012-07-20,367.11,370.51,361.35,361.54,21900,361.54
2012-07-19,361.19,369.5,361.19,366.78,21400,366.78
2012-07-18,361.25,365.6,357.19,363.88,15700,361.43
2012-07-17,355.6,361.72,355.41,360.64,11400,358.21
2012-07-16,356.74,360.01,353.21,356.51,20100,354.11
2012-07-13,354.06,356.1,350.39,355.65,16900,353.26
2012-07-12,361.0,367.59,352.2,353.0,20200,350.62
2012-07-11,363.0,364.0,356.93,364.0,17800,361.55
2012-07-10,363.33,366.47,359.41,364.03,27900,361.58
2012-07-09,367.81,368.82,359.58,360.69,37500,358.26
2012-07-06,373.33,375.44,366.2,368.5,20100,366.02
2012-07-05,378.0,378.54,374.15,375.0,12200,372.48
2012-07-03,380.71,380.71,376.35,380.19,9400,377.63
2012-07-02,375.0,381.11,373.0,381.11,35400,378.54
2012-06-29,372.94,375.95,367.11,373.82,19000,371.3
2012-06-28,362.64,370.96,361.52,369.78,18400,367.29
2012-06-27,364.46,367.54,363.54,365.38,28700,362.92
2012-06-26,365.5,366.68,362.5,363.55,13600,361.1
2012-06-25,367.52,367.52,360.6,362.9,14100,360.46
2012-06-22,370.12,372.99,363.63,369.23,106200,366.74
2012-06-21,376.5,376.5,365.19,366.31,30300,363.84
2012-06-20,378.3,379.24,370.09,375.39,28500,372.86
2012-06-19,376.75,379.88,373.24,376.92,20000,374.38
2012-06-18,373.78,377.75,372.44,374.8,16600,372.28
2012-06-15,372.53,374.49,369.02,374.35,34600,371.83
2012-06-14,366.0,372.97,364.98,370.01,18700,367.52
2012-06-13,367.63,368.13,363.66,364.91,22900,362.45
2012-06-12,365.07,367.52,362.0,367.52,26700,365.05
2012-06-11,366.0,366.0,362.1,363.51,35100,361.06
2012-06-08,361.0,366.24,358.9,364.12,16000,361.67
2012-06-07,363.77,364.35,359.99,360.7,14600,358.27
2012-06-06,352.55,361.88,349.39,359.41,20400,356.99
2012-06-05,348.57,353.0,346.4,351.24,42700,348.88
2012-06-04,348.66,352.3,345.0,351.63,52300,349.26
2012-06-01,344.0,352.32,343.14,349.5,61600,347.15
2012-05-31,349.48,351.97,346.09,348.82,50400,346.47
2012-05-30,347.0,350.26,343.61,349.0,41500,346.65
2012-05-29,347.0,352.28,347.0,350.76,47100,348.4
2012-05-25,339.59,347.47,339.59,344.56,45500,342.24
2012-05-24,335.0,341.73,335.0,339.35,48200,337.07
2012-05-23,331.0,336.06,331.0,335.14,40000,332.88
2012-05-22,330.0,335.78,330.0,332.5,54000,330.26
2012-05-21,332.81,336.56,327.73,327.75,63000,325.54
2012-05-18,334.45,338.01,330.0,333.0,50700,330.76
2012-05-17,340.88,342.26,333.08,334.01,75600,331.76
2012-05-16,337.76,349.71,337.76,342.0,132100,339.7
2012-05-15,329.5,340.11,329.5,334.75,95000,332.5
2012-05-14,332.26,336.13,329.22,330.02,58000,327.8
2012-05-11,335.25,339.15,332.63,336.2,91000,333.94
2012-05-10,338.94,358.35,334.6,337.0,57300,334.73
2012-05-09,341.92,373.84,337.22,338.93,68000,336.65
2012-05-08,348.31,349.46,341.14,345.0,60900,342.68
2012-05-07,354.54,357.4,342.73,348.5,87000,346.15
2012-05-04,377.04,377.91,350.0,357.62,77300,355.21
2012-05-03,375.11,377.88,373.0,376.15,28000,373.62
2012-05-02,377.82,378.56,374.03,376.87,21000,374.33
2012-05-01,375.41,381.47,374.33,377.14,23200,374.6
2012-04-30,382.99,382.99,373.11,378.17,35000,375.62
2012-04-27,384.66,385.7,380.98,383.92,18600,381.34
2012-04-26,379.45,387.16,379.45,380.03,19600,377.47
2012-04-25,379.3,385.65,377.08,378.22,16300,375.67
2012-04-24,373.7,379.95,372.11,373.65,40700,371.13
2012-04-23,378.01,379.59,370.0,373.58,33200,371.06
2012-04-20,384.25,387.0,380.01,382.39,20800,379.82
2012-04-19,371.41,380.74,371.41,380.13,28200,377.57
2012-04-18,378.23,379.55,372.76,372.96,34800,368.02
2012-04-17,372.34,382.43,371.29,379.39,34800,374.36
2012-04-16,388.0,390.7,371.71,372.19,53100,367.26
2012-04-13,381.87,389.66,381.59,387.47,23600,382.33
2012-04-12,379.13,383.95,378.91,383.73,15500,378.64
2012-04-11,378.0,383.42,375.91,379.2,27100,374.17
2012-04-10,371.5,377.11,371.5,373.69,28400,368.74
2012-04-09,370.26,374.83,369.84,374.3,17400,369.34
2012-04-05,373.2,376.51,371.9,376.17,17600,371.18
2012-04-04,371.52,374.99,367.0,372.77,24500,367.83
2012-04-03,372.5,375.04,365.83,372.91,47000,367.97
