date,open,high,low,close,volume,adj close
2018-02-07,71.27,72.86,71.12,71.79,1748941,71.79
2018-02-06,71.65,71.85,69.69,71.33,2295182,71.33
2018-02-05,75.22,76.17,72.61,72.66,2214272,72.66
2018-02-02,74.95,76.81,74.65,75.66,2171757,75.66
2018-02-01,72.5,75.68,72.5,74.84,1817612,74.84
2018-01-31,73.26,73.99,72.09,72.26,1638302,72.26
2018-01-30,72.84,73.52,72.6,73.07,835882,73.07
2018-01-29,74.07,74.48,73.23,73.41,791508,73.41
2018-01-26,73.5,74.435,73.38,74.41,804380,74.41
2018-01-25,72.92,73.55,72.36,73.24,709442,73.24
2018-01-24,72.75,73.15,72.12,72.57,620071,72.57
2018-01-23,72.5,72.77,72.19,72.61,856043,72.61
2018-01-22,71.95,72.66,71.495,72.65,794690,72.65
2018-01-19,71.54,75.16,71.23,71.91,1221985,71.91
2018-01-18,70.84,71.28,70.74,71.11,1022099,71.11
2018-01-17,71.0,71.24,70.7,71.02,957295,71.02
2018-01-16,70.88,71.49,70.12,70.54,940098,70.54
2018-01-12,70.11,70.79,70.05,70.46,847704,70.46
2018-01-11,68.82,69.98,68.6,69.97,880890,69.97
2018-01-10,69.31,69.4,68.65,69.0,784964,69.0
2018-01-09,69.56,69.87,69.38,69.5,687573,69.5
2018-01-08,69.2,69.59,68.85,69.48,554692,69.48
2018-01-05,69.5,69.54,69.04,69.23,666752,69.23
2018-01-04,69.03,69.64,69.03,69.36,796940,69.36
2018-01-03,67.99,68.91,67.97,68.9,778838,68.9
2018-01-02,68.21,68.21,67.5,68.07,877805,68.07
2017-12-29,68.53,68.8,67.92,68.2,1046677,68.2
2017-12-28,68.21,68.33,67.77,68.25,466320,68.25
2017-12-27,67.74,68.4,67.66,68.23,517340,68.23
2017-12-26,67.68,67.75,67.4,67.5,219582,67.5
2017-12-22,67.58,67.95,67.2,67.58,336385,67.58
2017-12-21,68.39,68.63,67.63,67.75,650006,67.75
2017-12-20,68.28,68.37,67.77,67.82,543066,67.82
2017-12-19,68.03,68.29,67.69,67.86,739219,67.86
2017-12-18,68.19,68.44,67.6,67.9,1088149,67.9
2017-12-15,67.39,68.0,67.21,67.57,1818838,67.57
2017-12-14,67.18,67.59,66.65,66.7,997411,66.7
2017-12-13,67.66,68.02,67.31,67.49,979620,67.49
2017-12-12,67.53,67.96,66.8,67.54,999170,67.54
2017-12-11,68.38,68.4,67.13,67.28,721249,67.28
2017-12-08,68.51,68.52,68.085,68.19,681266,68.19
2017-12-07,67.93,68.78,67.64,68.38,744459,68.38
2017-12-06,67.84,68.245,67.4,67.98,1079899,67.98
2017-12-05,68.75,69.12,67.7,67.84,738336,67.84
2017-12-04,69.5,69.88,68.66,68.77,825682,68.77
2017-12-01,69.38,69.67,67.86,69.01,674787,69.01
2017-11-30,68.2,69.69,68.08,69.34,1524647,69.34
2017-11-29,68.6,68.79,67.99,68.2,899831,68.2
2017-11-28,67.87,68.54,67.39,68.52,691242,68.52
2017-11-27,67.48,67.8,67.41,67.64,492391,67.64
2017-11-24,67.51,67.99,67.32,67.69,195883,67.69
2017-11-22,67.41,67.9,67.02,67.35,420325,67.35
2017-11-21,67.33,67.5,67.04,67.41,1119449,67.41
2017-11-20,66.5,67.01,66.2,66.99,331046,66.99
2017-11-17,66.17,66.65,65.68,66.42,561526,66.42
2017-11-16,65.9,66.74,65.74,66.48,465558,66.48
2017-11-15,65.96,66.18,65.69,65.9,493799,65.9
2017-11-14,65.91,66.425,65.91,66.34,610927,66.34
2017-11-13,66.11,66.37,65.89,66.03,480708,66.03
