Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,108.3,109.91,107.82,108.75,2978747,108.75
2018-02-06,109.06,110.29,106.93,108.55,4553823,108.55
2018-02-05,111.55,112.92,109.89,110.51,2853197,110.51
2018-02-02,112.66,113.19,111.25,112.1,1809706,112.1
2018-02-01,112.91,114.47,112.33,113.07,3168653,113.07
2018-01-31,110.09,113.3899,110.07,112.77,2814801,112.77
2018-01-30,109.02,110.41,108.66,110.03,2954592,110.03
2018-01-29,110.52,111.15,108.84,109.83,3214495,109.83
2018-01-26,110.35,110.87,108.75,110.63,3328827,110.63
2018-01-25,109.38,110.22,107.16,108.61,4370710,108.61
2018-01-24,110.48,110.91,109.35,109.59,2405721,109.59
2018-01-23,108.92,110.44,108.4762,110.33,2996389,110.33
2018-01-22,107.5,108.37,106.89,108.3,2837797,108.3
2018-01-19,106.25,107.65,105.67,107.35,2868067,107.35
2018-01-18,105.71,106.32,105.21,106.11,2062459,106.11
2018-01-17,105.4,106.99,105.05,106.03,2616728,106.03
2018-01-16,103.98,106.77,103.98,105.32,2844785,105.32
2018-01-12,104.05,104.07,103.07,103.57,2430421,103.57
2018-01-11,104.95,105.19,102.6,103.69,4380675,103.69
2018-01-10,105.95,106.53,103.34,104.92,4849650,104.92
2018-01-09,108.3,108.67,107.63,107.68,1031933,107.68
2018-01-08,108.01,108.73,107.72,108.35,1776476,108.35
2018-01-05,107.43,108.41,107.26,108.03,1769361,108.03
2018-01-04,108.29,108.76,107.1,107.21,2240434,107.21
2018-01-03,108.75,109.5,108.08,108.47,2078871,108.47
2018-01-02,110.53,110.96,108.47,108.93,2036131,108.93
2017-12-29,110.0,111.425,109.61,111.01,1266797,111.01
2017-12-28,109.64,110.21,109.01,109.82,1779287,109.82
2017-12-27,109.12,109.68,108.82,109.43,1059068,109.43
2017-12-26,108.55,109.43,108.22,108.97,721350,108.97
2017-12-22,107.98,108.72,107.56,108.55,1003291,108.55
2017-12-21,108.42,108.9,108.01,108.18,1514203,108.18
2017-12-20,108.43,108.56,107.33,107.89,1924250,107.89
2017-12-19,109.67,110.07,108.3501,108.55,1242438,108.55
2017-12-18,110.26,110.975,109.03,109.63,1649879,109.63
2017-12-15,111.01,111.6885,110.1107,110.65,3284895,110.65
2017-12-14,110.66,111.25,110.24,110.61,2397019,110.61
2017-12-13,111.19,112.46,110.91,111.37,1838021,111.37
2017-12-12,111.06,111.8,110.65,110.89,1198381,110.89
2017-12-11,109.57,111.14,108.91,110.91,2869368,110.91
2017-12-08,109.85,110.34,108.71,109.5,1667949,109.5
2017-12-07,109.48,110.17,108.02,109.71,1540196,109.71
2017-12-06,109.11,109.5,108.0001,109.18,2812670,109.18
2017-12-05,109.37,110.44,108.78,108.81,2082631,108.81
2017-12-04,112.45,113.485,109.565,109.63,1875502,109.63
2017-12-01,113.45,113.45,112.0,112.55,1777149,112.55
2017-11-30,113.08,113.35,111.96,113.0,1731153,113.0
2017-11-29,113.54,113.64,111.19,112.86,1368107,112.86
2017-11-28,114.0,114.0,112.6,113.52,2705711,113.52
2017-11-27,113.48,114.53,113.1261,113.29,1095068,113.29
2017-11-24,111.91,113.28,111.85,112.72,535547,112.72
2017-11-22,111.72,112.28,110.89,111.84,1000659,111.84
2017-11-21,110.68,112.31,110.63,112.11,2274257,112.11
2017-11-20,110.22,111.1,110.02,110.48,1321526,110.48
2017-11-17,110.52,111.45,109.79,110.02,2652801,110.02
2017-11-16,112.62,113.43,110.79,111.12,2923909,111.12
2017-11-15,113.49,113.59,111.96,112.55,1551474,112.55
2017-11-14,112.8,113.58,112.08,113.16,1519029,113.16
2017-11-13,113.38,113.88,111.78,112.9,2060088,112.9
2017-11-10,112.86,113.75,111.91,113.28,1285998,113.28
2017-11-09,113.7,114.56,112.77,113.5,1459589,113.5
2017-11-08,111.63,114.97,111.63,114.03,2104248,114.03
2017-11-07,111.81,112.46,110.44,111.76,2602817,111.76
2017-11-06,110.9,114.84,109.44,111.81,6501991,111.81
2017-11-03,105.84,107.27,105.27,106.51,1613547,106.51
2017-11-02,105.26,107.11,105.07,106.37,1451154,106.37
2017-11-01,107.68,107.74,104.78,105.14,2467176,105.14
2017-10-31,105.95,107.54,105.29,107.08,2476262,107.08
2017-10-30,103.34,110.655,103.2,106.11,5454815,106.11
2017-10-27,103.25,104.0,102.91,103.19,1651173,103.19
2017-10-26,105.0,105.18,103.16,103.18,2072633,103.18
2017-10-25,103.53,104.36,103.0,104.18,1461713,104.18
