Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,17.4,17.66,17.15,17.48,13399513,17.48
2018-02-06,16.9,17.48,16.5,17.43,6314959,17.43
2018-02-05,17.9,18.12,17.26,17.28,5928458,17.28
2018-02-02,18.8,18.85,18.03,18.05,6702014,18.05
2018-02-01,19.55,19.56,18.64,18.86,7430256,18.86
2018-01-31,19.7,19.84,19.485,19.61,4670025,19.61
2018-01-30,19.67,19.93,19.41,19.69,4099044,19.69
2018-01-29,20.15,20.22,19.69,19.7,4705951,19.7
2018-01-26,20.22,20.37,19.97,20.22,4444142,20.22
2018-01-25,20.4,20.41,20.12,20.25,4167303,20.25
2018-01-24,20.85,20.945,20.285,20.38,6571791,20.38
2018-01-23,20.92,20.955,20.45,20.77,3976408,20.77
2018-01-22,20.58,20.98,20.58,20.89,3168458,20.89
2018-01-19,20.09,20.56,20.05,20.53,4254706,20.53
2018-01-18,20.57,20.62,19.97,20.01,3991610,20.01
2018-01-17,20.61,20.93,20.46,20.7,2943665,20.7
2018-01-16,20.84,21.175,20.27,20.4,5880663,20.4
2018-01-12,20.51,20.81,20.48,20.78,2043008,20.78
2018-01-11,20.56,20.69,20.37,20.52,3170640,20.52
2018-01-10,20.46,20.535,20.295,20.52,3590556,20.52
2018-01-09,20.27,20.68,20.14,20.59,2680547,20.59
2018-01-08,20.31,20.475,20.17,20.32,3212683,20.32
2018-01-05,20.09,20.43,19.905,20.4,3206224,20.4
2018-01-04,19.97,20.13,19.7,20.08,3222314,20.08
2018-01-03,19.89,19.915,19.63,19.77,4152672,19.77
2018-01-02,19.95,20.07,19.85,19.88,3561779,19.88
2017-12-29,20.07,20.1,19.88,19.89,2760170,19.89
2017-12-28,19.83,20.09,19.82,20.07,2752978,20.07
2017-12-27,20.18,20.26,19.735,19.85,2723292,19.85
2017-12-26,19.91,20.305,19.91,20.15,1973213,20.15
2017-12-22,19.87,20.04,19.77,19.93,2046639,19.93
2017-12-21,20.0,20.04,19.67,19.75,4026182,19.75
2017-12-20,19.46,19.54,19.215,19.45,3627861,19.45
2017-12-19,19.81,19.83,19.34,19.38,4555765,19.38
2017-12-18,19.8,19.86,19.615,19.7,5481873,19.7
2017-12-15,19.645,19.88,19.54,19.78,8112158,19.78
