Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,93.85,96.225,93.825,95.08,1213546,95.08
2018-02-06,92.58,94.925,91.15,94.38,2462002,94.38
2018-02-05,95.56,98.33,94.22,94.22,1687890,94.22
2018-02-02,97.17,97.41,95.99,96.04,1701877,96.04
2018-02-01,95.4,97.55,95.021,97.51,1561118,97.51
2018-01-31,96.58,97.14,95.34,95.85,1798318,95.85
2018-01-30,98.07,98.38,96.52,96.54,1273291,96.54
2018-01-29,98.34,98.98,97.75,98.23,809646,98.23
2018-01-26,97.99,98.6,97.1,98.49,838933,98.49
2018-01-25,98.0,98.545,96.77,97.86,985528,97.86
2018-01-24,97.95,98.305,97.04,97.55,732308,97.55
2018-01-23,97.71,98.575,97.44,97.49,818751,97.49
2018-01-22,98.72,98.8,96.69,98.06,1200059,98.06
2018-01-19,97.73,99.11,97.68,99.04,1306189,99.04
2018-01-18,97.15,97.8,96.81,97.36,913844,97.36
2018-01-17,97.57,98.58,97.06,97.46,1212335,97.46
2018-01-16,98.69,98.86,96.31,96.74,1565590,96.74
2018-01-12,97.99,99.41,97.76,98.02,1076331,98.02
2018-01-11,97.05,97.95,96.86,97.6,1277549,97.6
2018-01-10,97.46,97.56,96.6,96.79,1353908,96.79
2018-01-09,98.48,98.54,97.19,97.49,1885547,97.49
2018-01-08,99.0,99.3055,97.05,98.78,1857276,98.78
2018-01-05,98.84,99.32,97.88,99.31,1303063,99.31
2018-01-04,99.52,100.11,98.41,98.52,2156312,98.52
2018-01-03,96.73,98.68,96.6,98.54,1632452,98.54
2018-01-02,96.78,97.34,95.57,96.32,2015343,96.32
2017-12-29,97.8,97.8,96.02,96.02,1526384,96.02
2017-12-28,97.59,97.875,97.05,97.5,670354,97.5
2017-12-27,97.07,98.36,97.07,97.41,1025548,97.41
2017-12-26,96.32,97.71,96.17,97.15,1124725,97.15
2017-12-22,94.6,96.65,94.39,96.4,1384469,96.4
2017-12-21,96.9,97.0,94.86,95.06,1615780,95.06
2017-12-20,97.75,98.29,95.5,95.67,2720016,95.67
2017-12-19,93.86,96.74,92.56,96.69,4835063,96.69
2017-12-18,89.39,90.85,89.3,90.54,3056837,90.54
2017-12-15,88.1,89.2,87.6,88.41,3067127,88.41
2017-12-14,87.14,88.645,86.93,86.96,1480897,86.96
2017-12-13,87.05,87.91,86.84,87.6,1254314,87.6
2017-12-12,86.65,87.65,85.99,87.14,1803547,87.14
2017-12-11,86.31,86.735,85.88,86.55,2067215,86.55
2017-12-08,85.34,86.46,84.69,86.41,1582982,86.41
2017-12-07,85.57,86.35,85.07,85.28,1595456,85.28
2017-12-06,86.32,86.82,85.5,85.53,1300064,85.53
2017-12-05,86.53,86.63,84.7,86.14,2156227,86.14
2017-12-04,85.59,88.57,85.59,86.06,2369092,86.06
2017-12-01,84.72,85.5,83.77,85.04,1441601,85.04
2017-11-30,84.94,85.64,83.9586,84.32,2064122,84.32
2017-11-29,83.25,85.06,83.05,84.81,1437486,84.81
2017-11-28,80.61,83.1,80.35,83.06,1109488,83.06
2017-11-27,80.15,80.55,79.88,80.28,1010482,80.28
2017-11-24,79.97,80.54,79.56,80.24,510696,80.24
2017-11-22,80.16,80.26,79.18,79.76,1554027,79.76
2017-11-21,82.72,82.72,80.14,80.33,3043518,80.33
2017-11-20,82.95,82.95,81.88,82.29,1376918,82.29
2017-11-17,82.49,83.23,82.2,82.81,707883,82.81
2017-11-16,81.99,82.71,81.9,82.33,1062097,82.33
2017-11-15,82.76,83.0,81.88,81.95,1559128,81.95
2017-11-14,82.95,83.52,82.66,82.85,1505611,82.85
2017-11-13,82.52,83.05,82.16,82.84,1845871,82.84
2017-11-10,81.96,82.85,81.85,82.64,936425,82.64
2017-11-09,81.62,82.28,81.27,82.14,1347739,82.14
2017-11-08,81.62,83.22,81.61,82.12,1348409,82.12
2017-11-07,82.3,82.97,81.34,81.65,1545978,81.65
2017-11-06,82.25,82.57,81.805,82.4,582948,82.4
2017-11-03,81.83,83.22,81.63,82.28,1017859,82.28
2017-11-02,81.69,82.31,81.415,81.81,881685,81.81
2017-11-01,82.37,82.71,81.74,82.08,1262403,82.08
2017-10-31,82.98,83.21,81.99,82.27,1103817,82.27
2017-10-30,83.07,83.26,82.1,82.77,1308773,82.77
2017-10-27,83.39,85.56,83.14,83.33,1585852,83.33
2017-10-26,82.27,83.03,82.195,82.79,803144,82.79
2017-10-25,82.54,82.9,81.36,81.79,1777448,81.79
2017-10-24,82.37,82.9,82.251,82.64,906870,82.64
2017-10-23,82.78,83.05,82.29,82.35,1873995,82.35
2017-10-20,82.37,83.56,82.15,82.77,1952325,82.77
2017-10-19,81.9,82.05,81.08,81.97,1638884,81.97
2017-10-18,81.6,82.25,81.235,81.96,1914408,81.96
2017-10-17,79.08,81.89,78.865,81.56,2245575,81.56
2017-10-16,79.68,80.37,79.27,80.2,1449553,80.2
2017-10-13,79.12,79.46,78.83,79.42,988502,79.42
2017-10-12,78.96,79.33,78.25,79.21,1799855,79.21
2017-10-11,79.54,79.855,79.25,79.34,2314293,79.34
2017-10-10,80.02,80.18,79.095,79.28,1052791,79.28
2017-10-09,80.78,80.88,79.5,79.74,1472449,79.74
2017-10-06,79.31,80.97,79.0,80.83,1927436,80.83
2017-10-05,79.7,79.9425,78.78,79.72,1633215,79.72
2017-10-04,80.15,80.44,79.33,79.6,1203200,79.6
2017-10-03,79.78,80.14,79.23,80.11,1740658,80.11
2017-10-02,78.53,79.23,77.93,79.17,1535515,79.17
2017-09-29,78.88,78.94,78.14,78.78,2144813,78.78
2017-09-28,79.32,79.63,78.21,78.96,2289269,78.96
2017-09-27,79.2,80.39,78.87,79.15,3086206,79.15
2017-09-26,80.52,81.73,77.55,77.71,6191227,77.71
2017-09-25,83.04,83.86,81.91,83.14,2399776,83.14
2017-09-22,82.94,83.34,82.32,82.88,1898713,82.88
2017-09-21,83.78,83.89,82.6575,83.06,1825558,83.06
2017-09-20,83.55,84.31,83.22,83.8,1429027,83.8
2017-09-19,84.36,84.39,82.82,83.31,2423108,83.31
2017-09-18,84.02,84.85,83.91,84.37,1715460,84.37
2017-09-15,83.28,84.47,83.19,83.86,2070694,83.86
2017-09-14,83.37,83.4738,82.19,83.2,2059581,83.2
2017-09-13,81.43,84.62,81.43,83.62,2678142,83.62
2017-09-12,79.72,81.43,79.72,81.22,1501394,81.22
2017-09-11,79.3,81.75,79.3,79.74,2240102,79.74
2017-09-08,76.84,79.2,76.27,78.55,2261639,78.55
2017-09-07,78.37,78.59,76.72,77.05,3039966,77.05
2017-09-06,81.3,81.345,77.96,78.36,3265764,78.36
2017-09-05,81.47,81.86,80.52,81.19,1738948,81.19
2017-09-01,82.45,82.505,81.67,81.92,1427767,81.92
2017-08-31,82.82,83.22,82.06,82.09,1625774,82.09
2017-08-30,82.64,83.375,82.54,82.88,1228233,82.88
2017-08-29,84.4,84.91,82.12,82.64,2381086,82.64
2017-08-28,83.65,85.23,83.27,84.84,2017553,84.84
2017-08-25,82.96,84.62,82.57,83.68,1783345,83.68
2017-08-24,83.66,83.89,82.36,82.38,1058979,82.38
2017-08-23,84.4,84.91,82.12,82.64,2381085,82.64
2017-08-22,84.63,85.81,84.55,85.3,933466,85.3
2017-08-21,84.12,84.945,84.0,84.51,1019621,84.51
2017-08-18,83.96,84.62,83.72,83.99,1658214,83.99
2017-08-17,84.32,85.29,83.93,84.13,1408998,84.13
2017-08-16,83.65,84.73,83.5,84.39,1276849,84.39
2017-08-15,83.12,83.78,82.45,83.48,2183711,83.48
