Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,72.79,74.46,72.61,72.77,1759927,72.77
2018-02-06,73.64,74.35,71.95,73.76,2439251,73.76
2018-02-05,75.87,76.64,74.39,74.41,1697217,74.41
2018-02-02,76.74,77.46,75.9,75.98,1209803,75.98
2018-02-01,78.47,78.98,76.78,77.12,1843430,77.12
2018-01-31,77.87,78.81,76.91,78.69,1632272,78.69
2018-01-30,76.81,78.375,76.81,77.9,1786171,77.9
2018-01-29,78.0,78.145,76.72,76.83,1055213,76.83
2018-01-26,78.29,78.53,77.45,78.29,1370052,78.29
2018-01-25,76.7,78.1,76.5503,78.08,1061739,78.08
2018-01-24,77.62,77.67,76.61,76.7,1945725,76.7
2018-01-23,76.97,78.4,76.87,77.66,1321203,77.66
2018-01-22,77.5,77.85,76.65,76.83,1348141,76.83
2018-01-19,77.95,78.32,76.76,76.99,1382694,76.99
2018-01-18,78.54,78.6075,77.36,77.79,1069089,77.79
2018-01-17,78.0,78.72,77.78,78.51,1347579,78.51
2018-01-16,78.39,78.59,76.86,77.67,1352420,77.67
2018-01-12,78.74,79.2,78.19,78.22,998700,78.22
2018-01-11,79.28,79.9,78.955,79.17,1483632,79.17
2018-01-10,79.75,79.91,79.0,79.48,981308,79.48
2018-01-09,80.74,81.02,79.82,80.12,938233,80.12
2018-01-08,80.09,80.88,79.975,80.84,1110989,80.84
2018-01-05,80.68,80.91,79.68,79.92,1328504,79.92
2018-01-04,81.53,81.76,80.43,80.54,1095264,80.54
2018-01-03,82.32,82.96,81.52,81.69,1474880,81.69
2018-01-02,81.71,82.63,80.9,82.6,1813171,82.6
2017-12-29,81.45,81.6,81.1008,81.39,777111,81.39
2017-12-28,80.75,81.17,80.47,81.16,790609,81.16
2017-12-27,79.97,80.62,79.804,80.5,1021727,80.5
2017-12-26,80.53,80.85,79.82,79.9,634836,79.9
2017-12-22,80.24,80.84,80.165,80.31,1164611,80.31
2017-12-21,79.825,80.8,79.66,80.12,978724,80.12
2017-12-20,80.76,81.28,80.18,80.2,978310,80.2
2017-12-19,82.39,82.87,80.97,81.03,1702625,81.03
2017-12-18,83.96,84.09,82.32,82.69,1789030,82.69
2017-12-15,83.11,84.09,82.94,83.8,4644377,83.8
2017-12-14,82.37,83.25,81.85,82.66,1288603,82.66
2017-12-13,83.36,83.8,82.97,83.32,1228513,83.32
2017-12-12,84.75,85.23,83.13,83.26,1540970,83.26
2017-12-11,83.84,84.63,83.65,84.58,2303628,84.58
2017-12-08,83.54,84.275,83.28,84.04,944958,84.04
2017-12-07,83.53,83.72,83.0,83.7,801164,83.7
2017-12-06,83.38,83.82,83.0,83.59,1148476,83.59
2017-12-05,84.55,84.59,82.77,83.13,1701765,83.13
2017-12-04,85.69,85.735,84.06,84.37,2665858,84.37
2017-12-01,86.82,87.09,85.11,85.52,1319732,85.52
2017-11-30,86.23,86.76,85.75,86.48,1405060,86.48
2017-11-29,86.01,86.36,85.46,86.15,831648,86.15
2017-11-28,86.46,86.8,86.12,86.34,1218178,86.34
2017-11-27,85.6,86.38,85.25,86.08,1463578,86.08
2017-11-24,85.55,85.92,85.27,85.37,235103,85.37
2017-11-22,85.52,85.715,84.85,85.51,572538,85.51
2017-11-21,85.72,86.11,85.49,85.61,788488,85.61
2017-11-20,86.51,86.51,85.23,85.65,1007723,85.65
2017-11-17,85.66,87.22,85.66,86.51,1216439,86.51
2017-11-16,86.26,86.49,85.8,85.9,875348,85.9
2017-11-15,87.5,87.95,86.28,86.43,1581441,86.43
2017-11-14,86.42,87.5,86.19,87.42,1219673,87.42
2017-11-13,85.23,86.69,85.23,86.64,1476054,86.64
2017-11-10,85.95,86.29,85.1,85.13,1196622,85.13
2017-11-09,85.96,86.6,85.62,86.42,1282080,86.42
2017-11-08,85.82,86.489,85.6,86.24,1937939,86.24
2017-11-07,86.35,87.07,86.03,86.85,911719,86.85
2017-11-06,86.93,87.28,86.24,86.36,956047,86.36
2017-11-03,86.48,87.85,86.3,87.0,1062341,87.0
2017-11-02,85.9,86.75,85.28,86.64,2217076,86.64
2017-11-01,86.32,86.36,85.24,85.67,1368664,85.67
2017-10-31,86.19,86.64,86.04,86.26,979249,86.26
2017-10-30,86.7,86.7,86.02,86.39,1146722,86.39
2017-10-27,86.14,86.84,85.8701,86.77,1142415,86.77
2017-10-26,86.77,87.0,86.11,86.18,1012807,86.18
2017-10-25,86.12,86.49,84.37,86.36,1203398,86.36
2017-10-24,85.65,86.4,84.68,85.98,1796695,85.98
2017-10-23,85.94,85.99,85.22,85.23,1725587,85.23
2017-10-20,85.25,85.72,84.96,85.66,1617487,85.66
2017-10-19,85.0,85.43,84.535,85.36,1516121,85.36
2017-10-18,83.95,84.78,83.95,84.66,1421186,84.66
