Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,18.37,18.48,17.775,17.86,31024247,17.86
2018-02-06,17.24,18.785,17.07,18.74,38602352,18.74
2018-02-05,18.14,18.65,17.36,17.65,29891974,17.65
2018-02-02,19.26,19.28,17.925,17.97,25449182,17.97
2018-02-01,19.45,19.69,19.3,19.45,10716705,19.45
2018-01-31,19.44,19.58,19.2855,19.5,15107609,19.5
2018-01-30,19.47,19.71,19.11,19.13,16342622,19.13
2018-01-29,19.5,19.76,19.36,19.63,17668879,19.63
2018-01-26,19.7,19.73,19.36,19.54,18346672,19.54
2018-01-25,19.96,20.25,19.33,19.82,31662853,19.82
2018-01-24,19.89,20.14,19.4,19.6,26371285,19.6
2018-01-23,19.6,19.72,18.94,19.55,27792123,19.55
2018-01-22,19.85,20.18,19.69,19.99,17637649,19.99
2018-01-19,19.48,20.16,19.41,19.96,22636088,19.96
2018-01-18,19.7,19.805,19.37,19.4,23340984,19.4
2018-01-17,19.34,19.82,19.31,19.77,16886551,19.77
2018-01-16,19.5,19.745,19.13,19.32,22835370,19.32
2018-01-12,19.94,20.07,19.61,19.75,14187599,19.75
2018-01-11,19.64,19.94,19.37,19.88,21236145,19.88
2018-01-10,19.07,19.74,19.0,19.51,28035239,19.51
2018-01-09,19.78,19.79,18.85,18.92,32628483,18.92
2018-01-08,19.96,19.9901,19.72,19.81,15237170,19.81
2018-01-05,19.69,19.91,19.53,19.9,13870616,19.9
2018-01-04,19.63,19.82,19.315,19.74,19540525,19.74
2018-01-03,19.81,19.85,19.16,19.47,20673587,19.47
2018-01-02,19.05,19.7899,18.98,19.77,21899857,19.77
2017-12-29,19.37,19.4458,18.68,18.96,15589690,18.96
2017-12-28,18.84,19.3,18.7,19.27,18291666,19.27
2017-12-27,18.73,19.06,18.5,18.69,17299489,18.69
2017-12-26,18.1,18.79,18.03,18.67,16561215,18.67
2017-12-22,18.13,18.31,18.01,18.1,13649056,18.1
2017-12-21,17.77,18.345,17.73,18.18,20761700,18.18
2017-12-20,17.54,17.68,17.37,17.66,20886491,17.66
2017-12-19,17.26,17.45,17.195,17.33,17764819,17.33
2017-12-18,16.985,17.46,16.82,17.35,25429218,17.35
2017-12-15,16.43,16.99,16.38,16.98,36565956,16.98
2017-12-14,16.34,16.44,16.15,16.19,23485241,16.19
2017-12-13,15.7,16.35,15.68,16.32,27314271,16.32
2017-12-12,15.15,15.745,15.11,15.71,24138467,15.71
2017-12-11,15.05,15.16,14.95,15.02,15508974,15.02
2017-12-08,14.97,15.0,14.85,14.97,12024545,14.97
2017-12-07,14.2,14.87,14.2,14.84,20610031,14.84
2017-12-06,14.11,14.46,14.11,14.35,22659379,14.35
2017-12-05,13.92,14.14,13.81,14.11,19535161,14.11
2017-12-04,14.25,14.65,14.2,14.3,16978959,14.3
2017-12-01,13.94,14.31,13.84,14.11,13706073,14.11
2017-11-30,14.1,14.15,13.84,13.92,18073300,13.92
2017-11-29,14.07,14.185,13.84,14.01,11271253,14.01
2017-11-28,13.96,14.25,13.88,14.21,11794120,14.21
2017-11-27,14.25,14.3,13.965,14.09,11047393,14.09
2017-11-24,14.28,14.54,14.25,14.35,6136288,14.35
2017-11-22,14.23,14.31,14.11,14.24,9338906,14.24
2017-11-21,14.1,14.285,14.07,14.15,12985276,14.15
2017-11-20,13.74,14.03,13.73,13.95,13823694,13.95
2017-11-17,13.51,13.93,13.5,13.86,15334576,13.86
2017-11-16,13.71,13.77,13.49,13.62,13654152,13.62
2017-11-15,13.59,13.79,13.22,13.63,17992765,13.63
2017-11-14,14.28,14.3,13.57,13.8,27677701,13.8
2017-11-13,14.33,14.64,14.31,14.43,9908239,14.43
2017-11-10,14.73,14.98,14.39,14.41,13518207,14.41
2017-11-09,14.64,14.8,14.47,14.72,15748165,14.72
2017-11-08,14.62,14.94,14.48,14.86,15949421,14.86
2017-11-07,14.49,14.5699,14.36,14.55,10558993,14.55
2017-11-06,14.33,14.65,14.25,14.64,14020614,14.64
2017-11-03,14.2,14.2701,14.04,14.15,8681334,14.15
2017-11-02,14.27,14.57,14.15,14.23,13059602,14.23
2017-11-01,14.4,14.69,14.27,14.38,18478825,14.38
2017-10-31,13.94,14.035,13.84,13.98,14397629,13.98
2017-10-30,14.06,14.26,13.94,13.94,15066065,13.94
2017-10-27,14.23,14.32,13.9,14.13,22873999,14.13
2017-10-26,14.83,14.9,14.6,14.69,16863119,14.69
2017-10-25,15.26,15.58,14.44,14.71,28859503,14.71
2017-10-24,15.0,15.23,14.9,15.23,20956000,15.23
2017-10-23,14.85,14.91,14.76,14.81,16018360,14.81
2017-10-20,14.92,15.04,14.71,14.83,14307072,14.83
2017-10-19,14.73,14.835,14.45,14.81,15985631,14.81
2017-10-18,14.78,14.9,14.62,14.83,15252001,14.83
2017-10-17,15.02,15.06,14.66,14.93,22915214,14.93
2017-10-16,15.26,15.59,15.04,15.27,26131977,15.27
2017-10-13,14.8,14.87,14.64,14.75,13737502,14.75
2017-10-12,14.53,14.68,14.45,14.51,14161524,14.51
2017-10-11,14.36,14.5486,14.27,14.43,14388999,14.43
2017-10-10,14.49,14.69,14.355,14.41,13055983,14.41
2017-10-09,14.3,14.46,14.18,14.32,9521745,14.32
2017-10-06,14.61,14.6693,14.26,14.33,16569683,14.33
2017-10-05,14.87,15.39,14.65,14.75,25632984,14.75
2017-10-04,14.68,14.87,14.52,14.53,15923723,14.53
2017-10-03,14.42,14.665,14.26,14.64,13404390,14.64
2017-10-02,13.98,14.34,13.97,14.34,14783804,14.34
2017-09-29,14.4,14.41,13.96,14.04,15716622,14.04
2017-09-28,14.0,14.56,13.85,14.42,20050588,14.42
2017-09-27,14.1,14.12,13.85,14.0,11806203,14.0
2017-09-26,13.98,14.16,13.9,13.99,13522228,13.99
2017-09-25,13.99,14.06,13.76,13.89,15655878,13.89
2017-09-22,13.9,14.34,13.88,14.06,12562844,14.06
2017-09-21,13.93,14.24,13.82,13.98,16535156,13.98
2017-09-20,14.53,14.68,13.95,14.18,18449526,14.18
2017-09-19,14.15,14.555,13.96,14.48,21264648,14.48
2017-09-18,13.9,14.2398,13.89,14.13,14095925,14.13
2017-09-15,13.82,14.05,13.82,13.88,21270549,13.88
2017-09-14,13.85,13.915,13.65,13.86,17270156,13.86
2017-09-13,14.02,14.075,13.83,13.94,23721558,13.94
2017-09-12,14.3,14.48,14.07,14.3,20798631,14.3
2017-09-11,14.48,14.6,14.34,14.39,19728129,14.39
2017-09-08,14.97,14.97,14.13,14.24,27484048,14.24
2017-09-07,15.06,15.25,14.87,15.21,15432365,15.21
2017-09-06,14.5,15.11,14.5,15.06,15729777,15.06
2017-09-05,15.23,15.38,14.58,14.79,20277643,14.79
2017-09-01,14.93,15.2,14.92,15.07,12883208,15.07
2017-08-31,14.83,14.98,14.59,14.78,19899613,14.78
2017-08-30,15.15,15.17,14.54,14.56,23625880,14.56
2017-08-29,15.495,15.5,14.64,15.21,30041480,15.21
2017-08-28,15.4,15.67,15.3841,15.53,13379262,15.53
2017-08-25,15.71,15.75,15.13,15.29,18066313,15.29
2017-08-24,15.29,15.64,15.16,15.49,22765984,15.49
2017-08-23,14.99,15.38,14.92,15.29,20105765,15.29
2017-08-22,14.91,15.46,14.88,15.07,31871092,15.07
2017-08-21,14.54,14.89,14.48,14.73,23227665,14.73
2017-08-18,14.06,14.34,13.92,14.15,15434337,14.15
2017-08-17,14.62,14.75,14.17,14.2,18107369,14.2
2017-08-16,14.28,14.84,14.18,14.77,24242878,14.77
2017-08-15,14.0,14.24,13.9,13.97,14954864,13.97
2017-08-14,14.09,14.24,13.99,14.15,17354049,14.15
2017-08-11,14.0,14.095,13.815,13.96,19768300,13.96
2017-08-10,14.47,14.58,14.12,14.15,17626044,14.15
2017-08-09,14.47,14.605,14.28,14.59,13142573,14.59
2017-08-08,14.63,14.85,14.41,14.47,15750614,14.47
2017-08-07,14.56,14.85,14.5,14.7,14260521,14.7
2017-08-04,14.45,14.655,14.35,14.41,14822840,14.41
2017-08-03,14.34,14.58,14.17,14.37,20389087,14.37
2017-08-02,14.14,14.5,14.06,14.37,17689370,14.37
2017-08-01,14.6,14.69,14.22,14.49,19010045,14.49
2017-07-31,14.8,14.895,14.54,14.62,17123903,14.62
2017-07-28,14.5,14.8,14.45,14.6,17858305,14.6
2017-07-27,15.06,15.1,14.45,14.5,32957062,14.5
2017-07-26,14.69,15.27,14.41,15.06,37215659,15.06
2017-07-25,13.35,14.99,13.31,14.87,74121803,14.87
2017-07-24,13.01,13.076,12.79,12.96,14713188,12.96
2017-07-21,13.04,13.19,12.9,13.01,11718713,13.01
2017-07-20,13.12,13.21,12.8,13.04,13210943,13.04
2017-07-19,13.03,13.19,12.96,13.11,14094964,13.11
2017-07-18,12.98,13.02,12.76,13.0,15330898,13.0
2017-07-17,12.78,13.36,12.72,13.0,27319826,13.0
2017-07-14,12.51,12.69,12.51,12.6,11896462,12.6
2017-07-13,12.34,12.57,12.3,12.48,17865301,12.48
2017-07-12,12.42,12.61,12.2,12.27,23912479,12.27
2017-07-11,12.52,12.63,12.17,12.58,19193784,12.58
2017-07-10,11.82,12.64,11.775,12.52,24245156,12.52
2017-07-07,11.92,12.0,11.71,11.9,12151434,11.9
2017-07-06,12.09,12.21,11.86,11.89,12965548,11.89
2017-07-05,12.2,12.3601,11.98,12.17,13966991,12.17
2017-07-03,12.08,12.305,12.06,12.2,8517402,12.2
2017-06-30,12.12,12.19,11.89,12.01,14791053,12.01
2017-06-29,12.1,12.33,11.98,12.08,16256984,12.08
2017-06-28,11.86,12.09,11.68,11.99,12231534,11.99
2017-06-27,11.98,12.1398,11.72,11.72,14693946,11.72
2017-06-26,11.9,11.96,11.73,11.82,13970151,11.82
2017-06-23,11.53,11.81,11.345,11.76,20746873,11.76
2017-06-22,11.19,11.64,11.15,11.45,14726490,11.45
2017-06-21,11.29,11.45,11.12,11.21,12554728,11.21
2017-06-20,11.4,11.41,11.125,11.24,16799319,11.24
2017-06-19,11.51,11.68,11.47,11.59,14190092,11.59
2017-06-16,11.5,11.61,11.2,11.42,22596202,11.42
2017-06-15,11.97,12.085,11.48,11.5,22286983,11.5
2017-06-14,12.46,12.46,12.01,12.09,20053316,12.09
2017-06-13,12.28,12.44,12.21,12.36,10095575,12.36
2017-06-12,12.36,12.61,12.24,12.34,24309872,12.34
2017-06-09,12.06,12.475,12.05,12.36,25821807,12.36
2017-06-08,11.67,12.24,11.62,12.06,24323829,12.06
2017-06-07,11.9,11.96,11.56,11.72,27296466,11.72
2017-06-06,11.45,11.98,11.305,11.85,21800110,11.85
2017-06-05,11.2,11.51,11.19,11.42,12541609,11.42
2017-06-02,11.3,11.41,11.05,11.29,17869911,11.29
2017-06-01,11.47,11.62,11.37,11.45,17577209,11.45
2017-05-31,11.53,11.555,11.18,11.49,25307749,11.49
2017-05-30,11.76,11.82,11.57,11.67,9876146,11.67
2017-05-26,11.69,11.73,11.52,11.67,9747397,11.67
2017-05-25,12.0,12.241,11.62,11.7,18881572,11.7
2017-05-24,11.95,12.055,11.78,11.9,14719257,11.9
2017-05-23,11.8,11.98,11.73,11.88,11651698,11.88
2017-05-22,11.74,11.89,11.6,11.83,16212592,11.83
2017-05-19,11.4,11.85,11.38,11.73,30059405,11.73
2017-05-18,11.31,11.45,11.06,11.29,19232696,11.29
2017-05-17,11.65,11.71,11.35,11.43,15935343,11.43
2017-05-16,11.86,11.86,11.69,11.77,17739331,11.77
2017-05-15,11.73,11.87,11.67,11.75,19741774,11.75
2017-05-12,11.63,11.78,11.49,11.51,15584030,11.51
2017-05-11,11.86,11.88,11.62,11.68,14786935,11.68
2017-05-10,11.75,11.8,11.55,11.72,20503806,11.72
2017-05-09,11.78,11.99,11.62,11.63,19405934,11.63
2017-05-08,11.69,11.74,11.555,11.67,18821623,11.67
2017-05-05,11.71,11.95,11.68,11.8,17988404,11.8
2017-05-04,11.7,11.75,11.42,11.68,33472649,11.68
2017-05-03,12.4,12.41,11.77,12.02,36592023,12.02
2017-05-02,12.48,12.85,12.47,12.72,18076903,12.72
2017-05-01,12.78,12.89,12.51,12.54,16787929,12.54
2017-04-28,13.16,13.19,12.73,12.75,22831017,12.75
2017-04-27,13.45,13.47,13.0,13.01,23733428,13.01
2017-04-26,13.02,13.79,12.88,13.5,31412491,13.5
2017-04-25,12.52,13.36,12.39,13.1,50570501,13.1
2017-04-24,12.43,12.62,12.205,12.23,32419786,12.23
2017-04-21,12.46,12.48,12.03,12.23,27654427,12.23
2017-04-20,12.48,12.665,12.36,12.51,16023857,12.51
2017-04-19,12.61,12.64,12.27,12.35,16534191,12.35
2017-04-18,12.58,12.7,12.32,12.47,17638363,12.47
2017-04-17,12.8,12.8,12.5,12.75,10973759,12.75
2017-04-13,12.86,13.015,12.61,12.72,14922720,12.72
