Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,99.96,101.83,99.17,99.27,1025756,99.27
2018-02-06,98.28,100.63,96.91,100.06,1221077,100.06
2018-02-05,101.39,102.87,99.66,99.67,1488141,99.67
2018-02-02,102.99,104.14,101.9,102.19,1091379,102.19
2018-02-01,103.38,104.31,102.78,103.21,910126,103.21
2018-01-31,105.37,105.88,103.22,104.07,2011061,104.07
2018-01-30,106.69,106.91,104.86,105.19,674009,105.19
2018-01-29,107.58,107.75,106.82,107.01,579738,107.01
2018-01-26,106.54,107.63,106.02,107.58,504592,107.58
2018-01-25,105.94,106.81,105.2605,106.31,860228,106.31
2018-01-24,105.0,106.75,104.34,106.63,726655,106.63
2018-01-23,103.89,104.9,103.6302,104.73,542733,104.73
2018-01-22,104.25,104.25,102.99,104.13,738708,104.13
2018-01-19,103.14,104.45,103.14,104.14,612959,104.14
2018-01-18,103.75,103.83,102.15,102.93,610554,102.93
2018-01-17,103.09,103.8,102.82,103.48,633524,103.48
2018-01-16,104.04,104.88,102.7,102.8,1070906,102.8
2018-01-12,101.95,103.39,101.63,103.28,1026097,103.28
2018-01-11,99.39,101.97,98.93,101.9,886890,101.9
2018-01-10,98.4,99.64,98.29,99.4,912939,99.4
2018-01-09,98.15,99.3,98.15,98.95,1006357,98.95
2018-01-08,97.74,98.56,97.5,97.98,836175,97.98
2018-01-05,97.58,97.73,96.19,97.5,681376,97.5
2018-01-04,97.67,98.44,96.96,97.41,650341,97.41
2018-01-03,96.77,97.48,96.48,97.3,647326,97.3
2018-01-02,95.54,97.13,95.54,96.58,944962,96.58
2017-12-29,95.4,95.93,94.98,95.01,494889,95.01
2017-12-28,95.67,95.85,94.4301,95.48,516863,95.48
2017-12-27,95.46,95.76,95.13,95.67,430542,95.67
2017-12-26,94.95,95.96,94.86,95.39,339854,95.39
2017-12-22,94.73,95.54,94.55,95.11,765255,95.11
2017-12-21,93.46,94.58,93.2875,94.53,609886,94.53
2017-12-20,93.06,93.71,92.7759,93.22,446424,93.22
2017-12-19,93.62,93.97,93.01,93.01,578303,93.01
2017-12-18,92.69,93.72,92.435,93.44,580694,93.44
2017-12-15,92.74,93.4,91.58,91.98,1273417,91.98
2017-12-14,93.05,93.33,91.43,91.48,763514,91.48
2017-12-13,92.58,93.81,92.58,93.26,706825,93.26
2017-12-12,93.74,93.96,92.33,92.73,710844,92.73
2017-12-11,94.59,94.64,92.99,93.49,711430,93.49
2017-12-08,94.17,94.97,93.725,94.85,774383,94.85
2017-12-07,92.87,94.32,92.87,93.8,1320795,93.8
2017-12-06,94.23,94.55,93.41,93.72,1343776,93.72
2017-12-05,94.75,95.24,93.4,94.16,913581,94.16
2017-12-04,93.35,94.17,93.28,93.96,1019692,93.96
2017-12-01,93.09,93.33,90.97,92.86,1098679,92.86
