Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,151.39,154.53,151.01,151.19,3171943,151.19
2018-02-06,147.68,152.435,147.19,151.4,5319181,151.4
2018-02-05,155.45,157.5152,146.99,150.17,5772238,150.17
2018-02-02,158.69,159.5114,156.39,156.65,4208686,156.65
2018-02-01,159.0,160.81,158.4215,159.65,2753489,159.65
2018-01-31,159.99,160.53,159.3,159.67,3289902,159.67
2018-01-30,160.35,161.0,158.01,158.97,3888177,158.97
2018-01-29,164.85,165.13,161.4,161.47,3669818,161.47
2018-01-26,162.71,165.1,161.0,164.99,5019817,164.99
2018-01-25,160.6,161.89,159.67,161.84,4083059,161.84
2018-01-24,160.23,160.62,159.13,159.97,2654849,159.97
2018-01-23,158.99,160.34,158.76,159.59,3902427,159.59
2018-01-22,158.7,158.97,158.01,158.54,3269297,158.54
2018-01-19,158.41,158.7,157.6,158.69,3765521,158.69
2018-01-18,158.9,159.65,157.77,157.78,2655788,157.78
2018-01-17,157.69,158.95,157.451,158.41,3163077,158.41
2018-01-16,159.14,159.85,157.28,157.89,3422354,157.89
2018-01-12,158.58,159.49,157.8,159.07,2343709,159.07
2018-01-11,157.12,158.0,157.01,157.92,2329423,157.92
2018-01-10,156.17,157.12,155.02,157.09,2562656,157.09
2018-01-09,155.01,156.7715,154.81,156.01,3391750,156.01
2018-01-08,156.0,156.1397,154.23,154.74,2739854,154.74
2018-01-05,154.98,156.25,154.51,155.58,2478959,155.58
2018-01-04,152.81,154.5,152.71,154.5,4496507,154.5
2018-01-03,152.9,153.6,151.8,152.44,6337580,152.44
2018-01-02,153.82,154.0,152.711,153.71,2863633,153.71
2017-12-29,154.37,154.7197,153.36,153.36,1669346,153.36
2017-12-28,154.01,154.39,153.63,154.13,1654091,154.13
2017-12-27,154.03,154.095,153.32,153.95,1764067,153.95
2017-12-26,153.45,154.4327,153.45,153.76,1408039,153.76
2017-12-22,153.99,154.29,153.13,153.49,2151960,153.49
2017-12-21,155.15,155.27,153.5,153.72,4858403,153.72
2017-12-20,154.89,155.19,154.1,154.73,3582710,154.73
2017-12-19,155.15,155.42,154.02,154.11,4251341,154.11
2017-12-18,154.92,155.3096,154.0,154.59,3575628,154.59
2017-12-15,154.025,154.64,153.58,154.25,4293865,154.25
2017-12-14,156.1,156.43,153.1673,153.23,3142008,153.23
2017-12-13,153.45,156.53,153.12,155.8,5064191,155.8
2017-12-12,153.41,154.62,153.0,153.74,2959288,153.74
2017-12-11,153.65,153.92,152.94,153.21,3623697,153.21
2017-12-08,153.91,154.11,153.07,153.66,1482434,153.66
2017-12-07,153.0,153.79,152.83,153.28,2044929,153.28
2017-12-06,153.29,153.74,152.81,153.0,2896520,153.0
2017-12-05,153.82,154.82,153.02,153.06,2582492,153.06
2017-12-04,155.82,156.19,153.77,153.77,3250407,153.77
2017-12-01,155.7,156.28,152.88,154.4,3013488,154.4
2017-11-30,153.93,156.7,153.43,155.96,5681093,155.96
2017-11-29,153.05,153.56,152.39,153.24,3346194,153.24
2017-11-28,151.07,153.13,151.02,152.76,3656581,152.76
2017-11-27,149.91,151.1,149.71,150.43,2284568,150.43
2017-11-24,149.37,150.43,149.285,149.66,1196256,149.66
2017-11-22,149.49,149.81,148.78,148.99,1815445,148.99
2017-11-21,148.25,149.68,148.25,149.35,3028251,149.35
2017-11-20,146.42,148.3,146.42,147.94,3554257,147.94
2017-11-17,146.38,146.999,146.2,146.49,1637380,146.49
2017-11-16,146.32,147.19,146.01,146.88,2209322,146.88
2017-11-15,146.68,147.43,146.21,146.37,2521544,146.37
2017-11-14,146.1,147.6,145.75,147.32,2312041,147.32
2017-11-13,145.67,146.989,145.25,146.72,2014222,146.72
2017-11-10,144.84,146.63,144.4,145.75,2908163,145.75
2017-11-09,146.27,146.45,144.62,145.44,2299684,145.44
2017-11-08,146.81,147.51,146.54,146.86,2514718,146.86
2017-11-07,145.81,147.045,145.71,146.97,2613930,146.97
2017-11-06,145.49,146.06,145.145,145.6,2038885,145.6
2017-11-03,145.4,145.47,144.78,144.97,1424239,144.97
2017-11-02,144.72,145.41,143.86,145.41,1944234,145.41
2017-11-01,144.59,145.19,144.23,144.93,2161710,144.93
2017-10-31,144.35,145.07,144.09,144.16,2443231,144.16
2017-10-30,145.68,145.75,144.53,144.64,1805574,144.64
2017-10-27,145.86,146.4,145.53,146.2,1869458,146.2
2017-10-26,146.5,146.5,145.19,145.84,2146669,145.84
2017-10-25,146.46,146.5,145.35,145.99,2202872,145.99
2017-10-24,146.59,147.0,145.88,146.12,3319174,146.12
2017-10-23,146.02,146.49,145.34,145.92,2892166,145.92
2017-10-20,145.14,145.959,143.38,145.35,3369519,145.35
2017-10-19,143.41,143.83,142.62,143.62,2623096,143.62
2017-10-18,143.39,143.71,143.1,143.44,1734079,143.44
