Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,65.17,66.7,64.16,64.21,4871263,64.21
2018-02-06,63.14,65.31,62.96,65.16,5066171,65.16
2018-02-05,65.64,66.34,64.075,64.13,4194789,64.13
2018-02-02,68.17,68.17,65.42,65.45,3240426,65.45
2018-02-01,68.0,68.96,67.17,68.32,3026768,68.32
2018-01-31,68.03,68.55,67.42,68.11,3145647,68.11
2018-01-30,67.67,68.24,67.11,67.94,2788978,67.94
2018-01-29,68.12,68.41,67.73,67.76,2125407,67.76
2018-01-26,67.79,68.44,67.62,68.33,2352899,68.33
2018-01-25,67.37,68.35,67.33,67.91,2206212,67.91
2018-01-24,67.04,67.8501,67.01,67.3,4236767,67.3
2018-01-23,66.97,67.32,66.51,66.93,1788498,66.93
2018-01-22,66.95,67.19,66.28,67.17,2143906,67.17
2018-01-19,65.95,67.01,65.8,66.62,3454603,66.62
2018-01-18,66.37,66.37,65.36,65.8,3429804,65.8
2018-01-17,66.22,67.38,66.13,66.51,3809560,66.51
2018-01-16,65.25,66.2,65.06,65.94,4747416,65.94
2018-01-12,66.01,66.06,64.6601,64.69,4940164,64.69
2018-01-11,67.29,67.29,65.57,65.98,3897367,65.98
2018-01-10,68.34,68.46,66.82,67.02,3379864,67.02
2018-01-09,69.2,69.21,68.595,68.78,3051352,68.78
2018-01-08,68.87,69.21,68.62,69.17,1941119,69.17
2018-01-05,68.85,69.19,68.6,68.94,2211935,68.94
2018-01-04,67.73,68.77,67.49,68.73,2438803,68.73
2018-01-03,68.11,68.13,67.41,67.65,2223443,67.65
2018-01-02,68.03,68.17,67.6,67.97,2978186,67.97
2017-12-29,68.16,68.62,67.96,67.98,1154845,67.98
2017-12-28,68.23,68.385,67.77,68.03,1538548,68.03
2017-12-27,68.21,68.71,68.09,68.29,1603101,68.29
2017-12-26,67.96,68.225,67.8,68.15,1372781,68.15
2017-12-22,67.83,68.25,67.67,68.1,2452259,68.1
2017-12-21,66.92,67.84,66.83,67.65,3461334,67.65
2017-12-20,65.775,67.15,65.14,66.87,5328189,66.87
2017-12-19,65.85,66.02,65.38,65.47,5184249,65.47
2017-12-18,65.21,66.13,64.9,65.64,4558780,65.64
2017-12-15,65.48,65.92,64.21,64.99,7038530,64.99
2017-12-14,65.62,65.87,65.01,65.05,3022173,65.05
2017-12-13,66.22,66.32,65.79,65.83,3051268,65.83
2017-12-12,66.62,66.62,65.93,65.95,2145728,65.95
2017-12-11,66.46,66.625,66.03,66.55,1767436,66.55
2017-12-08,67.07,67.23,66.36,66.53,2361225,66.53
2017-12-07,68.0,68.13,67.24,67.27,1758892,67.27
2017-12-06,67.97,68.29,67.635,68.13,1890699,68.13
2017-12-05,67.65,68.29,67.28,67.97,4446173,67.97
2017-12-04,66.15,67.72,65.97,67.54,4200559,67.54
2017-12-01,66.02,66.53,65.09,65.99,3329835,65.99
2017-11-30,66.79,67.225,65.74,66.16,4505857,66.16
2017-11-29,65.59,67.74,65.59,66.8,3235385,66.8
2017-11-28,65.23,65.96,64.78,65.94,2060681,65.94
2017-11-27,64.9,65.34,64.4,65.07,1877952,65.07
2017-11-24,64.96,65.03,64.5,64.93,797500,64.93
2017-11-22,64.94,64.94,64.16,64.71,1771319,64.71
2017-11-21,65.27,65.27,64.07,64.35,3875627,64.35
2017-11-20,65.28,66.22,65.25,65.56,4112934,65.56
2017-11-17,64.98,65.84,64.93,65.36,4617495,65.36
2017-11-16,64.05,65.34,63.88,65.28,2948829,65.28
2017-11-15,65.0,65.06,63.0,63.74,4553501,63.74
2017-11-14,63.75,65.25,63.6,65.18,4270135,65.18
2017-11-13,64.6,65.0,63.62,63.76,3419122,63.76
2017-11-10,63.04,65.19,62.91,64.7,6215498,64.7
2017-11-09,62.69,63.42,62.485,63.28,4600678,63.28
2017-11-08,61.0,62.97,60.86,62.82,4624456,62.82
2017-11-07,60.25,61.39,60.13,60.84,6320077,60.84
2017-11-06,61.85,61.85,60.19,60.2,3584785,60.2
2017-11-03,62.44,62.4899,61.65,61.96,3072355,61.96
2017-11-02,62.84,63.07,62.335,62.38,3334790,62.38
2017-11-01,62.64,63.72,61.81,63.01,4620455,63.01
2017-10-31,62.49,63.93,61.77,62.53,11598383,62.53
2017-10-30,60.07,60.16,58.76,58.87,6126042,58.87
2017-10-27,60.42,60.49,59.82,60.26,3143504,60.26
2017-10-26,60.76,60.89,60.03,60.55,3217503,60.55
2017-10-25,60.96,61.06,60.005,60.545,3675197,60.545
2017-10-24,61.46,61.74,60.97,61.2,3030512,61.2
2017-10-23,61.55,61.92,61.32,61.48,3461663,61.48
2017-10-20,61.66,61.75,60.96,61.45,3907968,61.45
2017-10-19,61.72,61.97,61.41,61.7,2222035,61.7
2017-10-18,61.75,61.955,61.53,61.79,2688807,61.79
2017-10-17,61.87,62.09,61.59,61.74,2032225,61.74
2017-10-16,61.89,62.26,61.82,61.91,1755148,61.91
2017-10-13,62.44,62.4623,61.64,61.96,2875791,61.96
2017-10-12,61.19,62.59,61.19,62.39,3105660,62.39
2017-10-11,61.54,61.95,61.22,61.25,4974925,61.25
2017-10-10,61.27,61.73,61.12,61.47,3694088,61.47
