Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,157.02,161.25,156.43,157.98,1034040,157.98
2018-02-06,150.87,157.97,147.34,157.94,1982005,157.94
2018-02-05,157.87,158.71,151.08,151.31,1363115,151.31
2018-02-02,162.08,162.84,158.24,158.61,786684,158.61
2018-02-01,161.67,164.1,160.82,163.57,576598,163.57
2018-01-31,161.62,162.77,160.63,161.79,667981,161.79
2018-01-30,161.05,162.7,160.13,161.63,778917,161.63
2018-01-29,166.14,166.64,161.72,161.75,964243,161.75
2018-01-26,163.72,167.23,163.07,167.23,838718,167.23
2018-01-25,162.83,163.7,162.1,162.79,470155,162.79
2018-01-24,161.52,163.415,161.14,162.19,508986,162.19
2018-01-23,160.22,161.11,159.06,160.84,518429,160.84
2018-01-22,159.59,160.48,157.2,160.47,491105,160.47
2018-01-19,158.29,160.13,157.8533,159.18,786773,159.18
2018-01-18,156.87,157.92,156.36,157.58,781232,157.58
2018-01-17,156.91,158.04,155.81,157.41,680803,157.41
2018-01-16,157.81,158.51,154.96,155.53,588787,155.53
2018-01-12,156.56,157.56,155.72,157.25,564902,157.25
2018-01-11,155.57,155.79,154.6,155.72,522490,155.72
2018-01-10,156.13,156.43,154.35,154.81,627256,154.81
2018-01-09,155.2,156.325,154.97,156.12,626156,156.12
2018-01-08,154.39,155.44,153.78,155.07,566189,155.07
2018-01-05,151.97,154.28,151.7,154.12,1275238,154.12
2018-01-04,149.25,152.76,149.25,151.6,778593,151.6
2018-01-03,145.55,148.96,145.5,148.86,1007560,148.86
2018-01-02,147.96,148.34,145.66,146.13,571598,146.13
2017-12-29,147.93,148.99,147.61,147.61,410912,147.61
2017-12-28,146.94,148.04,146.32,147.82,479730,147.82
2017-12-27,146.22,147.33,145.121,146.63,536671,146.63
2017-12-26,146.62,146.94,145.3,145.87,485389,145.87
2017-12-22,147.43,148.0,146.43,146.99,479423,146.99
2017-12-21,148.83,149.15,147.37,147.48,504919,147.48
2017-12-20,149.69,150.5047,148.13,148.47,625961,148.47
2017-12-19,150.77,151.66,149.87,150.15,707665,150.15
2017-12-18,150.98,151.84,149.83,150.47,1034898,150.47
2017-12-15,150.79,151.22,149.77,150.57,1559225,150.57
2017-12-14,150.34,150.79,149.47,149.5,573454,149.5
2017-12-13,152.73,152.92,150.13,150.17,825345,150.17
2017-12-12,152.56,153.55,151.98,152.57,438832,152.57
2017-12-11,152.19,153.27,151.67,152.39,869851,152.39
2017-12-08,152.25,152.84,151.31,152.39,519112,152.39
2017-12-07,152.05,152.95,151.6,151.73,801918,151.73
2017-12-06,152.08,152.43,150.881,152.27,605777,152.27
2017-12-05,152.34,153.66,151.5,152.08,724559,152.08
2017-12-04,153.31,153.86,151.41,151.75,740233,151.75
2017-12-01,151.82,151.83,147.81,151.3,769726,151.3
2017-11-30,150.71,152.08,148.31,151.82,1178180,151.82
2017-11-29,151.58,153.415,149.41,149.84,626563,149.84
2017-11-28,150.44,151.08,149.31,150.88,1098332,150.88
2017-11-27,150.24,151.41,149.72,149.87,609103,149.87
2017-11-24,149.35,150.73,149.35,150.23,290983,150.23
2017-11-22,149.4,149.89,148.5,149.4,685049,149.4
2017-11-21,149.0,149.63,148.77,149.46,804906,149.46
2017-11-20,146.86,148.5522,146.71,148.31,831863,148.31
2017-11-17,144.67,147.33,143.61,146.79,942370,146.79
2017-11-16,142.75,144.98,142.75,144.09,789223,144.09
2017-11-15,142.61,143.12,141.49,141.96,619551,141.96
2017-11-14,141.76,143.89,141.311,143.14,424850,143.14
2017-11-13,141.54,142.6234,141.09,142.15,492285,142.15
2017-11-10,142.65,143.38,141.68,142.19,546690,142.19
2017-11-09,144.47,144.77,141.9,143.09,572646,143.09
2017-11-08,143.64,144.98,143.17,144.93,552362,144.93
2017-11-07,144.68,145.665,143.18,143.77,549225,143.77
2017-11-06,146.45,146.63,144.3,144.51,851792,144.51
2017-11-03,144.39,147.68,140.15,146.29,1953539,146.29
2017-11-02,143.21,144.03,142.145,143.53,823748,143.53
2017-11-01,143.79,144.27,142.5,143.49,543771,143.49
2017-10-31,142.99,143.41,141.59,142.41,985948,142.41
2017-10-30,145.85,145.88,141.365,142.98,809036,142.98
2017-10-27,147.98,147.98,145.9624,146.4,863567,146.4
2017-10-26,146.49,148.0,146.46,147.38,912932,147.38
2017-10-25,146.98,147.27,144.45,145.53,794975,145.53
2017-10-24,146.07,147.69,145.2,147.0,714568,147.0
2017-10-23,145.62,146.22,145.28,146.06,597315,146.06
2017-10-20,144.99,145.69,144.21,145.66,476751,145.66
2017-10-19,144.76,145.1,143.22,144.19,515248,144.19
2017-10-18,144.44,145.83,144.19,145.2,619006,145.2
2017-10-17,144.83,144.84,143.35,144.13,503221,144.13
2017-10-16,144.3,144.84,143.77,144.75,492430,144.75
2017-10-13,144.06,144.81,143.78,144.24,703968,144.24
2017-10-12,142.34,143.93,142.0301,143.93,739675,143.93
2017-10-11,142.22,142.8,141.83,142.55,537162,142.55
2017-10-10,142.27,142.63,141.64,142.14,562392,142.14
2017-10-09,142.44,142.83,141.46,141.95,547713,141.95
2017-10-06,142.43,143.98,142.16,142.49,819969,142.49
2017-10-05,141.88,142.675,141.35,142.1,607713,142.1
2017-10-04,141.0,141.75,140.66,141.71,634235,141.71
2017-10-03,140.01,141.28,139.5,141.0,554985,141.0
2017-10-02,139.52,140.27,139.33,140.21,868771,140.21
2017-09-29,138.41,139.3,138.05,139.21,623694,139.21
2017-09-28,138.5,138.64,137.68,138.61,460034,138.61
2017-09-27,139.12,139.94,138.345,138.71,581582,138.71
2017-09-26,138.74,138.925,137.77,138.35,556216,138.35
2017-09-25,138.2,139.03,136.82,138.78,1075592,138.78
2017-09-22,136.81,138.28,136.81,138.03,704264,138.03
2017-09-21,136.61,136.93,135.815,136.65,421202,136.65
2017-09-20,136.8,137.32,135.71,136.77,633703,136.77
2017-09-19,137.17,137.23,136.52,136.74,480661,136.74
2017-09-18,136.42,136.99,136.045,136.76,523934,136.76
2017-09-15,135.01,136.82,134.94,136.33,936915,136.33
2017-09-14,135.17,135.835,134.42,134.96,523349,134.96
2017-09-13,136.19,136.51,135.21,135.37,489024,135.37
2017-09-12,135.95,136.19,134.82,136.16,389072,136.16
2017-09-11,136.48,136.79,135.35,135.72,1097754,135.72
2017-09-08,134.25,135.76,133.85,135.35,427471,135.35
2017-09-07,134.19,134.53,133.73,134.22,492596,134.22
2017-09-06,133.8,134.74,133.33,134.24,750194,134.24
2017-09-05,133.1,133.59,132.28,133.06,879351,133.06
2017-09-01,134.64,134.68,133.43,133.76,672726,133.76
2017-08-31,134.73,135.04,133.58,134.03,1020771,134.03
2017-08-30,132.97,134.4548,132.41,134.44,467491,134.44
2017-08-29,131.99,133.24,131.67,133.03,455095,133.03
2017-08-28,132.5,132.74,132.0,132.68,410784,132.68
2017-08-25,132.83,133.11,132.235,132.39,597536,132.39
2017-08-24,132.53,132.97,131.47,132.2,430590,132.2
2017-08-23,131.93,132.375,131.31,132.02,422722,132.02
2017-08-22,131.12,132.85,131.12,132.58,555205,132.58
2017-08-21,130.47,131.31,130.01,130.81,654955,130.81
2017-08-18,130.09,130.86,129.03,130.49,1479131,130.49
2017-08-17,131.22,132.78,130.18,130.22,971946,130.22
2017-08-16,132.53,133.16,131.69,132.09,731981,132.09
2017-08-15,130.93,132.37,130.635,132.2,827136,132.2
2017-08-14,128.65,130.75,128.17,130.53,1214526,130.53
2017-08-11,127.48,129.0,127.43,127.76,1159542,127.76
2017-08-10,127.48,128.86,126.86,126.91,719653,126.91
2017-08-09,127.05,128.06,126.28,128.02,1401066,128.02
2017-08-08,128.66,128.88,127.345,127.7,817439,127.7
2017-08-07,129.74,129.77,128.59,129.07,772833,129.07
2017-08-04,129.11,129.59,128.3,129.29,878022,129.29
2017-08-03,129.46,129.73,128.07,128.72,1273858,128.72
2017-08-02,131.31,131.48,128.51,129.37,1200860,129.37
2017-08-01,131.76,132.51,131.4701,131.59,1082632,131.59
2017-07-31,132.72,132.88,131.44,131.63,899684,131.63
2017-07-28,131.89,132.45,131.2,132.21,677659,132.21
2017-07-27,133.59,133.59,130.63,131.89,799289,131.89
2017-07-26,132.79,133.84,132.74,133.28,661363,133.28
2017-07-25,134.71,134.89,132.33,132.75,1016479,132.75
2017-07-24,133.15,135.2,133.03,133.57,1631042,133.57
2017-07-21,130.5,133.62,130.15,132.57,2559392,132.57
2017-07-20,126.61,127.65,126.07,127.17,1248488,127.17
2017-07-19,126.06,126.629,125.07,126.6,845562,126.6
2017-07-18,124.9,125.99,124.62,125.85,663099,125.85
2017-07-17,124.8,125.58,124.39,125.37,492884,125.37
2017-07-14,124.52,125.59,123.94,125.1,403047,125.1
2017-07-13,124.51,124.85,123.09,124.68,820492,124.68
2017-07-12,123.18,124.72,123.12,124.28,481311,124.28
2017-07-11,123.18,123.46,122.06,122.61,587090,122.61
2017-07-10,123.09,123.44,122.53,123.03,515724,123.03
2017-07-07,122.51,123.68,122.27,123.42,598522,123.42
2017-07-06,123.49,123.65,122.05,122.17,714751,122.17
2017-07-05,122.25,124.4,121.53,123.98,820340,123.98
2017-07-03,122.07,122.85,121.66,122.02,399195,122.02
2017-06-30,121.64,122.2,121.29,121.68,628633,121.68
2017-06-29,122.55,122.695,120.9,121.37,786660,121.37
2017-06-28,121.25,122.49,120.44,122.22,579426,122.22
