Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,229.58,234.97,226.7,228.8,20073316,228.8
2018-02-06,204.4,225.7,204.0,225.58,27870031,225.58
2018-02-05,227.0,233.23,205.0,213.7,29130140,213.7
2018-02-02,237.0,237.97,231.17,233.52,17961555,233.52
2018-02-01,238.52,246.9,238.06,240.5,12980572,240.5
2018-01-31,245.77,249.27,244.45,245.8,11964444,245.8
2018-01-30,241.11,246.42,238.41,242.72,14270844,242.72
2018-01-29,242.74,248.11,240.61,246.85,11377853,246.85
2018-01-26,238.12,243.34,237.6,243.33,12908854,243.33
2018-01-25,238.0,239.75,235.75,236.35,10247091,236.35
2018-01-24,239.04,240.4936,233.55,235.8,14499309,235.8
2018-01-23,235.85,239.83,235.101,238.91,11880705,238.91
2018-01-22,230.43,233.76,228.1,233.69,13773561,233.69
2018-01-19,228.09,231.09,227.0,230.11,15234486,230.11
2018-01-18,223.94,226.64,222.68,224.44,10215841,224.44
2018-01-17,220.7,225.12,216.9,224.72,13460222,224.72
2018-01-16,224.05,227.51,216.69,220.11,17558687,220.11
2018-01-12,223.6,224.99,221.34,222.98,8997902,222.98
2018-01-11,225.0,226.27,223.21,224.08,10150767,224.08
2018-01-10,218.2,223.82,216.0,223.68,14566626,223.68
2018-01-09,222.22,223.82,218.64,221.94,12424995,221.94
2018-01-08,220.4,225.0,218.58,222.0,22030422,222.0
2018-01-05,214.19,216.91,211.08,215.4,14503103,215.4
2018-01-04,215.76,218.05,212.69,213.59,14581720,213.59
2018-01-03,204.1,213.7,203.75,212.47,22867591,212.47
2018-01-02,195.78,199.5,194.5,199.35,8890417,199.35
2017-12-29,198.46,198.46,193.5,193.5,6999116,193.5
2017-12-28,198.13,199.38,197.1514,197.4,6006248,197.4
2017-12-27,196.9,199.97,196.31,197.17,8237223,197.17
2017-12-26,193.03,197.75,191.82,197.44,8877033,197.44
2017-12-22,194.4,195.65,191.25,195.27,11656871,195.27
2017-12-21,196.94,197.95,195.55,195.89,7522626,195.89
2017-12-20,197.7,198.07,194.55,196.8,7220456,196.8
2017-12-19,197.52,197.73,194.96,196.11,9327493,196.11
2017-12-18,193.2,198.02,192.0,197.9,11942558,197.9
2017-12-15,188.251,192.38,185.62,191.56,16750878,191.56
2017-12-14,185.92,189.34,184.6,186.47,10954056,186.47
2017-12-13,192.5,192.55,185.88,186.18,13856992,186.18
2017-12-12,192.9,193.84,189.89,190.84,11375445,190.84
2017-12-11,192.06,194.78,191.42,194.66,9318741,194.66
2017-12-08,194.01,194.78,191.15,191.49,11671856,191.49
2017-12-07,191.96,193.6,190.12,191.99,13564988,191.99
2017-12-06,185.7,190.14,184.84,189.26,11675760,189.26
2017-12-05,182.4,192.7,180.58,187.74,24537194,187.74
2017-12-04,200.05,200.3,184.5,186.66,31021123,186.66
2017-12-01,199.31,200.13,192.47,197.68,20288748,197.68
