Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,28.62,30.17,28.57,29.46,16507063,29.46
2018-02-06,25.87,29.09,25.56,28.75,19699135,28.75
2018-02-05,27.65,28.1497,26.01,26.12,17133157,26.12
2018-02-02,27.2,28.05,26.79,27.98,19499209,27.98
2018-02-01,26.44,27.54,26.4,27.4,15220106,27.4
2018-01-31,25.85,26.46,25.7,26.44,14463885,26.44
2018-01-30,25.13,25.795,25.0,25.73,10434910,25.73
2018-01-29,25.08,25.68,24.9,25.36,13188124,25.36
2018-01-26,24.65,26.55,24.4,25.33,37608272,25.33
2018-01-25,27.96,28.0,23.85,24.81,74381976,24.81
2018-01-24,31.77,31.83,30.98,31.23,5255326,31.23
2018-01-23,31.5,31.86,31.45,31.65,4007139,31.65
2018-01-22,31.1,31.63,31.01,31.54,6170598,31.54
2018-01-19,31.5,31.58,30.81,31.22,5488242,31.22
2018-01-18,31.7,31.87,31.23,31.29,4629355,31.29
2018-01-17,31.95,32.14,31.71,31.78,3024110,31.78
2018-01-16,32.42,32.58,31.4248,31.75,5853160,31.75
2018-01-12,31.95,32.27,31.81,32.26,3519245,32.26
2018-01-11,31.35,31.99,31.2,31.91,3356910,31.91
2018-01-10,31.73,31.99,31.035,31.15,5102844,31.15
2018-01-09,32.03,32.4,31.83,31.91,5118104,31.91
2018-01-08,32.02,32.27,31.71,32.08,2977240,32.08
2018-01-05,32.16,32.36,31.83,31.98,3471454,31.98
2018-01-04,31.99,32.21,31.63,32.06,3833047,32.06
2018-01-03,31.67,32.21,31.61,31.83,6211026,31.83
2018-01-02,31.09,31.75,30.98,31.64,4264358,31.64
2017-12-29,30.95,31.34,30.865,30.9,2924820,30.9
2017-12-28,30.73,31.05,30.705,31.03,2880253,31.03
2017-12-27,30.95,31.38,30.55,30.73,3514898,30.73
2017-12-26,30.65,30.95,30.585,30.92,2839597,30.92
2017-12-22,30.75,31.01,30.58,30.67,3077072,30.67
2017-12-21,30.34,31.0,30.13,30.75,5908399,30.75
2017-12-20,30.83,30.91,30.15,30.21,5228574,30.21
2017-12-19,31.11,31.4,30.8,30.81,5857339,30.81
2017-12-18,30.99,31.15,30.63,30.84,8075373,30.84
2017-12-15,30.66,31.03,30.22,30.59,11402605,30.59
2017-12-14,31.29,31.505,30.39,30.48,6530204,30.48
2017-12-13,31.18,31.66,31.07,31.4,3962945,31.4
2017-12-12,31.0,31.57,30.88,31.16,4587083,31.16
2017-12-11,31.0,31.38,30.74,30.92,5511839,30.92
2017-12-08,30.85,31.15,30.57,30.96,4591714,30.96
2017-12-07,31.8,32.0924,30.76,30.81,6037088,30.81
2017-12-06,31.7,32.09,31.6,31.79,6442306,31.79
2017-12-05,31.85,32.03,31.42,31.78,6587212,31.78
2017-12-04,31.82,32.285,31.5,31.81,9309064,31.81
2017-12-01,30.9,31.74,30.611,31.51,9404472,31.51
2017-11-30,30.51,31.05,30.495,30.97,9718417,30.97
2017-11-29,30.39,31.31,30.3,30.51,5891050,30.51
2017-11-28,29.75,30.89,29.49,30.78,15361225,30.78
2017-11-27,28.36,29.81,28.29,29.79,9351200,29.79
2017-11-24,28.33,28.55,28.0664,28.37,2773233,28.37
2017-11-22,27.96,28.45,27.78,28.2,6194681,28.2
2017-11-21,28.77,28.87,27.87,27.97,8910566,27.97
2017-11-20,28.56,29.07,28.15,28.82,7668400,28.82
2017-11-17,28.15,28.705,27.99,28.56,5645489,28.56
2017-11-16,28.1,28.33,27.825,28.18,7637085,28.18
2017-11-15,27.9,28.58,27.455,28.01,9083873,28.01
2017-11-14,28.5,28.585,27.9,28.04,6680385,28.04
2017-11-13,29.08,29.29,28.11,28.47,13274443,28.47
2017-11-10,30.01,30.066,29.22,29.3,11955612,29.3
2017-11-09,30.97,31.22,29.905,30.1,7800239,30.1
2017-11-08,30.87,31.54,30.65,31.41,9339621,31.41
2017-11-07,30.69,30.7199,30.0,30.65,9423380,30.65
2017-11-06,30.66,31.14,29.92,30.82,11288807,30.82
2017-11-03,30.2,32.37,30.11,30.77,18719675,30.77
2017-11-02,32.5,33.2,29.7,30.01,47531743,30.01
2017-11-01,40.89,41.31,40.71,41.0,8572128,41.0
2017-10-31,40.46,40.98,40.28,40.78,6100037,40.78
2017-10-30,40.04,40.54,39.91,40.46,4253205,40.46
2017-10-27,40.49,40.49,39.575,40.0,6239024,40.0
2017-10-26,40.56,40.65,40.2519,40.4,2664262,40.4
2017-10-25,40.51,40.59,39.9,40.29,2977309,40.29
