Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,44.28,45.1999,43.96,44.36,3915371,44.36
2018-02-06,43.69,44.47,43.07,44.28,4568421,44.28
2018-02-05,46.05,46.16,44.23,44.47,3948968,44.47
2018-02-02,46.8,46.95,46.137,46.22,2290446,46.22
2018-02-01,47.09,47.53,46.92,47.04,2506349,47.04
2018-01-31,47.56,47.82,47.17,47.35,3826283,47.35
2018-01-30,48.42,48.75,48.13,48.16,3081411,48.16
2018-01-29,49.0,49.37,48.47,48.5,3253724,48.5
2018-01-26,49.18,49.29,48.845,48.98,1604697,48.98
2018-01-25,49.08,49.57,48.82,49.08,1878029,49.08
2018-01-24,49.2,49.45,48.57,48.9,1615315,48.9
2018-01-23,48.82,49.2,48.61,49.0,1262084,49.0
2018-01-22,49.1,49.29,48.54,48.97,1848208,48.97
2018-01-19,49.02,49.46,49.02,49.1,2373940,49.1
2018-01-18,48.38,48.875,48.38,48.74,1658206,48.74
2018-01-17,48.79,48.81,48.46,48.5,2048509,48.5
2018-01-16,49.02,49.13,48.195,48.43,2354508,48.43
2018-01-12,48.93,49.07,48.67,48.86,2100967,48.86
2018-01-11,48.72,48.9,48.22,48.65,2760038,48.65
2018-01-10,48.92,48.96,48.5929,48.66,2221227,48.66
2018-01-09,49.62,49.715,48.93,48.97,2576191,48.97
2018-01-08,49.42,49.86,49.38,49.64,2106845,49.64
2018-01-05,49.72,49.83,49.24,49.42,2240795,49.42
2018-01-04,49.54,49.847,49.44,49.57,1842450,49.57
2018-01-03,49.47,49.55,49.27,49.46,1647777,49.46
2018-01-02,49.49,49.81,49.18,49.42,1837236,49.42
2017-12-29,49.49,49.76,49.28,49.3,1340300,49.3
2017-12-28,49.19,49.48,49.07,49.45,1360357,49.45
2017-12-27,49.4,49.57,49.18,49.21,2087102,49.21
2017-12-26,49.03,49.5,49.0,49.14,1662410,49.14
2017-12-22,48.71,49.25,48.65,49.09,1367804,49.09
2017-12-21,49.07,49.27,48.4,48.7,2682291,48.7
