Date, Open, High, Low, Close, Volume, Adj Close
2018-02-07,19.73,20.05,19.43,19.49,4430789,19.49
2018-02-06,19.28,19.87,18.981,19.81,7243019,19.81
2018-02-05,20.15,20.24,19.53,19.54,5493227,19.54
2018-02-02,20.57,20.67,20.28,20.28,6520662,20.28
2018-02-01,20.71,20.85,20.625,20.69,6318715,20.69
2018-01-31,20.65,20.94,20.64,20.79,4503658,20.79
2018-01-30,20.66,20.84,20.51,20.6,3387554,20.6
2018-01-29,21.15,21.15,20.78,20.83,3536651,20.83
2018-01-26,20.9,21.175,20.78,21.16,3667541,21.16
2018-01-25,20.59,20.81,20.475,20.8,3745670,20.8
2018-01-24,20.8,20.905,20.51,20.52,4187397,20.52
2018-01-23,20.52,20.82,20.48,20.73,4241713,20.73
2018-01-22,20.24,20.595,20.235,20.55,4526914,20.55
2018-01-19,20.28,20.3,20.13,20.24,4212879,20.24
2018-01-18,20.21,20.33,20.13,20.19,6504181,20.19
2018-01-17,20.47,20.48,20.01,20.24,8385324,20.24
2018-01-16,21.12,21.14,20.54,20.62,8158150,20.62
2018-01-12,21.22,21.28,21.0,21.12,3665750,21.12
2018-01-11,21.3,21.3861,21.04,21.18,4058189,21.18
2018-01-10,20.81,21.27,20.7,21.23,6453566,21.23
2018-01-09,21.5,21.52,20.99,21.04,6739452,21.04
2018-01-08,21.59,22.21,21.23,21.49,23503245,21.49
2018-01-05,19.45,20.635,19.42,20.6,16589567,20.6
2018-01-04,19.17,19.49,18.955,19.45,9184157,19.45
2018-01-03,19.15,19.36,19.07,19.07,6250358,19.07
2018-01-02,19.06,19.13,18.965,19.08,6822502,19.08
2017-12-29,19.08,19.15,19.005,19.01,2825771,19.01
2017-12-28,18.89,19.08,18.85,19.07,2969743,19.07
2017-12-27,18.93,18.97,18.72,18.8,2929585,18.8
2017-12-26,19.05,19.1,18.85,18.89,2104183,18.89
2017-12-22,19.33,19.45,18.961,19.08,3160155,19.08
2017-12-21,19.51,19.53,19.235,19.26,4371451,19.26
2017-12-20,19.63,19.68,19.43,19.47,3201113,19.47
2017-12-19,19.6,19.73,19.5,19.59,4211002,19.59
2017-12-18,19.7,19.74,19.52,19.56,5311357,19.56
2017-12-15,19.27,19.74,19.16,19.48,18819914,19.48
2017-12-14,19.12,19.665,19.05,19.35,6245371,19.35
2017-12-13,19.49,19.67,19.34,19.37,3591393,19.37
2017-12-12,19.49,19.66,19.305,19.5,3672536,19.5
2017-12-11,19.48,19.7,19.41,19.53,4719594,19.53
2017-12-08,19.58,19.58,19.36,19.39,3210851,19.39
2017-12-07,19.39,19.62,19.36,19.52,3827765,19.52
2017-12-06,19.56,19.68,19.4,19.4,4390144,19.4
2017-12-05,19.73,19.87,19.52,19.55,4829662,19.55
2017-12-04,19.84,19.88,19.625,19.71,6123427,19.71
2017-12-01,19.66,19.84,19.4,19.71,5169773,19.71
2017-11-30,19.75,19.99,19.61,19.69,4978233,19.69
2017-11-29,19.72,19.85,19.645,19.7,3982793,19.7
2017-11-28,19.52,19.7,19.46,19.69,2692079,19.69
2017-11-27,19.67,19.73,19.4,19.48,2838600,19.48
2017-11-24,19.58,19.7,19.5,19.65,1551150,19.65
2017-11-22,19.72,19.74,19.495,19.55,1831482,19.55
2017-11-21,19.69,19.84,19.66,19.7,2155672,19.7
2017-11-20,19.73,19.82,19.59,19.68,2030216,19.68
2017-11-17,19.68,19.81,19.53,19.68,2463777,19.68
2017-11-16,19.74,19.855,19.63,19.77,2399338,19.77
2017-11-15,19.55,19.64,19.36,19.6,3213349,19.6
2017-11-14,19.48,19.75,19.45,19.65,2996556,19.65
2017-11-13,20.08,20.1,19.495,19.52,3133704,19.52
2017-11-10,20.14,20.21,20.09,20.14,5479625,20.14
2017-11-09,19.63,20.15,19.63,20.08,5372841,20.08
2017-11-08,19.2,19.76,19.125,19.75,4926787,19.75
2017-11-07,19.52,19.61,19.14,19.16,4417987,19.16
2017-11-06,19.41,19.85,19.27,19.43,5339826,19.43
2017-11-03,20.1,20.67,19.43,19.5,7262928,19.5
2017-11-02,19.93,20.11,19.81,20.08,4774395,20.08
2017-11-01,19.97,20.04,19.83,19.98,3219467,19.98
2017-10-31,19.72,19.92,19.57,19.86,2919496,19.86
2017-10-30,20.12,20.125,19.69,19.72,3172158,19.72
2017-10-27,20.34,20.4,20.045,20.26,2405278,20.26
2017-10-26,20.1,20.27,20.07,20.25,2169661,20.25
2017-10-25,20.09,20.15,19.89,20.025,2376740,20.025
2017-10-24,20.22,20.24,20.06,20.1,2768906,20.1
2017-10-23,20.34,20.4,20.18,20.2,2351788,20.2
2017-10-20,20.0,20.39,19.97,20.31,4094419,20.31
2017-10-19,19.73,19.87,19.64,19.86,2580938,19.86
2017-10-18,19.74,19.91,19.74,19.79,3712920,19.79
2017-10-17,19.77,19.9,19.68,19.7,3401434,19.7
2017-10-16,19.82,19.88,19.65,19.76,2634158,19.76
2017-10-13,19.79,19.99,19.755,19.79,1935420,19.79
2017-10-12,19.69,19.755,19.615,19.74,2787921,19.74
2017-10-11,19.6,19.74,19.54,19.74,3102638,19.74
2017-10-10,19.59,19.64,19.52,19.6,2001091,19.6
2017-10-09,19.56,19.61,19.465,19.52,1883350,19.52
2017-10-06,19.65,19.67,19.425,19.52,2515673,19.52
2017-10-05,19.43,19.75,19.345,19.65,3887705,19.65
2017-10-04,19.38,19.42,19.32,19.41,3916280,19.41
2017-10-03,19.4,19.479,19.27,19.38,3278429,19.38
2017-10-02,19.23,19.46,19.185,19.4,4540174,19.4
2017-09-29,19.03,19.2,19.03,19.2,2905252,19.2
2017-09-28,18.97,19.085,18.92,19.06,3028362,19.06
2017-09-27,18.8,19.02,18.74,19.0,3541307,19.0
2017-09-26,19.08,19.08,18.7,18.73,3967258,18.73
2017-09-25,18.94,19.085,18.865,19.03,2726859,19.03
2017-09-22,18.91,19.005,18.88,18.99,2575435,18.99
2017-09-21,18.92,19.015,18.9,18.91,2509712,18.91
2017-09-20,19.05,19.12,18.88,18.95,2185705,18.95
2017-09-19,19.13,19.1934,19.01,19.05,2146383,19.05
2017-09-18,18.98,19.11,18.92,19.1,2430817,19.1
2017-09-15,18.85,19.01,18.825,18.91,5598719,18.91
2017-09-14,18.91,19.02,18.88,18.94,2769338,18.94
2017-09-13,19.24,19.32,19.1,19.11,3393102,19.11
2017-09-12,18.88,19.28,18.84,19.22,3432169,19.22
2017-09-11,18.79,19.045,18.79,18.89,2714977,18.89
2017-09-08,18.54,18.85,18.46,18.69,3118970,18.69
2017-09-07,18.54,18.64,18.39,18.54,3800438,18.54
2017-09-06,18.74,18.8099,18.475,18.51,5363039,18.51
2017-09-05,18.72,18.78,18.5,18.68,4924213,18.68
2017-09-01,18.99,19.01,18.755,18.79,3893668,18.79
2017-08-31,19.05,19.0767,18.875,18.92,4088154,18.92
2017-08-30,19.02,19.06,18.76,18.93,4001353,18.93
